SampleID,Actinopterygii,Aenigmarchaeia,Bathyarchaeia,Bivalvia,Hadarchaeia,Iainarchaeia,Ichthyosporea,LKM11,Lokiarchaeia,Methanomethylicia,Methanomicrobia,Methanosarcinia,Micrarchaeia,Nanoarchaeia,Nitrososphaeria,Odinarchaeia,Thermococci,Thermoplasmata,Unclassified,acid_accumulation,acid_base_balance,ammonia_toxicity,biogas_quality,buffer_capacity
3-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22897284981963167,0.6006265426238846,0.003892158724131384,0.0,0.0,0.0,0.002183406113537118,0.03313081450541105,0.1311942282134042,0,0,1,0,0
3-13,0.0,0.0,0.009076843733883445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29427539969056216,0.21670964414646726,0.0,0.03950489943269727,0.0,0.0,0.14244455905105724,0.027952552862300153,0.2700361010830325,0,0,0,0,0
3-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6108889175590246,0.009418139594890981,0.0,0.01212746742355825,0.0,0.0,0.0,0.3406012127467424,0.02696426267578377,0,0,1,0,0
3-15,0.0,0.0,0.003283908846651408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2821176236441437,0.29186983779480546,0.0,0.0,0.0,0.0,0.13991441934520849,0.013334660165190566,0.2694795502040004,0,0,0,0,0
3-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42428711897738447,0.41027531956735497,0.0,0.0,0.0,0.0,0.08628318584070796,0.05457227138643068,0.024582104228121928,0,0,0,0,0
3-17,0.0,0.0,0.005751346059716104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3931718061674009,0.25819872736172295,0.01529613313754283,0.0,0.0,0.0,0.21940773372491434,0.027165932452276064,0.08100832109642682,0,0,0,0,0
3-18,0.0,0.0,0.010610285006195787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27276951672862454,0.30986679058240396,0.0,0.0030978934324659233,0.00015489467162329616,0.0,0.16248451053283766,0.025635068153655516,0.21538104089219332,0,0,0,0,0
3-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5904477611940299,0.0,0.0,0.0,0.0,0.0,0.0,0.1701492537313433,0.23940298507462687,0,0,0,0,0
3-2,0.0,0.0,0.006073992269464384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4526044542609976,0.39895085588072887,0.0,0.006626173384870237,0.0,0.0,0.120283452972575,0.014632799558255107,0.0008282716731087797,0,0,0,0,0
3-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.643194866599122,0.1641337386018237,0.0,0.0,0.0,0.0,0.0,0.060452549814251945,0.13221884498480244,0,1,0,0,0
3-21,0.0,0.0,0.002759635728083893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2838745285622298,0.45423604084260877,0.0,0.0,0.0,0.0,0.17477692944531323,0.005243307883359397,0.07910955753840493,0,0,0,0,0
