SampleID,BAC_P::Acetothermia,BAC_P::Acidobacteriota,BAC_P::Actinobacteriota,BAC_P::Armatimonadota,BAC_P::Bacteroidota,BAC_P::Bdellovibrionota,BAC_P::CK-2C2-2,BAC_P::Caldatribacteriota,BAC_P::Caldisericota,BAC_P::Calditrichota,BAC_P::Campilobacterota,BAC_P::Chloroflexi,BAC_P::Cloacimonadota,BAC_P::Coprothermobacterota,BAC_P::Cyanobacteria,BAC_P::Dadabacteria,BAC_P::Deinococcota,BAC_P::Dependentiae,BAC_P::Desulfobacterota,BAC_P::Elusimicrobiota,BAC_P::Fermentibacterota,BAC_P::Fibrobacterota,BAC_P::Firmicutes,BAC_P::Fusobacteriota,BAC_P::Gemmatimonadota,BAC_P::Halanaerobiaeota,BAC_P::Hydrogenedentes,BAC_P::Hydrothermae,BAC_P::LCP-89,BAC_P::Latescibacterota,BAC_P::MBNT15,BAC_P::Marinimicrobia_(SAR406_clade),BAC_P::Myxococcota,BAC_P::NB1-j,BAC_P::NKB15,BAC_P::Nitrospirota,BAC_P::Patescibacteria,BAC_P::Planctomycetota,BAC_P::Proteobacteria,BAC_P::Spirochaetota,BAC_P::Sumerlaeota,BAC_P::Sva0485,BAC_P::Synergistota,BAC_P::TA06,BAC_P::Thermotogota,BAC_P::Verrucomicrobiota,BAC_P::WPS-2,BAC_P::WS1,BAC_P::Zixibacteria,BAC_P::unidentified,ARC_P::Aenigmarchaeota,ARC_P::Asgardarchaeota,ARC_P::Crenarchaeota,ARC_P::Cryptomycota,ARC_P::Euryarchaeota,ARC_P::Halobacterota,ARC_P::Holozoa,ARC_P::Micrarchaeota,ARC_P::Mollusca,ARC_P::Nanoarchaeota,ARC_P::Thermoplasmatota,ARC_P::Vertebrata,ARC_P::unidentified
2-5,0.0,1.15,2.275,0.278,28.095,0.176,0.112,0.193,0.471,0.0,0.143,1.683,11.636,0.0,0.0,0.0,0.0,0.141,6.441,0.0,0.0,0.0,12.652,0.0,0.135,0.0,0.362,0.0,0.0,0.0,0.0,0.122,0.133,0.0,0.0,0.0,0.624,1.417,18.045,5.472,0.0,0.0,1.223,0.198,2.479,2.515,0.0,0.0,0.104,1.126,0.0,0.0,2.976,0.0,16.19,72.907,0.0,1.659,0.0,1.87,3.539,0.0,0.8570000000000001
3-5,0.0,0.443,1.128,0.176,25.184,0.0,0.0,0.192,0.3099999999999999,0.0,0.0,0.793,20.842,0.0,0.0,0.0,0.0,0.0,5.312,0.0,0.0,0.0,15.868,0.0,0.0,0.0,0.404,0.0,0.0,0.0,0.0,0.171,0.0,0.0,0.0,0.0,0.0,0.406,11.139,2.694,0.0,0.0,3.897,0.0,6.935,2.568,0.0,0.257,0.0,0.725,0.202,0.0,1.322,0.0,27.607,65.102,0.0,1.198,0.0,1.388,2.834,0.0,0.347
4-5,0.0,0.207,1.941,0.0,24.648,0.0,0.0,0.279,0.38,0.0,0.0,1.215,6.262,0.0,0.0,0.0,0.0,0.0,4.562,0.0,0.0,0.0,15.441,0.0,0.0,0.0,0.471,0.0,0.0,0.0,0.0,0.486,0.232,0.0,0.0,0.0,0.21,0.406,20.835,1.756,0.0,0.0,6.037,0.0,10.748,2.289,0.0,0.442,0.0,0.638,0.129,0.0,0.594,0.0,22.945,74.564,0.0,0.437,0.0,0.0,1.202,0.0,0.0
1-6,0.0,0.0,0.45,0.0,27.379,0.0,0.0,0.933,0.0,0.0,0.0,0.15,3.842,0.0,0.0,0.0,0.0,0.0,2.044,0.0,4.523,0.125,57.253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.971,0.173,0.0,0.0,1.087,0.0,0.0,0.957,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,22.894,69.938,0.0,0.111,0.0,0.264,1.491,0.0,4.524
2-6,0.0,0.0,0.966,0.0,31.887,0.0,0.0,0.641,0.0,0.0,0.0,0.3,0.9410000000000001,0.0,0.0,0.0,0.0,0.0,1.557,0.0,1.863,0.0,57.586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145,0.152,1.415,0.478,0.0,0.0,0.567,0.0,0.0,1.219,0.0,0.125,0.0,0.0,0.0,0.0,1.08,0.0,16.611,79.847,0.0,0.0,0.0,0.0,2.46,0.0,0.0
3-6,0.0,0.0,0.293,0.0,37.916,0.0,0.0,0.73,0.0,0.0,0.0,0.48,0.327,0.0,0.0,0.0,0.0,0.0,1.351,0.0,4.843,0.0,47.983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.186,0.637,2.875,0.0,0.0,0.904,0.0,0.0,1.054,0.0,0.0,0.0,0.123,0.0,0.0,1.183,0.0,22.913,65.25800000000001,0.0,0.0,0.0,0.575,3.853,0.0,6.218
4-6,0.0,0.0,0.626,0.0,34.646,0.0,0.0,1.223,0.0,0.0,0.0,0.259,0.452,0.0,0.0,0.0,0.0,0.0,0.615,0.0,6.461,0.0,53.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5479999999999999,0.293,0.0,0.0,0.348,0.0,0.0,0.719,0.0,0.122,0.0,0.0,0.0,0.0,0.5489999999999999,0.0,22.222,76.343,0.0,0.0,0.0,0.0,0.488,0.0,0.398
1-7,0.0,4.504,1.937,1.117,31.499,0.148,0.0,0.0,3.581,0.0,0.0,5.27,1.838,0.0,0.0,0.0,0.0,0.117,8.01,0.0,0.0,0.0,8.024,0.0,0.307,0.0,0.264,0.0,0.0,0.104,0.0,0.0,0.386,0.0,0.173,0.253,0.45,1.566,21.814,4.987,0.0,0.0,0.5,0.187,0.333,1.179,0.0,0.0,0.0,1.025,0.0,0.12,0.8350000000000001,0.0,14.823,73.206,0.0,0.0,0.0,2.73,4.179,0.0,4.109
2-7,0.0,2.543,1.597,0.902,22.998,0.221,0.247,0.167,3.834,0.0,0.0,3.065,6.957,0.0,0.0,0.0,0.0,0.0,7.505,0.0,0.0,0.0,9.441,0.0,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267,0.247,0.714,11.021,19.783,0.0,0.0,0.791,0.127,0.811,3.649,0.0,0.0,0.0,2.181,0.0,0.0,4.296,0.0,12.901,64.797,0.0,0.0,0.0,1.978,15.838,0.0,0.189
3-7,0.0,2.053,1.328,1.193,14.01,0.123,0.196,0.242,1.581,0.0,0.0,4.416,18.477,0.0,0.0,0.0,0.0,0.0,6.199,0.0,0.0,0.0,15.442,0.0,0.0,0.0,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.5549999999999999,9.976,12.961,0.178,0.0,0.642,0.0,2.813,4.255,0.0,0.157,0.0,2.211,0.0,0.0,4.714,0.0,20.705,69.682,0.0,0.0,0.0,1.4,2.078,0.0,1.421
