Model,feature,taxon,domain,taxonomic_level,scope,repeats,Macro MCC decrease mean,Macro AUPR decrease mean,Macro ROC-AUC decrease mean,Macro MCC decrease SD,Macro AUPR decrease SD,Macro ROC-AUC decrease SD
KNN,BAC_P::NKB15,NKB15,Bacteria,Phylum,training_resubstitution,3,0.019486396298122582,0.0,0.0,0.006491465495781205,0.0,0.0
KNN,BAC_P::Nitrospirota,Nitrospirota,Bacteria,Phylum,training_resubstitution,3,0.028922060664535804,0.0,0.0,0.0027084354676803514,0.0,0.0
KNN,BAC_P::Patescibacteria,Patescibacteria,Bacteria,Phylum,training_resubstitution,3,0.07406778397438019,0.0,0.0,0.011112252177455985,0.0,0.0
KNN,BAC_P::Planctomycetota,Planctomycetota,Bacteria,Phylum,training_resubstitution,3,0.08438980993332663,0.0,0.0,0.029080103866234608,0.0,0.0
KNN,BAC_P::Proteobacteria,Proteobacteria,Bacteria,Phylum,training_resubstitution,3,0.08500748897610914,0.0,0.0,0.00442458674832778,0.0,0.0
KNN,BAC_P::Spirochaetota,Spirochaetota,Bacteria,Phylum,training_resubstitution,3,0.08074434727908897,0.0,0.0,0.022138406869775612,0.0,0.0
KNN,BAC_P::Sumerlaeota,Sumerlaeota,Bacteria,Phylum,training_resubstitution,3,0.03700676373322468,0.0,0.0,0.015939831790150388,0.0,0.0
KNN,BAC_P::Sva0485,Sva0485,Bacteria,Phylum,training_resubstitution,3,0.021619417281655135,0.0,0.0,0.03744592916185932,0.0,0.0
KNN,BAC_P::Synergistota,Synergistota,Bacteria,Phylum,training_resubstitution,3,0.04683682205023835,0.0,0.0,0.016369201943538355,0.0,0.0
KNN,BAC_P::TA06,TA06,Bacteria,Phylum,training_resubstitution,3,0.012180909712529312,0.0,0.0,0.006325569403298369,0.0,0.0
KNN,BAC_P::Thermotogota,Thermotogota,Bacteria,Phylum,training_resubstitution,3,0.07120954280866591,0.0,0.0,0.005043068949220674,0.0,0.0
KNN,BAC_P::Verrucomicrobiota,Verrucomicrobiota,Bacteria,Phylum,training_resubstitution,3,0.0441367202177132,0.0,0.0,0.014379502011065233,0.0,0.0
KNN,BAC_P::WPS-2,WPS-2,Bacteria,Phylum,training_resubstitution,3,0.009636439157039267,0.0,0.0,0.0039019701982942567,0.0,0.0
KNN,BAC_P::WS1,WS1,Bacteria,Phylum,training_resubstitution,3,0.06989140690118238,0.0,0.0,0.031473796250270275,0.0,0.0
KNN,BAC_P::Zixibacteria,Zixibacteria,Bacteria,Phylum,training_resubstitution,3,0.023467212043830732,0.0,0.0,0.03445037257359522,0.0,0.0
KNN,BAC_P::unidentified,unidentified,Bacteria,Phylum,training_resubstitution,3,0.05634893265076831,0.0,0.0,0.005303269923957535,0.0,0.0
KNN,ARC_P::Aenigmarchaeota,Aenigmarchaeota,Archaea,Phylum,training_resubstitution,3,0.006585874561535476,0.0,0.0,0.011407069352854847,0.0,0.0
KNN,ARC_P::Asgardarchaeota,Asgardarchaeota,Archaea,Phylum,training_resubstitution,3,0.007878514380325052,0.0,0.0,0.0026374575066454814,0.0,0.0
KNN,ARC_P::Crenarchaeota,Crenarchaeota,Archaea,Phylum,training_resubstitution,3,0.06500289385086615,0.0,0.0,0.015195635791114749,0.0,0.0
KNN,ARC_P::Euryarchaeota,Euryarchaeota,Archaea,Phylum,training_resubstitution,3,0.1329339317190771,0.0,0.0,0.0356062731346539,0.0,0.0
KNN,ARC_P::Halobacterota,Halobacterota,Archaea,Phylum,training_resubstitution,3,0.07828814124368604,0.0,0.0,0.010671466736073254,0.0,0.0
KNN,ARC_P::Holozoa,Holozoa,Archaea,Phylum,training_resubstitution,3,0.00430239533220426,0.0,0.0,0.007451967309624956,0.0,0.0
