SampleID,Aenigmarchaeota,Asgardarchaeota,Crenarchaeota,Cryptomycota,Euryarchaeota,Hadarchaeota,Halobacterota,Holozoa,Iainarchaeota,Micrarchaeota,Mollusca,Nanoarchaeota,Thermoplasmatota,Unclassified,Vertebrata,acid_accumulation,acid_base_balance,ammonia_toxicity,biogas_quality,buffer_capacity
2-4,0.0,0.0,0.0008511543781253325,0.0,0.17384828173209915,0.0,0.7786998616874136,0.0,0.0,0.0,0.0,0.0047877433769549956,0.041812958825406955,0.0,0.0,0,0,0,0,0
2-5,0.0,0.0,0.029764098783634355,0.0,0.16190563951345374,0.0,0.7290821968300774,0.0,0.0,0.016586804275709546,0.0,0.018706229266494654,0.035385182454847036,0.008569848875783265,0.0,0,0,0,0,0
2-6,0.0,0.0,0.010801728276524244,0.0,0.16610657705232837,0.0,0.7984877580412866,0.0,0.0,0.0,0.0,0.0,0.024603936629860778,0.0,0.0,0,1,0,1,0
2-7,0.0,0.0,0.04296333627315106,0.0,0.1290160010079375,0.0,0.6479778253748267,0.0,0.0,0.0,0.0,0.019780773592037292,0.15837218092478267,0.0018898828272647095,0.0,0,0,0,0,0
2-8,0.0,0.0,0.011397260273972603,0.0,0.16493150684931507,0.0,0.7055342465753425,0.0,0.0,0.0,0.0,0.005479452054794521,0.11265753424657535,0.0,0.0,0,0,0,0,1
2-9,0.0,0.0,0.002246893999471319,0.0,0.0,0.0,0.8316151202749141,0.0,0.0,0.0,0.0,0.0,0.1360031720856463,0.03013481363996828,0.0,0,1,0,0,0
3-1,0.0,0.0,0.0,0.0,0.0,0.0,0.09520383693045563,0.0,0.0,0.0,0.0,0.0,0.0022382094324540367,0.9025579536370903,0.0,0,0,0,0,0
3-10,0.0,0.0,0.005519440696676071,0.0,0.2158714583588863,0.0,0.6106954495277812,0.0,0.0,0.0,0.0,0.0,0.05445848154053722,0.11345516987611921,0.0,0,0,0,0,0
3-11,0.0,0.0,0.04542664211172499,0.0,0.10220994475138122,0.0,0.5642520974012687,0.0,0.0,0.0019439328831594026,0.0,0.013709842439124207,0.021485573971761818,0.2509719664415797,0.0,0,0,0,0,0
3-12,0.0,0.0,0.0,0.0,0.002183406113537118,0.0,0.8295993924435162,0.0,0.0,0.003892158724131384,0.0,0.0,0.03313081450541105,0.1311942282134042,0.0,0,0,1,0,0
3-13,0.0,0.0,0.009076843733883445,0.0,0.14244455905105724,0.0,0.5109850438370294,0.0,0.0,0.0,0.0,0.03950489943269727,0.027952552862300153,0.2700361010830325,0.0,0,0,0,0,0
3-14,0.0,0.0,0.0,0.0,0.0,0.0,0.6203070571539157,0.0,0.0,0.0,0.0,0.01212746742355825,0.3406012127467424,0.02696426267578377,0.0,0,0,1,0,0
3-15,0.0,0.0,0.003283908846651408,0.0,0.13991441934520849,0.0,0.5739874614389492,0.0,0.0,0.0,0.0,0.0,0.013334660165190566,0.2694795502040004,0.0,0,0,0,0,0
3-16,0.0,0.0,0.0,0.0,0.08628318584070796,0.0,0.8345624385447394,0.0,0.0,0.0,0.0,0.0,0.05457227138643068,0.024582104228121928,0.0,0,0,0,0,0
3-17,0.0,0.0,0.005751346059716104,0.0,0.21940773372491434,0.0,0.6513705335291239,0.0,0.0,0.01529613313754283,0.0,0.0,0.027165932452276064,0.08100832109642682,0.0,0,0,0,0,0
3-18,0.0,0.0,0.010765179677819084,0.0,0.16248451053283766,0.0,0.5828686493184635,0.0,0.0,0.0,0.0,0.0030978934324659233,0.025635068153655516,0.21514869888475838,0.0,0,0,0,0,0
3-19,0.0,0.0,0.0,0.0,0.0,0.0,0.5904477611940299,0.0,0.0,0.0,0.0,0.0,0.1701492537313433,0.23940298507462687,0.0,0,0,0,0,0
3-2,0.0,0.0,0.006073992269464384,0.0,0.120283452972575,0.0,0.8515553101417265,0.0,0.0,0.0,0.0,0.006626173384870237,0.014632799558255107,0.0008282716731087797,0.0,0,0,0,0,0
3-20,0.0,0.0,0.0,0.0,0.0,0.0,0.8073286052009456,0.0,0.0,0.0,0.0,0.0,0.060452549814251945,0.13221884498480244,0.0,0,1,0,0,0
3-21,0.0,0.0,0.002759635728083893,0.0,0.17477692944531323,0.0,0.7381105694048385,0.0,0.0,0.0,0.0,0.0,0.005243307883359397,0.07910955753840493,0.0,0,0,0,0,0
3-22,0.0,0.0,0.0,0.0,0.0032799293553677305,0.0,0.27545099028636305,0.0,0.0,0.0,0.0,0.0,0.0,0.7212690803582692,0.0,0,0,0,1,1
3-23,0.0,0.0,0.0,0.0,0.21312114829549886,0.0,0.7301661596068336,0.0,0.0,0.006084717996723613,0.0,0.006006708791637413,0.033153912161635074,0.011467353147671425,0.0,0,0,0,0,0
3-24,0.0,0.0,0.0019353055017970694,0.0,0.1537185512855958,0.0,0.7488249930881946,0.0,0.0,0.0,0.0,0.0,0.007464749792645839,0.08805640033176666,0.0,0,1,0,0,1
3-25,0.0,0.0,0.0,0.0,0.24855290576522343,0.0,0.7043297059504515,0.0,0.0,0.0,0.0,0.0,0.03855059041444779,0.008566797869877286,0.0,0,0,0,0,0
3-26,0.0,0.0,0.007530807850296669,0.0,0.019169329073482427,0.0,0.8879507074395253,0.0,0.0,0.0,0.0,0.0,0.06617982656321314,0.019169329073482427,0.0,0,0,0,0,0
3-27,0.0,0.0,0.0,0.0,0.0,0.0,0.8377796901893287,0.0,0.0,0.0,0.0,0.0,0.1333907056798623,0.02882960413080895,0.0,0,0,0,0,0
3-28,0.0,0.0,0.0007499062617172854,0.0,0.12860892388451445,0.0,0.8167979002624672,0.0,0.0,0.005174353205849269,0.0,0.0005999250093738283,0.04709411323584552,0.0009748781402324709,0.0,0,1,1,0,0
