mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__l1_ratio,param_model__regressor__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.006114578247070313,0.0004160094891830095,0.002022552490234375,1.583314789052326e-05,0.9,0.01,"{'model__regressor__l1_ratio': 0.9, 'model__regressor__alpha': 0.01}",-0.4550919623097651,-0.39973209775701823,-0.308149212454458,-0.35644246175286054,-0.5411385859410905,-0.4121108640430385,0.08069170675570753,10
0.005496025085449219,0.000454966022867406,0.002024078369140625,1.1844965182262073e-05,1.0,0.01,"{'model__regressor__l1_ratio': 1.0, 'model__regressor__alpha': 0.01}",-0.45532806749507365,-0.39277127323758587,-0.29885847372543484,-0.3432429054436616,-0.532776213173749,-0.40459538661510097,0.08256919589897961,9
0.005051469802856446,4.765190016779927e-05,0.002014350891113281,7.892195173139028e-06,0.1,0.1,"{'model__regressor__l1_ratio': 0.1, 'model__regressor__alpha': 0.1}",-0.45372315728629614,-0.26524975028367637,-0.22119314804546042,-0.26144882603958125,-0.5088246229807595,-0.34208790092715474,0.11600505851980056,8
0.004994344711303711,5.0041191605900245e-05,0.0020298480987548826,9.070440492191054e-06,0.5,0.1,"{'model__regressor__l1_ratio': 0.5, 'model__regressor__alpha': 0.1}",-0.44937478440542594,-0.12081963513932012,-0.14677324381921134,-0.221741461608358,-0.4230406195158273,-0.27234994889762854,0.13808521602957835,7
0.005055379867553711,0.00010282619347019743,0.0020246505737304688,1.1010705869576726e-05,0.9,0.1,"{'model__regressor__l1_ratio': 0.9, 'model__regressor__alpha': 0.1}",-0.4489672182182654,-0.09826368824081201,-0.15223085214825516,-0.19335358261560182,-0.42232764066343614,-0.26302859637727416,0.14437976258794505,6
0.0050219535827636715,9.407933085591429e-05,0.002023124694824219,8.287369450216558e-06,1.0,0.1,"{'model__regressor__l1_ratio': 1.0, 'model__regressor__alpha': 0.1}",-0.4496896226117546,-0.0920544210001121,-0.15379678092554958,-0.18939963214343974,-0.41890240715004934,-0.2607685727661811,0.1453949294803985,5
0.004973077774047851,3.4677111505568105e-05,0.0020250320434570313,7.674856634512707e-06,0.1,1.0,"{'model__regressor__l1_ratio': 0.1, 'model__regressor__alpha': 1.0}",-0.44990223315123423,-0.07433564573096801,-0.15174592408401652,-0.15802394022713154,-0.3471535574167239,-0.23623226012201481,0.1395875263747,4
0.00495452880859375,4.936552110139718e-05,0.0020189285278320312,5.266838558763152e-06,0.5,1.0,"{'model__regressor__l1_ratio': 0.5, 'model__regressor__alpha': 1.0}",-0.45325625801903524,-0.08463750559346968,-0.15980947359834455,-0.08834001905470452,-0.29496711998839864,-0.21620207525079055,0.14088057691915967,3
0.004987955093383789,5.9171629632918184e-05,0.0020311832427978515,1.8457109279883912e-05,0.9,1.0,"{'model__regressor__l1_ratio': 0.9, 'model__regressor__alpha': 1.0}",-0.45423118639227383,-0.08463750559346968,-0.15980947359834455,-0.08494557954357036,-0.29496711998839864,-0.21571817302321145,0.14182965020903052,1
0.004973363876342773,6.083373271846026e-05,0.0020286083221435548,3.193741235664435e-06,1.0,1.0,"{'model__regressor__l1_ratio': 1.0, 'model__regressor__alpha': 1.0}",-0.45423118639227383,-0.08463750559346968,-0.15980947359834455,-0.08494557954357036,-0.29496711998839864,-0.21571817302321145,0.14182965020903052,1
