mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__n_estimators,param_model__regressor__min_samples_leaf,param_model__regressor__max_features,param_model__regressor__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.47201013565063477,0.009895130747618087,0.007155847549438476,4.504190772443814e-05,400,2,1.0,,"{'model__regressor__n_estimators': 400, 'model__regressor__min_samples_leaf': 2, 'model__regressor__max_features': 1.0, 'model__regressor__max_depth': None}",-0.4591625617155223,-0.0966165260830007,-0.16473102725260527,-0.2586414951763122,-0.23787977325535148,-0.24340627669655834,0.1221068830229112,13
0.18213300704956054,0.0021994598967416635,0.0046390056610107425,4.455317978595852e-05,200,4,1.0,8,"{'model__regressor__n_estimators': 200, 'model__regressor__min_samples_leaf': 4, 'model__regressor__max_features': 1.0, 'model__regressor__max_depth': 8}",-0.45048358797840293,-0.12878898919126508,-0.16971061426005432,-0.20262074359463408,-0.24340572991047096,-0.23900193298696548,0.11226366696121247,10
0.18892765045166016,0.0028878154561207525,0.004712343215942383,7.932412216248258e-05,200,1,0.5,,"{'model__regressor__n_estimators': 200, 'model__regressor__min_samples_leaf': 1, 'model__regressor__max_features': 0.5, 'model__regressor__max_depth': None}",-0.4582214273254775,-0.09853695853892958,-0.16440392321361336,-0.3423675674518904,-0.21098178652200883,-0.2549023326103839,0.12927329829643666,17
0.1303863525390625,0.0010928791642405007,0.0045814037322998045,2.069242526080904e-05,200,4,0.5,,"{'model__regressor__n_estimators': 200, 'model__regressor__min_samples_leaf': 4, 'model__regressor__max_features': 0.5, 'model__regressor__max_depth': None}",-0.448423002174598,-0.11312152488522323,-0.16382461093871153,-0.15845521590088404,-0.2453339039371186,-0.22583165156730706,0.11917657239574653,4
0.2519676208496094,0.0023010183293609896,0.007023382186889649,7.164284311546723e-05,400,4,0.5,8,"{'model__regressor__n_estimators': 400, 'model__regressor__min_samples_leaf': 4, 'model__regressor__max_features': 0.5, 'model__regressor__max_depth': 8}",-0.44819265563955907,-0.11384366607762847,-0.16237894924799673,-0.1564824790876347,-0.24146718426827785,-0.22447298686421938,0.11921117247578847,1
0.23241233825683594,0.0012275298621454117,0.0068684577941894535,2.6598197235801505e-05,400,2,0.5,4,"{'model__regressor__n_estimators': 400, 'model__regressor__min_samples_leaf': 2, 'model__regressor__max_features': 0.5, 'model__regressor__max_depth': 4}",-0.45463958562368467,-0.10076922177632303,-0.1606959687182258,-0.19575770003730175,-0.23540286629797116,-0.2294530684907013,0.12096843937322901,6
0.3287299633026123,0.00171697754846573,0.006831932067871094,6.633341333564028e-05,400,1,1.0,4,"{'model__regressor__n_estimators': 400, 'model__regressor__min_samples_leaf': 1, 'model__regressor__max_features': 1.0, 'model__regressor__max_depth': 4}",-0.4624233714092798,-0.07558646330283106,-0.170332970714093,-0.4039640624790128,-0.22404255880631724,-0.2672698853423068,0.14476054894136306,19
0.25302915573120116,0.0027416975096274123,0.007033920288085938,6.945679512498881e-05,400,4,0.5,,"{'model__regressor__n_estimators': 400, 'model__regressor__min_samples_leaf': 4, 'model__regressor__max_features': 0.5, 'model__regressor__max_depth': None}",-0.44819153847214843,-0.11394026465407785,-0.16286062262321066,-0.1560609127015885,-0.24187565748867912,-0.2245857991879409,0.11920281678139615,2
0.3631863594055176,0.006260335017455503,0.007023477554321289,8.077072543754895e-05,400,4,1.0,,"{'model__regressor__n_estimators': 400, 'model__regressor__min_samples_leaf': 4, 'model__regressor__max_features': 1.0, 'model__regressor__max_depth': None}",-0.44914573650818646,-0.1311992759425013,-0.16969687692096735,-0.20314826464535662,-0.23621146026526374,-0.23788032285645508,0.11124028411116124,9
0.38292813301086426,0.018862699188203356,0.007520437240600586,0.000381774899485014,400,1,0.5,,"{'model__regressor__n_estimators': 400, 'model__regressor__min_samples_leaf': 1, 'model__regressor__max_features': 0.5, 'model__regressor__max_depth': None}",-0.45753524650874067,-0.10501150884562824,-0.16475484276161903,-0.32156995612232464,-0.2087072352641188,-0.2515157579004863,0.1250401066634872,15
