SampleID,substrate1_Q,substrate1_pH,substrate1_ALK,substrate1_VS,substrate1_COD,substrate1_sCOD,substrate1_TC,substrate1_Protein,substrate1_Lipid,substrate1_TVFAs,substrate1_HAc,substrate1_HPro,substrate2_Q,substrate2_pH,substrate2_ALK,substrate2_VS,substrate2_COD,substrate2_sCOD,substrate2_TC,substrate2_Protein,substrate2_Lipid,substrate2_TVFAs,substrate2_HAc,substrate2_HPro,substrate3_Q,substrate3_pH,substrate3_ALK,substrate3_VS,substrate3_COD,substrate3_sCOD,substrate3_TC,substrate3_Protein,substrate3_Lipid,substrate3_TVFAs,substrate3_HAc,substrate3_HPro,HRT_d,T_C,eff_pH,eff_VS,eff_TC,eff_Lipid,eff_COD,eff_sCOD,eff_CH4,eff_H2S,eff_protein,has_substrate2,has_substrate3,substrate1_name,substrate2_name,substrate3_name,ARC__Halobacterota,ARC__Euryarchaeota,ARC__unidentified,ARC__Thermoplasmatota,ARC__Crenarchaeota,ARC__Nanoarchaeota,ARC__Micrarchaeota,ARC__Asgardarchaeota,ARC__Mollusca,ARC__Vertebrata,BAC__Firmicutes,BAC__Bacteroidota,BAC__Cloacimonadota,BAC__Proteobacteria,BAC__Desulfobacterota,BAC__Chloroflexi,BAC__Spirochaetota,BAC__Thermotogota,BAC__Synergistota,BAC__Actinobacteriota,Site,Season,target
3-19,21295.0,5.32,2.9175,40.72,68.53,24.5,5.15,19.17,0.0,1.96,1.03,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,38.0,7.95,19.05,4.79,0.0,35.4,4.8,64.3,0.141,23.3765703125,0,0,FW,None,None,59.044,0.0,23.94,17.015,0.0,0.0,0.0,0.0,0.0,0.0,59.881,32.993,3.373,0.014,0.0,0.021,0.7860000000000001,1.042,1.236,0.295,ADP,Winter,0.01537462844647921
1-20,84678.0,5.64,3.824,37.98,111.12,84.6,11.56,15.318,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.0,8.19,13.87,2.55,2.15,34.39,6.3,63.02,0.0940999999999999,9.471234374999998,0,0,FW+Fww+Aww,None,None,93.319,0.477,4.379,1.814,0.009,0.0,0.0,0.0,0.0,0.0,61.876,23.899,11.08,0.117,0.094,0.047,0.138,0.0,0.7869999999999999,0.286,YCG,Summer,0.0
2-20,84678.0,5.91,0.9628,29.75,105.48,57.6,13.25,10.894,3.77,17.01,3.88,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.0,8.18,14.02,2.67,1.55,17.88,4.0,70.69,0.1005,7.1968499999999995,0,0,FW+Fww+Aww,None,None,88.509,0.317,4.945,6.229,0.0,0.0,0.0,0.0,0.0,0.0,68.515,18.957,8.946,0.288,0.0,0.062,0.169,0.0,0.734,0.168,YCG,Fall,0.14735226400613968
3-20,84678.0,5.775,2.3934,33.864999999999995,108.3,71.1,12.405,13.106,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.0,8.11,11.63,1.37,0.0,16.87,1.8,66.9,0.056,19.3628419375,0,0,FW+Fww+Aww,None,None,80.733,0.0,13.222,6.045,0.0,0.0,0.0,0.0,0.0,0.0,66.30199999999999,9.931000000000001,21.441,0.0,0.281,0.0,0.554,0.0,0.483,0.0,YCG,Winter,0.0013705576799199596
1-21,17605.0,5.87,0.507,9.27,27.56,0.5,0.69,4.265,0.82,0.73,0.37,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,34.0,7.22,10.58,1.7,1.25,31.35,0.4,,,5.929152500000001,0,0,(HM)1SC,None,None,72.244,23.484,2.569,1.242,0.432,0.028,0.0,0.0,0.0,0.0,20.76,30.573,9.156,11.795,9.842,4.79,3.0,0.646,1.033,0.739,YCD,Summer,0.22140221402214022
2-21,17605.0,6.38,0.2708,5.9,6.82,0.6,1.38,3.004,1.05,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,34.0,7.2,13.7,2.9,2.85,15.42,0.3,68.2,2.143,5.988575,0,0,(HM)1SC,None,None,71.901,24.782,0.758,2.081,0.479,0.0,0.0,0.0,0.0,0.0,21.351,22.232,4.752,27.709,8.662,3.123,1.121,0.921,1.059,2.341,YCD,Fall,0.01341741580571582
3-21,17605.0,5.83,0.0549,23.97,37.33,0.6,7.91,13.82,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,34.0,7.02,15.82,3.94,0.0,24.2,0.2,66.4,0.779,12.7661646875,0,0,(HM)1SC,None,None,73.81099999999999,17.478,7.911,0.524,0.276,0.0,0.0,0.0,0.0,0.0,20.028,30.479,2.743,26.688,5.179,1.574,2.293,0.254,1.204,1.652,YCD,Winter,0.0
4-21,17605.0,6.27,0.5041,21.17,38.59,0.6,7.57,22.66,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,34.0,6.99,17.38,5.02,1.1,28.28,0.2,65.7,0.908,15.893437500000001,0,0,(HM)1SC,None,None,80.361,15.542,0.224,0.95,0.829,1.84,0.0,0.255,0.0,0.0,15.594,31.799,10.358,19.437,6.479,1.388,1.872,0.999,1.369,1.175,YCD,Spring,0.0
1-22,17134.0,5.82,4.77,27.9,75.75,36.3,8.55,11.687,4.63,0.74,0.22,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,31.0,8.0,12.3,2.83,1.78,23.16,6.9,67.1,0.034,7.526987499999999,0,0,FW+HM+Aww,None,None,92.55999999999999,0.26,2.236,4.188,0.516,0.01,0.228,0.0,0.0,0.0,46.526,22.929,19.223,0.109,0.878,0.05,4.273,0.0,1.681,0.252,UJG,Summer,0.0009689922480620155
2-22,17134.0,6.03,0.8525,32.08,85.01,11.2,8.17,12.644,0.38,8.91,3.63,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,31.0,7.82,12.0,3.99,0.62,26.97,3.2,39.5,0.295,9.078596875,0,0,FW+HM+Aww,None,None,75.68700000000001,8.396,13.237,2.68,0.0,0.0,0.0,0.0,0.0,0.0,56.905,26.191,6.180000000000001,0.173,0.463,0.102,4.707,0.0,1.448,0.215,UJG,Fall,0.03501945525291829
4-22,17134.0,6.41,3.79,31.08,60.63,29.8,20.03,13.07,4.3,1.72,1.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,31.0,7.29,20.7,6.05,1.55,43.13,17.7,57.7,0.764,6.035000000000002,0,0,FW+HM+Aww,None,None,97.68900000000001,0.366,0.066,1.882,0.0,0.0,0.0,0.0,0.0,0.0,57.645,33.912,1.537,0.391,0.146,0.0,3.717,0.016,0.8939999999999999,0.245,UJG,Spring,0.024166263895601742
1-23,125697.0,4.83,0.2675,21.93,40.62,3.1,7.51,9.871,2.07,1.46,0.92,0.29,125697.0,6.57,0.7275,19.7,38.57,0.5,3.99,11.017,1.17,0.33,0.25,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,35.0,7.37,16.9,2.99,1.15,17.7,1.7,61.06,2.849,9.032386249999998,1,0,1SC,2SC,None,75.33800000000001,18.417,2.189,3.086,0.422,0.547,0.0,0.0,0.0,0.0,20.812,21.499,5.868,9.847999999999999,1.522,22.58,2.971,5.234,4.331,0.597,CGS,Summer,0.004321988114532685
2-23,125697.0,5.07,0.0268,19.17,28.41,2.0,7.24,8.253,2.6,1.36,0.83,0.32,125697.0,6.55,0.1473,16.45,21.69,0.5,4.62,8.283,1.62,0.02,0.01,0.0,46573.0,4.29,0.0,134.77,252.23,48.0,82.44,37.008,12.65,1.96,1.96,0.0,27.0,35.0,7.1,13.95,3.84,2.17,20.56,1.4,51.3,0.028,8.45795625,1,1,1SC,2SC,FW,77.208,20.638,0.215,1.94,0.0,0.0,0.0,0.0,0.0,0.0,10.139,18.866,12.626,3.285,0.375,43.377,3.584,3.478,1.955,0.237,CGS,Fall,0.04759071980963712
3-23,125697.0,5.54,0.7313,24.63,38.04,1.1,10.32,10.01,4.0,0.53,0.28,0.15,125697.0,6.6,0.5575,21.93,31.31,0.4,7.48,9.86,1.47,0.0,0.0,0.0,46573.0,3.8,,,,,,,,,,,27.0,35.0,7.25,18.25,6.21,1.6,25.66,0.3,51.4,4.019,14.025941125,1,1,1SC,2SC,FW,73.017,21.312,1.147,3.316,0.0,0.601,0.608,0.0,0.0,0.0,14.856,17.094,10.765,10.169,0.845,31.552,2.362,3.799,4.098,0.489,CGS,Winter,0.0
4-23,125697.0,4.84,0.0,33.33,54.83,1.6,28.67,15.1,0.7,1.02,0.42,0.34,125697.0,6.29,0.873,21.63,31.02,0.4,9.87,13.77,1.5,0.0,0.0,0.0,46573.0,3.74,,96.75,117.47,41.1,75.19,22.53,21.65,1.17,1.17,0.0,27.0,35.0,7.31,18.25,7.67,1.65,25.1,0.3,47.4,2.998,11.387812499999999,1,1,1SC,2SC,FW,88.369,11.214,0.19,0.0,0.169,0.056,0.0,0.0,0.0,0.0,19.574,26.335,9.629,8.372,2.038,17.132,1.179,3.009,3.936999999999999,2.303,CGS,Spring,0.0
1-24,39709.0,5.62,0.4909,23.67,36.19,1.7,5.06,4.569,4.68,1.0,0.15,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,36.0,7.26,9.35,2.75,1.33,13.6,1.5,63.9,1.689,5.33491375,0,0,1S,None,None,83.765,10.947,4.582,0.538,0.11,0.06,0.0,0.0,0.0,0.0,25.015,19.85,7.779000000000001,7.629,21.18,2.784,6.337000000000001,0.272,2.324,1.025,GHGa,Summer,0.02295081967213115
2-24,39709.0,5.16,0.0808,19.37,33.41,2.3,7.7,7.005,2.78,1.06,0.33,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,36.0,7.46,9.25,2.37,1.88,10.6,0.5,64.5,2.2,4.456625000000001,0,0,1S,None,None,78.237,15.819,3.978,1.966,0.0,0.0,0.0,0.0,0.0,0.0,25.375,20.128,5.952,8.129,18.719,1.624,8.062,0.357,1.64,1.275,GHGa,Fall,0.10268697586856065
3-24,39709.0,4.48,0.457,22.57,42.35,3.2,13.22,9.98,6.52,1.86,0.82,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,36.0,6.08,48.4,10.59,2.8,39.4,0.6,64.3,1.8,11.650145812499998,0,0,1S,None,None,74.882,15.372,8.806000000000001,0.746,0.194,0.0,0.0,0.0,0.0,0.0,30.81,14.922,11.418,4.825,21.522,1.495,8.624,0.301,2.001,0.344,GHGa,Winter,0.7387862796833774
1-25,100200.0,6.23,1.8301,6.97,11.12,0.1,2.72,2.958,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,36.0,7.62,25.42,9.68,2.28,44.79,3.7,63.9,1.689,19.367437499999998,0,0,2S,None,None,75.83500000000001,17.981,2.978,3.196,0.012,0.0,0.0,0.0,0.0,0.0,15.82,24.654,16.02,18.132,3.171,2.01,0.847,0.059,6.915999999999999,5.988,GHGb,Summer,0.0
2-25,100200.0,6.37,0.2555,46.5,34.83,0.3,16.97,25.11,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,36.0,8.01,23.68,7.68,3.15,34.67,2.6,64.5,2.2,15.978334375000003,0,0,2SC,None,None,79.748,16.826,1.46,1.965,0.0,0.0,0.0,0.0,0.0,0.0,17.138,21.343,3.548,19.092,4.109999999999999,6.049,0.9490000000000001,0.292,10.111,4.695,GHGb,Fall,0.0
3-25,100200.0,6.38,2.7,9.02,17.04,0.7,5.42,14.59,1.83,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,36.0,7.22,18.47,11.28,2.67,36.45,2.8,64.3,1.8,23.604370625000005,0,0,2SC,None,None,70.43299999999999,24.855,0.856,3.855,0.0,0.0,0.0,0.0,0.0,0.0,13.859,23.079,20.984,17.866,2.522,1.521,1.712,0.341,7.391,4.112,GHGb,Winter,0.002629157355067701
4-25,100200.0,6.11,2.535,29.13,70.3,1.1,9.61,24.27,3.1,1.92,0.68,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,36.0,7.75,18.45,5.99,2.15,29.79,2.3,66.1,2.15,10.647187499999996,0,0,2SC,None,None,74.77,21.601,0.119,3.508,0.0,0.0,0.0,0.0,0.0,0.0,16.798,16.048,28.465,18.359,3.042,1.276,1.121,0.274,4.77,4.494,GHGb,Spring,0.0
1-26,55277.0,4.95,1.6625,37.63,76.8,4.1,11.87,14.255,11.55,140.19,69.86,37.02,68891.0,8.49,5.7475,35.32,64.88,11.6,10.96,17.365,3.33,5.28,1.92,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.9,36.0,7.64,21.18,6.92,3.15,28.99,3.6,63.8,0.01015,11.121112499999999,1,0,(HM)1SC,2SC,None,92.62100000000001,0.408,5.212,1.03,0.729,0.0,0.0,0.0,0.0,0.0,51.07,33.368,0.012,3.484,0.07300000000000001,0.033,0.0,0.458,1.154,0.708,GHH,Summer,0.004685669660288949
2-26,124168.0,8.36,1.031,26.28,15.25,5.9,9.63,14.44,2.57,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.9,36.0,7.56,16.77,4.91,2.35,21.22,1.4,67.2,1.327,8.220262499999999,0,0,(HM)MSC,None,None,94.199,1.257,0.524,2.881,1.14,0.0,0.0,0.0,0.0,0.0,21.373,6.91,47.48,6.548,0.069,0.373,0.089,0.267,2.366,0.648,GHH,Fall,0.06286836935166995
3-26,124168.0,8.84,4.5433,25.83,49.44,9.9,12.56,31.77,3.92,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.9,36.0,7.76,16.93,10.81,3.23,40.61,2.6,64.3,1.796,16.8023475,0,0,(HM)MSC,None,None,88.794,1.917,1.916,6.618,0.753,0.0,0.0,0.0,0.0,0.0,35.174,14.107,18.905,9.701,0.054,0.165,0.223,1.948,3.516,3.435,GHH,Winter,0.005005840146837977
4-26,55277.0,5.0,1.6625,36.8,95.56,3.4,22.45,17.16,6.2,2.0,0.66,0.71,68891.0,7.85,5.7475,23.6,43.42,0.4,7.9,24.64,1.9,0.17,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.9,36.0,7.63,19.88,8.16,2.95,35.08,2.2,66.0,1.835,10.91875,1,0,(HM)1SC,2SC,None,95.343,0.818,0.351,3.021,0.466,0.0,0.0,0.0,0.0,0.0,33.034,11.895,29.94,6.403,0.107,0.148,0.029,0.88,3.247,1.758,GHH,Spring,0.0
1-27,25578.0,3.53,,81.43,184.61,119.8,38.22,25.816,6.93,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,38.0,7.73,17.85,2.71,1.4,38.08,13.0,59.84,0.1174,15.7637390625,0,0,Fww,None,None,88.14,1.431,7.412999999999999,3.016,0.0,0.0,0.0,0.0,0.0,0.0,58.406,30.248,6.138,0.136,0.02,0.152,0.734,0.066,1.68,0.014,GHJ,Summer,0.008471704506946799
2-27,25578.0,3.73,,79.72,176.28,94.4,5.76,27.632,10.18,3.94,3.5,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,38.0,8.1,16.02,22.76,2.18,25.83,6.8,59.34,0.0998,14.063587500000002,0,0,Fww,None,None,80.833,3.085,9.704,6.38,0.0,0.0,0.0,0.0,0.0,0.0,67.243,28.136,1.598,0.153,0.0,0.065,0.123,0.034,1.221,0.0,GHJ,Fall,0.051863857374392225
3-27,25578.0,3.41,,76.13,141.24,91.9,25.24,18.49,8.555,3.02,3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,38.0,7.92,16.47,2.71,1.79,31.39,7.4,61.22,0.0726,17.332223000000003,0,0,Fww,None,None,83.778,0.0,2.883,13.339,0.0,0.0,0.0,0.0,0.0,0.0,63.535,25.563,7.884,0.0,0.023,0.02,1.042,0.261,1.156,0.0,GHJ,Winter,0.0
4-27,25578.0,3.41,,78.55,197.72,128.6,35.15,24.69,10.45,3.87,3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,38.0,7.76,17.08,6.72,2.55,28.69,6.8,59.46,0.1124,16.572500000000005,0,0,Fww,None,None,89.748,0.342,0.0,9.911000000000001,0.0,0.0,0.0,0.0,0.0,0.0,63.504,27.01,6.601,0.0,0.0,0.016,0.544,0.217,1.072,0.0,GHJ,Spring,0.0
1-28,23843.0,6.08,3.491,46.23,171.65,120.1,8.32,2.773,4.9,1.43,0.47,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,8.14,11.6,3.12,1.15,20.64,4.9,68.2,0.0,12.408421875000004,0,0,FW+Aww,None,None,86.969,3.34,3.951,5.379,0.199,0.044,0.118,0.0,0.0,0.0,53.693,32.778,6.372,0.51,0.206,0.036,1.844,0.0,1.57,0.252,MYS,Summer,0.0019928258270227183
2-28,23843.0,6.25,1.23,24.47,60.55,27.4,6.21,9.772,2.9,11.0,3.61,2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,8.09,6.68,1.15,0.88,7.88,2.5,66.8,0.001,3.7635,0,0,FW+Aww,None,None,82.532,12.576,0.027,4.297000000000001,0.081,0.0,0.486,0.0,0.0,0.0,1.737,0.421,0.232,93.509,0.215,0.629,0.0,0.0,0.254,2.301,MYS,Fall,0.04539522215286841
3-28,23843.0,5.15,3.262,61.45,110.5,43.5,51.25,25.28,11.3,4.47,2.57,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,8.07,9.52,2.77,2.07,18.63,3.4,63.9,3.297,8.887122125,0,0,FW+Aww,None,None,81.68,12.861,0.097,4.709,0.075,0.06,0.517,0.0,0.0,0.0,61.532,24.548,8.128,0.313,0.222,0.026,1.771,0.015,1.192,0.06,MYS,Winter,0.0034322979234597565
4-28,23843.0,6.97,6.2625,39.58,97.65,38.4,17.03,15.38,7.0,4.79,2.08,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,8.07,12.35,4.07,1.95,20.04,3.7,68.4,2.509,9.452500000000002,0,0,FW+Aww,None,None,93.533,3.641,0.188,2.638,0.0,0.0,0.0,0.0,0.0,0.0,61.927,19.103,12.929,0.335,0.132,0.0,1.221,0.0,0.415,0.109,MYS,Spring,0.0
1-29,5978.0,6.65,1.496,26.28,29.58,0.3,7.06,9.957,5.75,0.01,0.01,0.0,9254.0,6.35,0.966,32.15,69.83,3.8,17.55,16.249,2.9,28.81,13.71,4.3,29881.0,4.13,,148.01,72.67,44.3,91.52,65.036,10.25,0.18,0.13,0.03,61.0,35.3,7.02,16.27,4.73,1.5,18.15,3.6,56.9,0.0064,5.315106249999999,1,1,(HM)1SC,2SC,Fww,75.159,19.946,1.958,1.758,0.529,0.649,0.0,0.0,0.0,0.0,14.659,30.022,11.375,9.781,6.663,6.928999999999999,0.8530000000000001,1.873,7.866000000000001,1.201,SCH,Summer,0.02372479240806643
2-29,5978.0,6.4,1.09,23.55,37.82,3.6,4.01,27.797,2.4,5.8,4.46,0.77,9254.0,6.35,0.966,32.15,69.83,3.8,17.55,16.249,2.9,28.81,13.71,4.3,29881.0,3.96,,44.15,100.23,22.1,5.88,14.608,49.63,1.15,0.57,0.26,61.0,35.3,6.31,23.55,3.14,4.43,38.35,0.5,61.9,1.318,8.66924,1,1,(HM)1SC,2SC,Fww,80.351,15.448,0.164,2.241,0.354,1.41,0.0,0.0,0.0,0.0,21.108,28.285,0.667,24.764,3.556,0.143,1.652,0.057,0.937,0.5569999999999999,SCH,Fall,0.002577319587628866
3-29,5978.0,5.69,1.116,29.03,50.07,3.1,13.14,13.62,8.7,0.0,0.0,0.0,9254.0,6.07,2.09,38.3,83.96,8.1,20.14,14.45,0.0,0.16,0.0,0.0,29881.0,3.99,0.0,42.78,84.66,36.7,19.16,15.43,0.0,0.94,0.94,0.0,61.0,35.3,6.63,15.67,5.82,1.65,22.36,0.9,64.0,1.839,8.1219178125,1,1,(HM)1SC,2SC,Fww,81.72200000000001,14.799,0.21,1.652,0.42,1.198,0.0,0.0,0.0,0.0,20.766,33.029,5.897,5.058,5.73,8.981,2.431,2.195,7.422,1.378,SCH,Winter,0.0
4-29,5978.0,5.85,0.685,25.6,34.54,2.1,8.17,11.75,2.85,0.0,0.0,0.0,9254.0,6.36,0.804,44.65,71.95,6.9,14.84,29.99,3.05,0.0,0.0,0.0,29881.0,3.89,,57.2,111.23,48.2,15.84,18.0,22.05,1.44,1.14,0.0,61.0,35.3,7.08,19.3,11.41,1.45,22.81,0.9,63.7,1.867,17.37375,1,1,(HM)1SC,2SC,Fww,81.28999999999999,17.474,0.0,0.847,0.0,0.389,0.0,0.0,0.0,0.0,23.697,32.618,5.845,3.303,6.447,11.857,1.056,1.737,6.592,1.047,SCH,Spring,0.0
1-30,90274.0,6.13,0.462,5.4,29.32,0.7,0.8,2.469,0.47,17.58,9.18,3.65,104315.0,6.39,1.886,40.28,62.28,0.6,2.15,24.258,2.2,0.9,0.51,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,35.0,7.18,15.47,7.71,1.5,23.7,1.2,65.4,0.284,8.121207499999999,1,0,(HM)1SC,2SC,None,66.938,25.549,3.398,3.859,0.095,0.0,0.0,0.0,0.0,0.0,10.144,20.728,21.259,17.672,3.915,5.595,8.181,0.322,1.593,2.279,YSD,Summer,0.0
2-30,194589.0,6.25,0.167,26.88,49.63,0.8,3.04,29.201,5.23,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,35.0,7.31,18.75,10.51,3.72,30.77,7.7,65.0,0.0,12.21485,0,0,(HM)MSC,None,None,58.433,37.236,0.6829999999999999,3.649,0.0,0.0,0.0,0.0,0.0,0.0,11.865,32.774,11.46,16.745,4.909,2.742,1.737,0.923,4.768,4.027,YSD,Fall,0.00919709371838499
3-30,194589.0,7.53,6.882,20.53,38.04,1.7,9.75,9.31,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,35.0,7.62,19.7,10.54,2.27,38.24,2.1,61.3,0.003,16.82478925,0,0,(HM)MSC,None,None,84.118,12.971,0.0,2.912,0.0,0.0,0.0,0.0,0.0,0.0,17.402,19.225,10.553,23.4,5.562,3.086,2.977,0.608,5.18,6.026,YSD,Winter,0.0
4-30,194589.0,6.19,0.316,66.12,89.44,4.0,30.15,46.14,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,35.0,7.62,18.4,11.65,2.95,29.9,1.6,62.5,0.038,16.243124999999996,0,0,(HM)MSC,None,None,82.098,14.874,0.0,3.029,0.0,0.0,0.0,0.0,0.0,0.0,17.775,29.904,7.172000000000001,19.599,7.234000000000001,1.921,3.562,0.366,0.8089999999999999,4.787,YSD,Spring,0.0
