,missing,missing_percent
BAC_O::Petrotogales,0,0.0
BAC_O::Phycisphaerales,0,0.0
BAC_O::Pirellulales,0,0.0
BAC_O::Pla1_lineage,0,0.0
BAC_O::Pla3_lineage,0,0.0
BAC_O::Pla4_lineage,0,0.0
BAC_O::Planctomycetales,0,0.0
BAC_O::Polyangiales,0,0.0
BAC_O::Propionibacteriales,0,0.0
BAC_O::Proteinivoracales,0,0.0
BAC_O::Pseudomonadales,0,0.0
BAC_O::R7C24,0,0.0
BAC_O::RBG-13-54-9,0,0.0
BAC_O::RBG-16-55-12,0,0.0
BAC_O::RF39,0,0.0
BAC_O::Reyranellales,0,0.0
BAC_O::Rhizobiales,0,0.0
BAC_O::Rhodobacterales,0,0.0
BAC_O::Rhodospirillales,0,0.0
BAC_O::Rickettsiales,0,0.0
BAC_O::Rs-M47,0,0.0
BAC_O::Rubrobacterales,0,0.0
BAC_O::Run-SP154,0,0.0
BAC_O::S-70,0,0.0
BAC_O::S085,0,0.0
BAC_O::SBR1031,0,0.0
BAC_O::SGST604,0,0.0
BAC_O::SHA-26,0,0.0
BAC_O::SJA-15,0,0.0
BAC_O::SJA-28,0,0.0
BAC_O::SM1A07,0,0.0
BAC_O::Saccharimonadales,0,0.0
BAC_O::Sericytochromatia,0,0.0
BAC_O::Silvanigrellales,0,0.0
BAC_O::Solibacterales,0,0.0
BAC_O::Solirubrobacterales,0,0.0
BAC_O::Sphingobacteriales,0,0.0
BAC_O::Sphingomonadales,0,0.0
BAC_O::Spirochaetales,0,0.0
BAC_O::Steroidobacterales,0,0.0
BAC_O::Sumerlaeales,0,0.0
BAC_O::Sva0485,0,0.0
BAC_O::Symbiobacteriales,0,0.0
BAC_O::Synergistales,0,0.0
BAC_O::Syntrophales,0,0.0
BAC_O::Syntrophobacterales,0,0.0
BAC_O::Syntrophomonadales,0,0.0
BAC_O::Syntrophorhabdales,0,0.0
BAC_O::TA06,0,0.0
BAC_O::TK10,0,0.0
BAC_O::Tepidisphaerales,0,0.0
BAC_O::Thermacetogeniales,0,0.0
BAC_O::Thermales,0,0.0
BAC_O::Thermoactinomycetales,0,0.0
BAC_O::Thermoanaerobacterales,0,0.0
BAC_O::Thermoanaerobaculales,0,0.0
BAC_O::Thermomicrobiales,0,0.0
BAC_O::Thermotogales,0,0.0
BAC_O::Thermovenabulales,0,0.0
BAC_O::Thiotrichales,0,0.0
BAC_O::Tistrellales,0,0.0
BAC_O::UASB-TL25,0,0.0
BAC_O::V2072-189E03,0,0.0
BAC_O::VHS-B3-70,0,0.0
BAC_O::VHS-B4-70,0,0.0
BAC_O::Veillonellales-Selenomonadales,0,0.0
BAC_O::Verrucomicrobiales,0,0.0
BAC_O::Vibrionales,0,0.0
BAC_O::Vicinamibacterales,0,0.0
BAC_O::Victivallales,0,0.0
BAC_O::WCHB1-41,0,0.0
BAC_O::WCHB1-81,0,0.0
BAC_O::WD260,0,0.0
BAC_O::WOR-1,0,0.0
BAC_O::WPS-2,0,0.0
BAC_O::WS1,0,0.0
BAC_O::WS2,0,0.0
BAC_O::WS4,0,0.0
BAC_O::WWE3,0,0.0
BAC_O::Xanthomonadales,0,0.0
BAC_O::Zixibacteria,0,0.0
BAC_O::bacteriap25,0,0.0
BAC_O::c5LKS83,0,0.0
BAC_O::mle1-8,0,0.0
BAC_O::unidentified,0,0.0
BAC_O::vadinHA49,0,0.0
ARC_O::Aenigmarchaeales,0,0.0
ARC_O::Bathyarchaeia,0,0.0
ARC_O::Hadarchaeia,0,0.0
ARC_O::Iainarchaeales,0,0.0
ARC_O::LKM11,0,0.0
ARC_O::Lokiarchaeia,0,0.0
ARC_O::Marine_Benthic_Group_D_and_DHVEG-1,0,0.0
ARC_O::Methanofastidiosales,0,0.0
ARC_O::Methanomassiliicoccales,0,0.0
ARC_O::Methanomethyliales,0,0.0
ARC_O::Methanomicrobiales,0,0.0
ARC_O::Methanosarciniales,0,0.0
ARC_O::Micrarchaeales,0,0.0
ARC_O::Nitrososphaerales,0,0.0
ARC_O::Odinarchaeia,0,0.0
ARC_O::Rhinosporideacae,0,0.0
ARC_O::Teleostei,0,0.0
ARC_O::Veneroida,0,0.0
ARC_O::Woesearchaeales,0,0.0
ARC_O::unidentified,0,0.0
