target,positives,samples,MCC,AUPR,ROC-AUC,both_classes_present,Model,scope
warning_acid_accumulation,3,109,0.12032792975605996,0.04719076488980401,0.7295597484276729,True,NNET,CV_OOF_optimized
warning_ammonia_toxicity,22,109,0.6260187535773305,0.5135641824311329,0.887669801462905,True,NNET,CV_OOF_optimized
warning_biogas_quality,5,109,0.4236808875858038,0.4255714050210885,0.551923076923077,True,NNET,CV_OOF_optimized
warning_acid_base_balance,15,109,0.4447649952586089,0.330534022483406,0.8141843971631205,True,XGBoost,CV_OOF_optimized
warning_buffer_capacity,8,109,0.3419037118080881,0.22972663981422545,0.6726485148514851,True,XGBoost,CV_OOF_optimized
warning_acid_accumulation,3,109,0.5719794522770556,0.37564102564102564,0.8270440251572327,True,XGBoost,CV_OOF_optimized
warning_ammonia_toxicity,22,109,0.577562024292726,0.4112714294898069,0.8338557993730408,True,XGBoost,CV_OOF_optimized
warning_biogas_quality,5,109,0.167003206322471,0.054091055742520905,0.5230769230769231,True,XGBoost,CV_OOF_optimized
warning_acid_base_balance,15,109,0.5395694438644631,0.4411825839313161,0.8184397163120568,True,GLMNET,CV_OOF_optimized
warning_buffer_capacity,8,109,0.3981747291702386,0.2640987452013395,0.7400990099009901,True,GLMNET,CV_OOF_optimized
warning_acid_accumulation,3,109,0.5719794522770556,0.37396046133480976,0.7138364779874213,True,GLMNET,CV_OOF_optimized
warning_ammonia_toxicity,22,109,0.6873676521129023,0.5046414908947463,0.8944618599791013,True,GLMNET,CV_OOF_optimized
warning_biogas_quality,5,109,0.7672543550107871,0.622445074966709,0.7423076923076923,True,GLMNET,CV_OOF_optimized
warning_acid_base_balance,5,29,0.5166666666666667,0.5599209486166008,0.8,True,RandomForest,test
warning_buffer_capacity,1,29,0.3700064349504774,0.25,0.9642857142857143,True,RandomForest,test
warning_acid_accumulation,1,29,0.6943650748294136,1.0,1.0,True,RandomForest,test
warning_ammonia_toxicity,4,29,0.7831560082980488,0.9083333333333333,0.9800000000000001,True,RandomForest,test
warning_biogas_quality,2,29,0.46296296296296297,0.1569047619047619,0.5833333333333333,True,RandomForest,test
warning_acid_base_balance,5,29,0.0,0.5862068965517242,0.5,True,KNN,test
warning_buffer_capacity,1,29,0.6943650748294136,0.25,0.9642857142857143,True,KNN,test
warning_acid_accumulation,1,29,1.0,1.0,1.0,True,KNN,test
warning_ammonia_toxicity,4,29,0.5116817192534651,0.75,0.9199999999999999,True,KNN,test
warning_biogas_quality,2,29,0.0,0.5344827586206896,0.5,True,KNN,test
warning_acid_base_balance,5,29,0.0,0.2664239926739927,0.7416666666666667,True,SVM,test
warning_buffer_capacity,1,29,0.41403933560541256,0.25,0.9642857142857143,True,SVM,test
warning_acid_accumulation,1,29,0.05143444998736397,1.0,1.0,True,SVM,test
warning_ammonia_toxicity,4,29,0.10886621079036346,0.8708333333333333,0.98,True,SVM,test
warning_biogas_quality,2,29,0.46296296296296297,0.17994505494505494,0.7592592592592593,True,SVM,test
warning_acid_base_balance,5,29,-0.08625819491779428,0.2713492063492064,0.7000000000000001,True,NNET,test
warning_buffer_capacity,1,29,0.30618621784789724,0.25,0.9642857142857143,True,NNET,test
warning_acid_accumulation,1,29,0.3700064349504774,1.0,1.0,True,NNET,test
warning_ammonia_toxicity,4,29,0.8763560920082657,0.7666666666666666,0.97,True,NNET,test
warning_biogas_quality,2,29,0.0,0.19545454545454546,0.8148148148148149,True,NNET,test
warning_acid_base_balance,5,29,0.33101874976866896,0.3565849673202614,0.8,True,XGBoost,test
warning_buffer_capacity,1,29,0.6943650748294136,0.25,0.9642857142857143,True,XGBoost,test
warning_acid_accumulation,1,29,0.6943650748294136,0.25,0.9642857142857143,True,XGBoost,test
warning_ammonia_toxicity,4,29,0.7831560082980488,1.0,1.0,True,XGBoost,test
warning_biogas_quality,2,29,0.35439179203278526,0.11523809523809524,0.5648148148148149,True,XGBoost,test
warning_acid_base_balance,5,29,0.2360293976249778,0.2824793507146448,0.7333333333333334,True,GLMNET,test
warning_buffer_capacity,1,29,0.472455591261534,0.25,0.9642857142857143,True,GLMNET,test
warning_acid_accumulation,1,29,0.0,1.0,1.0,True,GLMNET,test
