domain,rank,workbook_sample,SampleID,workbook_suffix,original_suffix,Site
BAC,Order,4-25-GHGHb,4-25,GHGHb,GHGHb,GHGb
BAC,Order,4-26-GHHM,4-26,GHHM,GHHM,GHH
BAC,Order,4-27-GHJY,4-27,GHJY,GHJY,GHJ
BAC,Order,4-28-MYSN,4-28,MYSN,MYSN,MYS
BAC,Order,4-29-SCHG,4-29,SCHG,SCHG,SCH
BAC,Order,4-3-BSIGa,4-3,BSIGa,BSIGa,BSI
BAC,Order,4-30-YSDM,4-30,YSDM,YSDM,YSD
BAC,Order,4-31-YSYS,4-31,YSYS,YSYS,YSY
BAC,Order,4-32-JJNG,4-32,JJNG,JJNG,JJN
BAC,Order,4-32'-JJYS,4-32',JJYS,JJYS,JJY
BAC,Order,4-33-CWMS,4-33,CWMS,CWMS,CWM
BAC,Order,4-34-CWSS,4-34,CWSS,CWSS,CWS
BAC,Order,4-4-BSOC,4-4,BSOC,BSOC,BSO
BAC,Order,4-5-BSES,4-5,BSES,BSES,BSE
BAC,Order,4-6-DGGW,4-6,DGGW,DGGW,DGG
BAC,Order,4-7-DGDS,4-7,DGDS,DGDS,DGD
BAC,Order,4-8-DGJY,4-8,DGJY,DGJY,DGJ
BAC,Order,4-9-DGGB,4-9,DGGB,DGGB,DGB
ARC,Order,1-1-BSSG,1-1,BSSG,BSSG,BSS
ARC,Order,1-10-DGDC,1-10,DGDC,DGDC,DGC
ARC,Order,1-11-DGYSa,1-11,DGYSa,DGYSa,DGY
ARC,Order,1-11b-DGYSb,1-11b,DGYSb,DGYSb,DGYb
ARC,Order,1-12-USOS,1-12,USOS,USOS,USO
ARC,Order,1-13-USYY,1-13,USYY,USYY,USY
ARC,Order,1-14-USYJ,1-14,USYJ,USYJ,USJ
ARC,Order,1-15-GSGA,1-15,GSGA,GSGA,GSG
ARC,Order,1-16-GCGD,1-16,GCGD,GCGD,GCG
ARC,Order,1-17-MGYS,1-17,MGYS,MGYS,MGY
ARC,Order,1-18-ADAS,1-18,ADAS,ADAS,ADA
