Model,domain,feature,importance,taxonomic_level
RandomForest,Bacteria,BAC_O::Sphingomonadales,0.0003613824700867,Order
RandomForest,Bacteria,BAC_O::WCHB1-81,0.0003542637909464,Order
RandomForest,Archaea,ARC_O::Teleostei,0.000321685531398,Order
RandomForest,Bacteria,BAC_O::Limnochordia,0.0003015176172952,Order
RandomForest,Bacteria,BAC_O::Blastocatellales,0.000296114985458,Order
RandomForest,Bacteria,BAC_O::Kosmotogales,0.000289729665556,Order
RandomForest,Bacteria,BAC_O::Competibacterales,0.0002873520393864,Order
RandomForest,Bacteria,BAC_O::Hydrothermae,0.0002849658527458,Order
RandomForest,Bacteria,BAC_O::Nitrosococcales,0.0002711274019531,Order
RandomForest,Bacteria,BAC_O::IMCC26256,0.0002687140115163,Order
RandomForest,Bacteria,BAC_O::Vibrionales,0.0002614385236594,Order
RandomForest,Archaea,ARC_O::Micrarchaeales,0.0002592283799443,Order
RandomForest,Bacteria,BAC_O::Desulfuromonadia,0.0002508462988982,Order
RandomForest,Bacteria,BAC_O::DS-100,0.0002356711354512,Order
RandomForest,Bacteria,BAC_O::Defluviicoccales,0.0002258646371562,Order
RandomForest,Bacteria,BAC_O::Caulobacterales,0.0002046517683478,Order
RandomForest,Bacteria,BAC_O::Babeliales,0.0001816090331124,Order
RandomForest,Bacteria,BAC_O::Gemmatales,0.0001762897776312,Order
RandomForest,Bacteria,BAC_O::Acidaminococcales,0.0001739848785706,Order
RandomForest,Bacteria,BAC_O::Steroidobacterales,0.0001712109402593,Order
RandomForest,Bacteria,BAC_O::Bdellovibrionales,0.0001695659882853,Order
RandomForest,Bacteria,BAC_O::RBG-16-55-12,0.0001629480026648,Order
RandomForest,Bacteria,BAC_O::Gaiellales,0.0001511930408672,Order
RandomForest,Bacteria,BAC_O::Halanaerobiales,0.0001479809098544,Order
RandomForest,Bacteria,BAC_O::Fermentibacterales,0.0001471500758308,Order
RandomForest,Bacteria,BAC_O::Coprothermobacterales,0.0001352557076181,Order
RandomForest,Bacteria,BAC_O::Desulfitibacterales,0.0001308083009067,Order
RandomForest,Bacteria,BAC_O::Hydrogenedentiales,0.0001225599806476,Order
RandomForest,Bacteria,BAC_O::Omnitrophales,0.00010674581731,Order
RandomForest,Bacteria,BAC_O::Symbiobacteriales,9.135997640887426e-05,Order
RandomForest,Bacteria,BAC_O::Cardiobacteriales,9.108790291930884e-05,Order
RandomForest,Bacteria,BAC_O::Isosphaerales,8.396944531390718e-05,Order
RandomForest,Bacteria,BAC_O::JG36-GS-52,7.462982211163764e-05,Order
RandomForest,Bacteria,BAC_O::Gammaproteobacteria_Incertae_Sedis,5.748959650956293e-05,Order
RandomForest,Bacteria,BAC_O::Sva0485,4.567888861048565e-05,Order
RandomForest,Bacteria,BAC_O::Aeromonadales,3.9565328759747695e-05,Order
RandomForest,Bacteria,BAC_O::Sumerlaeales,3.873532580209176e-05,Order
RandomForest,Bacteria,BAC_O::Acetothermiia,3.859023328078275e-05,Order
RandomForest,Bacteria,BAC_O::Ignavibacteriales,3.846153846154652e-05,Order
RandomForest,Bacteria,BAC_O::BRH-c20a,3.793195307531729e-05,Order
RandomForest,Bacteria,BAC_O::Frankiales,3.614036836737442e-05,Order
