fold,feature
2,BAC_O::Gemmatimonadales
2,BAC_O::Geobacterales
2,BAC_O::HOC36
2,BAC_O::Halanaerobiales
2,BAC_O::Haliangiales
2,BAC_O::Holophagales
2,BAC_O::Hydrogenedentiales
2,BAC_O::Hydrothermae
2,BAC_O::IMCC26256
2,BAC_O::Ignavibacteriales
2,BAC_O::Incertae_Sedis
2,BAC_O::Isosphaerales
2,BAC_O::Izemoplasmatales
2,BAC_O::JG36-GS-52
2,BAC_O::JS1
2,BAC_O::Kapabacteriales
2,BAC_O::Kosmotogales
2,BAC_O::LD1-PA32
2,BAC_O::LD1-PB3
2,BAC_O::Lachnospirales
2,BAC_O::Lactobacillales
2,BAC_O::Leptospirales
2,BAC_O::Limnochordales
2,BAC_O::Limnochordia
2,BAC_O::M55-D21
2,BAC_O::MAT-CR-H4-C10
2,BAC_O::MBA03
2,BAC_O::MSBL9
2,BAC_O::MVP-15
2,BAC_O::Marinimicrobia_(SAR406_clade)
2,BAC_O::Methylococcales
2,BAC_O::Micavibrionales
2,BAC_O::Micrococcales
2,BAC_O::Microtrichales
2,BAC_O::Monoglobales
2,BAC_O::Moorellales
2,BAC_O::Myxococcales
2,BAC_O::NKB15
2,BAC_O::Nannocystales
2,BAC_O::Nitrosococcales
2,BAC_O::Nitrospirales
2,BAC_O::OLB14
2,BAC_O::OPB41
2,BAC_O::Obscuribacterales
2,BAC_O::Oceanospirillales
2,BAC_O::Oligosphaerales
2,BAC_O::Omnitrophales
2,BAC_O::Oscillospirales
2,BAC_O::PB19
2,BAC_O::PLTA13
2,BAC_O::PeM15
2,BAC_O::Pedosphaerales
2,BAC_O::Peptococcales
2,BAC_O::Peptostreptococcales-Tissierellales
2,BAC_O::Petrotogales
2,BAC_O::Phycisphaerales
2,BAC_O::Pirellulales
2,BAC_O::Pla3_lineage
2,BAC_O::Planctomycetales
2,BAC_O::Polyangiales
2,BAC_O::Propionibacteriales
2,BAC_O::Proteinivoracales
2,BAC_O::Pseudomonadales
2,BAC_O::RBG-13-54-9
2,BAC_O::RBG-16-55-12
2,BAC_O::Reyranellales
2,BAC_O::Rhizobiales
2,BAC_O::Rhodobacterales
2,BAC_O::Rhodospirillales
2,BAC_O::Rickettsiales
2,BAC_O::Run-SP154
2,BAC_O::SBR1031
2,BAC_O::SJA-15
2,BAC_O::SJA-28
2,BAC_O::SM1A07
2,BAC_O::Saccharimonadales
2,BAC_O::Solirubrobacterales
2,BAC_O::Sphingobacteriales
2,BAC_O::Sphingomonadales
2,BAC_O::Spirochaetales
2,BAC_O::Steroidobacterales
2,BAC_O::Sumerlaeales
2,BAC_O::Sva0485
2,BAC_O::Symbiobacteriales
2,BAC_O::Synergistales
2,BAC_O::Syntrophales
2,BAC_O::Syntrophobacterales
2,BAC_O::Syntrophomonadales
2,BAC_O::Syntrophorhabdales
2,BAC_O::TA06
2,BAC_O::Thermacetogeniales
2,BAC_O::Thermoanaerobacterales
2,BAC_O::Thermoanaerobaculales
2,BAC_O::Thermotogales
2,BAC_O::Thermovenabulales
2,BAC_O::Veillonellales-Selenomonadales
2,BAC_O::Verrucomicrobiales
2,BAC_O::Vicinamibacterales
2,BAC_O::WCHB1-41
2,BAC_O::WCHB1-81
2,BAC_O::WPS-2
2,BAC_O::WS1
2,BAC_O::WWE3
2,BAC_O::Xanthomonadales
2,BAC_O::Zixibacteria
2,BAC_O::c5LKS83
2,BAC_O::unidentified
2,ARC_O::Aenigmarchaeales
2,ARC_O::Bathyarchaeia
2,ARC_O::Lokiarchaeia
2,ARC_O::Methanofastidiosales
2,ARC_O::Methanomassiliicoccales
2,ARC_O::Methanomethyliales
2,ARC_O::Methanomicrobiales
2,ARC_O::Methanosarciniales
2,ARC_O::Micrarchaeales
2,ARC_O::Nitrososphaerales
2,ARC_O::Rhinosporideacae
2,ARC_O::Woesearchaeales
