feature,taxon,domain,taxonomic_level,samples_above_0_1_percent,training_samples_above_0_1_percent,included_in_final_matrix
BAC_O::Micavibrionales,Micavibrionales,Bacteria,Order,8,8,True
BAC_O::Micrococcales,Micrococcales,Bacteria,Order,82,61,True
BAC_O::Microtrichales,Microtrichales,Bacteria,Order,56,41,True
BAC_O::Monoglobales,Monoglobales,Bacteria,Order,12,10,True
BAC_O::Moorellales,Moorellales,Bacteria,Order,1,1,True
BAC_O::Myxococcales,Myxococcales,Bacteria,Order,1,1,True
BAC_O::NKB15,NKB15,Bacteria,Order,6,6,True
BAC_O::Nannocystales,Nannocystales,Bacteria,Order,1,1,True
BAC_O::Nitrosococcales,Nitrosococcales,Bacteria,Order,5,4,True
BAC_O::Nitrospirales,Nitrospirales,Bacteria,Order,15,7,True
BAC_O::OLB14,OLB14,Bacteria,Order,14,10,True
BAC_O::OPB41,OPB41,Bacteria,Order,9,7,True
BAC_O::Obscuribacterales,Obscuribacterales,Bacteria,Order,2,2,True
BAC_O::Oceanospirillales,Oceanospirillales,Bacteria,Order,3,3,True
BAC_O::Oligosphaerales,Oligosphaerales,Bacteria,Order,15,10,True
BAC_O::Omnitrophales,Omnitrophales,Bacteria,Order,11,5,True
BAC_O::Oscillospirales,Oscillospirales,Bacteria,Order,133,107,True
BAC_O::PB19,PB19,Bacteria,Order,2,2,True
BAC_O::PLTA13,PLTA13,Bacteria,Order,12,11,True
BAC_O::PeM15,PeM15,Bacteria,Order,22,17,True
BAC_O::Pedosphaerales,Pedosphaerales,Bacteria,Order,85,62,True
BAC_O::Peptococcales,Peptococcales,Bacteria,Order,26,20,True
BAC_O::Peptostreptococcales-Tissierellales,Peptostreptococcales-Tissierellales,Bacteria,Order,137,109,True
BAC_O::Petrotogales,Petrotogales,Bacteria,Order,95,80,True
BAC_O::Phycisphaerales,Phycisphaerales,Bacteria,Order,4,3,True
BAC_O::Pirellulales,Pirellulales,Bacteria,Order,51,38,True
BAC_O::Pla3_lineage,Pla3_lineage,Bacteria,Order,6,5,True
BAC_O::Planctomycetales,Planctomycetales,Bacteria,Order,58,41,True
BAC_O::Polyangiales,Polyangiales,Bacteria,Order,1,1,True
