mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__l1_ratio,param_model__regressor__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.009095096588134765,0.0013618822153311045,0.0025684356689453123,1.854976220859073e-05,0.9,0.01,"{'model__regressor__l1_ratio': 0.9, 'model__regressor__alpha': 0.01}",-1.5478560603966,-0.5332799046673793,-0.36679400806127216,-0.393167170626656,-0.3781408785592061,-0.6438476044622228,0.45599472453430184,10
0.007276487350463867,0.0004455012375208661,0.0026041507720947266,5.182708830847108e-05,1.0,0.01,"{'model__regressor__l1_ratio': 1.0, 'model__regressor__alpha': 0.01}",-1.4334807971657677,-0.5038342415563994,-0.365979648670508,-0.39229551688531517,-0.3655206173063249,-0.612222164316863,0.41378217551965646,9
0.0074371337890625,0.0001787012762582755,0.002807950973510742,0.00010166997947255899,0.1,0.1,"{'model__regressor__l1_ratio': 0.1, 'model__regressor__alpha': 0.1}",-0.7750140095915278,-0.21886040272216875,-0.24956040860744202,-0.2738935089757837,-0.3629453819153914,-0.3760547423624627,0.2051770682768647,8
0.007097721099853516,0.000206219419190523,0.0027328968048095704,7.834081879827556e-05,0.5,0.1,"{'model__regressor__l1_ratio': 0.5, 'model__regressor__alpha': 0.1}",-0.45067671145902094,-0.10245137171630718,-0.169733490940664,-0.20473734600228702,-0.41961432927881104,-0.269442649879418,0.139579438370362,7
0.0067287921905517575,0.00012073914203462805,0.0025859355926513674,7.662700434341684e-06,0.9,0.1,"{'model__regressor__l1_ratio': 0.9, 'model__regressor__alpha': 0.1}",-0.450478752670884,-0.08364358534541866,-0.16550398552922138,-0.18200453466056649,-0.4129736740998369,-0.2589209064611855,0.14545903363251547,6
0.0066716670989990234,5.694441969996805e-05,0.002598285675048828,1.4159735414401005e-05,1.0,0.1,"{'model__regressor__l1_ratio': 1.0, 'model__regressor__alpha': 0.1}",-0.45046493764439755,-0.0821868108801346,-0.1648595576472238,-0.17611347589810808,-0.4049069310148533,-0.25570634261694347,0.14483709233574704,5
0.006654930114746094,5.5691518111517786e-05,0.002595996856689453,1.011367003786916e-05,0.1,1.0,"{'model__regressor__l1_ratio': 0.1, 'model__regressor__alpha': 1.0}",-0.4511116622639203,-0.06964594666856852,-0.15220587541953617,-0.15046374864356965,-0.34387499568909413,-0.23346044573693772,0.14134310873028602,4
0.006650352478027343,4.182777935159862e-05,0.0025443553924560545,2.2176465398326765e-05,0.5,1.0,"{'model__regressor__l1_ratio': 0.5, 'model__regressor__alpha': 1.0}",-0.453256272467429,-0.08463750559346968,-0.15980947359834455,-0.08834001905470452,-0.29496711998839864,-0.2162020781404693,0.140880581781508,3
0.00663304328918457,4.983689741250097e-05,0.0025325775146484374,1.8886965464464352e-05,0.9,1.0,"{'model__regressor__l1_ratio': 0.9, 'model__regressor__alpha': 1.0}",-0.45423118639227383,-0.08463750559346968,-0.15980947359834455,-0.08494557954357036,-0.29496711998839864,-0.21571817302321145,0.14182965020903052,1
0.0066108226776123045,4.4120812321247036e-05,0.002541351318359375,2.195284947447479e-05,1.0,1.0,"{'model__regressor__l1_ratio': 1.0, 'model__regressor__alpha': 1.0}",-0.45423118639227383,-0.08463750559346968,-0.15980947359834455,-0.08494557954357036,-0.29496711998839864,-0.21571817302321145,0.14182965020903052,1
