Taxon,mean_relative_abundance_percent,domain,rank,selected
Thermoanaerobaculum,0.2158642857142857,BAC,Genus,False
Saccharofermentans,0.2158214285714286,BAC,Genus,False
AKYH767,0.21547142857142854,BAC,Genus,False
Guggenheimella,0.21435714285714283,BAC,Genus,False
ADurb.Bin063-1,0.21375,BAC,Genus,False
HN-HF0106,0.20765000000000003,BAC,Genus,False
Izemoplasmatales,0.20463571428571428,BAC,Genus,False
Macellibacteroides,0.20454285714285725,BAC,Genus,False
Acetomicrobium,0.2040928571428572,BAC,Genus,False
Acidovorax,0.20150714285714288,BAC,Genus,False
Zoogloea,0.1967428571428571,BAC,Genus,False
Bacteroides,0.18304285714285706,BAC,Genus,False
OLB8,0.17727857142857142,BAC,Genus,False
Pseudomonas,0.17584285714285716,BAC,Genus,False
Gelria,0.17012142857142853,BAC,Genus,False
Caldisericum,0.16903571428571426,BAC,Genus,False
Dokdonella,0.16892857142857137,BAC,Genus,False
Anaerovorax,0.1687928571428571,BAC,Genus,False
Olsenella,0.16317142857142858,BAC,Genus,False
MVP-15,0.15750714285714285,BAC,Genus,False
Ruminiclostridium,0.1541642857142857,BAC,Genus,False
RBG-16-49-21,0.15275,BAC,Genus,False
Syntrophus,0.15032142857142866,BAC,Genus,False
Defluviitoga,0.14488571428571428,BAC,Genus,False
Butyrivibrio,0.14372142857142856,BAC,Genus,False
Hydrogenedensaceae,0.13909999999999997,BAC,Genus,False
Clostridium_sensu_stricto_1,0.13291428571428568,BAC,Genus,False
Syntrophobacter,0.13003571428571428,BAC,Genus,False
Candidatus_Accumulibacter,0.12824999999999998,BAC,Genus,False
Acinetobacter,0.12645000000000003,BAC,Genus,False
Aminobacterium,0.12589285714285714,BAC,Genus,False
Ferruginibacter,0.12433571428571426,BAC,Genus,False
Aeriscardovia,0.12370714285714288,BAC,Genus,False
Babeliales,0.12156428571428572,BAC,Genus,False
Brachymonas,0.12022857142857143,BAC,Genus,False
Terrimonas,0.11919285714285716,BAC,Genus,False
Lautropia,0.11899285714285716,BAC,Genus,False
Marinimicrobia_(SAR406_clade),0.11871428571428574,BAC,Genus,False
Lutispora,0.11837857142857143,BAC,Genus,False
LNR_A2-18,0.11644285714285714,BAC,Genus,False
Rhodobacter,0.11190714285714282,BAC,Genus,False
966-1,0.10730714285714288,BAC,Genus,False
LD1-PA32,0.10709999999999999,BAC,Genus,False
Clostridia_UCG-014,0.10355714285714286,BAC,Genus,False
TA06,0.10293571428571427,BAC,Genus,False
Kapabacteriales,0.10098571428571426,BAC,Genus,False
Treponema,0.0991214285714286,BAC,Genus,False
Microbacterium,0.09573571428571433,BAC,Genus,False
AUTHM297,0.0917714285714286,BAC,Genus,False
p-251-o5,0.09136428571428572,BAC,Genus,False
Desulfomicrobium,0.09102857142857139,BAC,Genus,False
Actinomyces,0.08965000000000001,BAC,Genus,False
