fold,block,feature,training_samples_above_0_1_percent
5,BAC_P,BAC_P::Elusimicrobiota,4
5,BAC_P,BAC_P::Fermentibacterota,11
5,BAC_P,BAC_P::Fibrobacterota,13
5,BAC_P,BAC_P::Firmicutes,86
5,BAC_P,BAC_P::Fusobacteriota,12
5,BAC_P,BAC_P::Gemmatimonadota,9
5,BAC_P,BAC_P::Halanaerobiaeota,0
5,BAC_P,BAC_P::Hydrogenedentes,38
5,BAC_P,BAC_P::Hydrothermae,0
5,BAC_P,BAC_P::LCP-89,0
5,BAC_P,BAC_P::Latescibacterota,1
5,BAC_P,BAC_P::MBNT15,0
5,BAC_P,BAC_P::Marinimicrobia_(SAR406_clade),17
5,BAC_P,BAC_P::Myxococcota,8
5,BAC_P,BAC_P::NB1-j,0
5,BAC_P,BAC_P::NKB15,6
5,BAC_P,BAC_P::Nitrospirota,7
5,BAC_P,BAC_P::Patescibacteria,45
5,BAC_P,BAC_P::Planctomycetota,59
5,BAC_P,BAC_P::Proteobacteria,74
5,BAC_P,BAC_P::Spirochaetota,79
5,BAC_P,BAC_P::Sumerlaeota,13
5,BAC_P,BAC_P::Sva0485,0
5,BAC_P,BAC_P::Synergistota,84
5,BAC_P,BAC_P::TA06,2
5,BAC_P,BAC_P::Thermotogota,64
5,BAC_P,BAC_P::Verrucomicrobiota,80
5,BAC_P,BAC_P::WPS-2,3
5,BAC_P,BAC_P::WS1,30
5,BAC_P,BAC_P::Zixibacteria,1
5,BAC_P,BAC_P::unidentified,54
5,ARC_P,ARC_P::Aenigmarchaeota,0
5,ARC_P,ARC_P::Asgardarchaeota,1
5,ARC_P,ARC_P::Crenarchaeota,47
5,ARC_P,ARC_P::Cryptomycota,0
5,ARC_P,ARC_P::Euryarchaeota,79
5,ARC_P,ARC_P::Halobacterota,86
5,ARC_P,ARC_P::Holozoa,1
5,ARC_P,ARC_P::Micrarchaeota,8
5,ARC_P,ARC_P::Mollusca,2
5,ARC_P,ARC_P::Nanoarchaeota,34
5,ARC_P,ARC_P::Thermoplasmatota,82
5,ARC_P,ARC_P::Vertebrata,1
5,ARC_P,ARC_P::unidentified,70
