Model,domain,feature,importance
RandomForest,Archaea,ARC_F::Micrarchaeales,8.560324007774624e-05
RandomForest,Bacteria,BAC_F::Thermotaleaceae,4.5222517111430284e-05
RandomForest,Bacteria,BAC_F::FTLpost3,1.6578369982100088e-05
RandomForest,Bacteria,BAC_F::Desulfitibacteraceae,5.59999700255083e-06
RandomForest,Bacteria,BAC_F::B55-F-B-G02,4.044390773331891e-06
RandomForest,Bacteria,BAC_F::OPB41,1.681935854343927e-17
RandomForest,Bacteria,BAC_F::Devosiaceae,1.1164547925522823e-17
RandomForest,Bacteria,BAC_F::Microscillaceae,9.212878378383028e-18
RandomForest,Bacteria,BAC_F::DEV007,6.4487002787502935e-18
RandomForest,Bacteria,BAC_F::Sporichthyaceae,6.3334744289684e-18
RandomForest,Bacteria,BAC_F::Geobacteraceae,5.169590015238563e-18
RandomForest,Bacteria,BAC_F::Pla3_lineage,4.462727442555127e-18
RandomForest,Bacteria,BAC_F::Methylophilaceae,3.667007101345492e-18
RandomForest,Bacteria,BAC_F::Omnitrophaceae,3.479538058811653e-18
RandomForest,Bacteria,BAC_F::OLB14,3.3670274661702597e-18
RandomForest,Bacteria,BAC_F::Aeromonadaceae,3.1356350983602605e-18
RandomForest,Bacteria,BAC_F::Isosphaeraceae,2.679905697449316e-18
RandomForest,Bacteria,BAC_F::Mycobacteriaceae,2.6572947660665798e-18
RandomForest,Bacteria,BAC_F::NKB15,2.622135469525803e-18
RandomForest,Bacteria,BAC_F::Run-SP154,2.5848463556080377e-18
RandomForest,Bacteria,BAC_F::PLTA13,2.454063243299858e-18
RandomForest,Bacteria,BAC_F::GZKB75,2.43584702333926e-18
RandomForest,Bacteria,BAC_F::1-20,2.412480710418765e-18
RandomForest,Bacteria,BAC_F::c5LKS83,2.306478381425144e-18
RandomForest,Bacteria,BAC_F::Iamiaceae,2.2574936056795226e-18
RandomForest,Bacteria,BAC_F::Gemmatimonadaceae,1.8546514371570304e-18
RandomForest,Bacteria,BAC_F::Sumerlaeaceae,1.763952409850953e-18
RandomForest,Bacteria,BAC_F::PeM15,1.4553463554140083e-18
RandomForest,Bacteria,BAC_F::Bacteroidetes_BD2-2,1.3099628565866836e-18
RandomForest,Bacteria,BAC_F::Sporomusaceae,1.03228045732744e-18
RandomForest,Bacteria,BAC_F::Acetothermiia,7.652113928277521e-19
RandomForest,Bacteria,BAC_F::Neisseriaceae,6.015361096558844e-19
RandomForest,Bacteria,BAC_F::RBG-13-54-9,2.679170180393911e-19
RandomForest,Archaea,ARC_F::Aenigmarchaeales,0.0
RandomForest,Archaea,ARC_F::Lokiarchaeia,0.0
RandomForest,Archaea,ARC_F::Rhinosporideacae,0.0
RandomForest,Archaea,ARC_F::Teleostei,0.0
RandomForest,Archaea,ARC_F::Veneroida,0.0
RandomForest,Archaea,ARC_F::Woesearchaeales,0.0
RandomForest,Bacteria,BAC_F::053A03-B-DI-P58,0.0
RandomForest,Bacteria,BAC_F::113B434,0.0
RandomForest,Bacteria,BAC_F::37-13,0.0
RandomForest,Bacteria,BAC_F::4572-13,0.0
RandomForest,Bacteria,BAC_F::67-14,0.0
RandomForest,Bacteria,BAC_F::A21b,0.0
RandomForest,Bacteria,BAC_F::Acidobacteriae,0.0
RandomForest,Bacteria,BAC_F::Anaeromyxobacteraceae,0.0
RandomForest,Bacteria,BAC_F::Ardenticatenaceae,0.0
RandomForest,Bacteria,BAC_F::Arenicellaceae,0.0
RandomForest,Bacteria,BAC_F::Bacteriovoracaceae,0.0
RandomForest,Bacteria,BAC_F::Bdellovibrionaceae,0.0
RandomForest,Bacteria,BAC_F::Bradymonadales,0.0
RandomForest,Bacteria,BAC_F::Bryobacteraceae,0.0
RandomForest,Bacteria,BAC_F::Butyricicoccaceae,0.0
RandomForest,Bacteria,BAC_F::C10-SB1A,0.0
RandomForest,Bacteria,BAC_F::CCM19a,0.0
RandomForest,Bacteria,BAC_F::Candidatus_Falkowbacteria,0.0
RandomForest,Bacteria,BAC_F::Candidatus_Shapirobacteria,0.0
RandomForest,Bacteria,BAC_F::Caulobacteraceae,0.0
RandomForest,Bacteria,BAC_F::Chitinimonadaceae,0.0
RandomForest,Bacteria,BAC_F::Chromobacteriaceae,0.0
RandomForest,Bacteria,BAC_F::Chthoniobacteraceae,0.0
RandomForest,Bacteria,BAC_F::Cloacimonadales,0.0
RandomForest,Bacteria,BAC_F::Coriobacteriales_Incertae_Sedis,0.0
RandomForest,Bacteria,BAC_F::Crocinitomicaceae,0.0
RandomForest,Bacteria,BAC_F::Dermatophilaceae,0.0
RandomForest,Bacteria,BAC_F::Dietziaceae,0.0
RandomForest,Bacteria,BAC_F::Diplorickettsiaceae,0.0
RandomForest,Bacteria,BAC_F::Dongiaceae,0.0
RandomForest,Bacteria,BAC_F::Eggerthellaceae,0.0
RandomForest,Bacteria,BAC_F::Elsteraceae,0.0
RandomForest,Bacteria,BAC_F::Erysipelotrichaceae,0.0
RandomForest,Bacteria,BAC_F::F082,0.0
RandomForest,Bacteria,BAC_F::Fibrobacterales,0.0
RandomForest,Bacteria,BAC_F::Flavobacteriaceae,0.0
RandomForest,Bacteria,BAC_F::Fusobacteriaceae,0.0
RandomForest,Bacteria,BAC_F::GZKB124,0.0
RandomForest,Bacteria,BAC_F::Gallionellaceae,0.0
RandomForest,Bacteria,BAC_F::HOC36,0.0
RandomForest,Bacteria,BAC_F::Hahellaceae,0.0
RandomForest,Bacteria,BAC_F::Halanaerobiaceae,0.0
RandomForest,Bacteria,BAC_F::Haliangiaceae,0.0
RandomForest,Bacteria,BAC_F::Halomonadaceae,0.0
RandomForest,Bacteria,BAC_F::Hydrothermae,0.0
RandomForest,Bacteria,BAC_F::IMCC26256,0.0
RandomForest,Bacteria,BAC_F::Ignavibacteriaceae,0.0
RandomForest,Bacteria,BAC_F::Ilumatobacteraceae,0.0
RandomForest,Bacteria,BAC_F::Izemoplasmataceae,0.0
RandomForest,Bacteria,BAC_F::JG36-GS-52,0.0
RandomForest,Bacteria,BAC_F::LWQ8,0.0
RandomForest,Bacteria,BAC_F::Leeiaceae,0.0
RandomForest,Bacteria,BAC_F::LiUU-11-161,0.0
RandomForest,Bacteria,BAC_F::Limnochordaceae,0.0
RandomForest,Bacteria,BAC_F::MAT-CR-H4-C10,0.0
RandomForest,Bacteria,BAC_F::Marinifilaceae,0.0
RandomForest,Bacteria,BAC_F::Methylococcaceae,0.0
RandomForest,Bacteria,BAC_F::Micrococcaceae,0.0
RandomForest,Bacteria,BAC_F::Moorellaceae,0.0
RandomForest,Bacteria,BAC_F::Morganellaceae,0.0
RandomForest,Bacteria,BAC_F::NK-L14,0.0
RandomForest,Bacteria,BAC_F::Nannocystaceae,0.0
RandomForest,Bacteria,BAC_F::Obscuribacteraceae,0.0
RandomForest,Bacteria,BAC_F::Oxalobacteraceae,0.0
RandomForest,Bacteria,BAC_F::PB19,0.0
RandomForest,Bacteria,BAC_F::PBS-18,0.0
RandomForest,Bacteria,BAC_F::Phycisphaeraceae,0.0
RandomForest,Bacteria,BAC_F::Planococcaceae,0.0
RandomForest,Bacteria,BAC_F::Porticoccaceae,0.0
RandomForest,Bacteria,BAC_F::Propionibacteriaceae,0.0
RandomForest,Bacteria,BAC_F::Proteiniboraceae,0.0
RandomForest,Bacteria,BAC_F::RBG-16-55-12,0.0
RandomForest,Bacteria,BAC_F::Reyranellaceae,0.0
RandomForest,Bacteria,BAC_F::Rickettsiaceae,0.0
RandomForest,Bacteria,BAC_F::SHA-41,0.0
RandomForest,Bacteria,BAC_F::SM1A07,0.0
RandomForest,Bacteria,BAC_F::Saccharimonadaceae,0.0
RandomForest,Bacteria,BAC_F::Schlesneriaceae,0.0
RandomForest,Bacteria,BAC_F::Selenomonadaceae,0.0
RandomForest,Bacteria,BAC_F::Solibacteraceae,0.0
RandomForest,Bacteria,BAC_F::Sphingobacteriaceae,0.0
RandomForest,Bacteria,BAC_F::Steroidobacteraceae,0.0
RandomForest,Bacteria,BAC_F::Sva0485,0.0
RandomForest,Bacteria,BAC_F::Symbiobacteraceae,0.0
RandomForest,Bacteria,BAC_F::Syntrophobotulaceae,0.0
RandomForest,Bacteria,BAC_F::TA06,0.0
RandomForest,Bacteria,BAC_F::Thermaceae,0.0
RandomForest,Bacteria,BAC_F::Thioalkalispiraceae,0.0
RandomForest,Bacteria,BAC_F::Trueperaceae,0.0
RandomForest,Bacteria,BAC_F::Vermiphilaceae,0.0
RandomForest,Bacteria,BAC_F::Verrucomicrobiaceae,0.0
RandomForest,Bacteria,BAC_F::Vibrionaceae,0.0
RandomForest,Bacteria,BAC_F::WPS-2,0.0
RandomForest,Bacteria,BAC_F::WWE3,0.0
RandomForest,Bacteria,BAC_F::Wohlfahrtiimonadaceae,0.0
RandomForest,Bacteria,BAC_F::Z4MB62,0.0
RandomForest,Bacteria,BAC_F::Zixibacteria,0.0
RandomForest,Bacteria,BAC_F::cvE6,0.0
RandomForest,Bacteria,BAC_F::env.OPS_17,0.0
XGBoost,Bacteria,BAC_F::Cloacimonadaceae,0.04853387475013733
XGBoost,Bacteria,BAC_F::Synergistaceae,0.03954894058406353
XGBoost,Bacteria,BAC_F::Pseudomonadaceae,0.038114264607429504
XGBoost,Bacteria,BAC_F::Spirochaetaceae,0.03640822693705559
XGBoost,Bacteria,BAC_F::Peptostreptococcales-Tissierellales,0.036228859424591066
XGBoost,Bacteria,BAC_F::Oscillospiraceae,0.0333124689757824
XGBoost,Bacteria,BAC_F::Rikenellaceae,0.030071993917226793
XGBoost,Bacteria,BAC_F::Petrotogaceae,0.02921275869011879
XGBoost,Bacteria,BAC_F::Dysgonomonadaceae,0.02864876501262188
XGBoost,Bacteria,BAC_F::Eubacteriaceae,0.026228266954421996
XGBoost,Bacteria,BAC_F::Bacteroidetes_vadinHA17,0.025253470242023467
XGBoost,Bacteria,BAC_F::Atopobiaceae,0.024709042534232138
XGBoost,Bacteria,BAC_F::MBA03,0.023450328409671782
XGBoost,Archaea,ARC_F::Methanosarcinaceae,0.022904244437813758
XGBoost,Bacteria,BAC_F::Peptostreptococcaceae,0.0215359091758728
XGBoost,Bacteria,BAC_F::Hungateiclostridiaceae,0.02000083327293396
