domain,rank,workbook_sample,SampleID,workbook_suffix,original_suffix,Site
ARC,Family,2-32-JJNG,2-32,JJNG,JJNG,JJN
ARC,Family,2-32'-JJYS,2-32',JJYS,JJYS,JJY
ARC,Family,2-33-CWMS,2-33,CWMS,CWMS,CWM
ARC,Family,2-34-CWSS,2-34,CWSS,CWSS,CWS
ARC,Family,2-4-BSOC,2-4,BSOC,BSOC,BSO
ARC,Family,2-5-BSES,2-5,BSES,BSES,BSE
ARC,Family,2-6-DGGW,2-6,DGGW,DGGW,DGG
ARC,Family,2-7-DGDS,2-7,DGDS,DGDS,DGD
ARC,Family,2-8-DGJY,2-8,DGJY,DGJY,DGJ
ARC,Family,2-9-DGGB,2-9,DGGB,DGGB,DGB
ARC,Family,3-1-BSSG,3-1,BSSG,BSSG,BSS
ARC,Family,3-10-DGDC,3-10,DGDC,DGDC,DGC
ARC,Family,3-11-DGYSa,3-11,DGYSa,DGYSa,DGY
ARC,Family,3-12-USOS,3-12,USOS,USOS,USO
ARC,Family,3-13-USYY,3-13,USYY,USYY,USY
ARC,Family,3-14-USYJ,3-14,USYJ,USYJ,USJ
ARC,Family,3-15-GSGA,3-15,GSGA,GSGA,GSG
ARC,Family,3-16-GCGD,3-16,GCGD,GCGD,GCG
ARC,Family,3-17-MGYS,3-17,MGYS,MGYS,MGY
ARC,Family,3-18-ADAS,3-18,ADAS,ADAS,ADA
ARC,Family,3-19-ADPC,3-19,ADPC,ADPC,ADP
ARC,Family,3-2-BSNS,3-2,BSNS,BSNS,BSN
ARC,Family,3-20-YCGH,3-20,YCGH,YCGH,YCG
ARC,Family,3-21-YCDG,3-21,YCDG,YCDG,YCD
ARC,Family,3-22-UJGN,3-22,UJGN,UJGN,UJG
ARC,Family,3-23-CGSJ,3-23,CGSJ,CGSJ,CGS
ARC,Family,3-24-GHGHa,3-24,GHGHa,GHGHa,GHGa
ARC,Family,3-25-GHGHb,3-25,GHGHb,GHGHb,GHGb
ARC,Family,3-26-GHHM,3-26,GHHM,GHHM,GHH
ARC,Family,3-27-GHJY,3-27,GHJY,GHJY,GHJ
ARC,Family,3-28-MYSN,3-28,MYSN,MYSN,MYS
ARC,Family,3-29-SCHG,3-29,SCHG,SCHG,SCH
ARC,Family,3-3-BSIGa,3-3,BSIGa,BSIGa,BSI
ARC,Family,3-30-YSDM,3-30,YSDM,YSDM,YSD
ARC,Family,3-31-YSYS,3-31,YSYS,YSYS,YSY
ARC,Family,3-32-JJNG,3-32,JJNG,JJNG,JJN
ARC,Family,3-32'-JJYS,3-32',JJYS,JJYS,JJY
ARC,Family,3-33-CWMS,3-33,CWMS,CWMS,CWM
ARC,Family,3-34-CWSS,3-34,CWSS,CWSS,CWS
ARC,Family,3-4-BSOC,3-4,BSOC,BSOC,BSO
ARC,Family,3-5-BSES,3-5,BSES,BSES,BSE
ARC,Family,3-6-DGGW,3-6,DGGW,DGGW,DGG
