feature,taxon,domain,taxonomic_level,samples_above_0_1_percent,training_samples_above_0_1_percent,included_in_final_matrix
BAC_F::Cloacimonadaceae,Cloacimonadaceae,Bacteria,Family,111,82,True
BAC_F::Cloacimonadales,Cloacimonadales,Bacteria,Family,3,1,True
BAC_F::Clostridia_UCG-014,Clostridia_UCG-014,Bacteria,Family,19,14,True
BAC_F::Clostridiaceae,Clostridiaceae,Bacteria,Family,32,24,True
BAC_F::Comamonadaceae,Comamonadaceae,Bacteria,Family,106,82,True
BAC_F::Competibacteraceae,Competibacteraceae,Bacteria,Family,54,37,True
BAC_F::Coprothermobacteraceae,Coprothermobacteraceae,Bacteria,Family,8,8,True
BAC_F::Coriobacteriales_Incertae_Sedis,Coriobacteriales_Incertae_Sedis,Bacteria,Family,1,1,True
BAC_F::Corynebacteriaceae,Corynebacteriaceae,Bacteria,Family,10,9,True
BAC_F::Crocinitomicaceae,Crocinitomicaceae,Bacteria,Family,1,1,True
BAC_F::D8A-2,D8A-2,Bacteria,Family,103,89,True
BAC_F::DEV007,DEV007,Bacteria,Family,7,5,True
BAC_F::DS-100,DS-100,Bacteria,Family,25,20,True
BAC_F::DTU014,DTU014,Bacteria,Family,124,103,True
BAC_F::Defluviicoccaceae,Defluviicoccaceae,Bacteria,Family,9,6,True
BAC_F::Defluviitaleaceae,Defluviitaleaceae,Bacteria,Family,10,9,True
BAC_F::Dermatophilaceae,Dermatophilaceae,Bacteria,Family,6,1,True
BAC_F::Desulfitibacteraceae,Desulfitibacteraceae,Bacteria,Family,6,6,True
BAC_F::Desulfobulbaceae,Desulfobulbaceae,Bacteria,Family,36,26,True
BAC_F::Desulfomicrobiaceae,Desulfomicrobiaceae,Bacteria,Family,37,26,True
BAC_F::Desulfotomaculales,Desulfotomaculales,Bacteria,Family,83,70,True
BAC_F::Desulfovibrionaceae,Desulfovibrionaceae,Bacteria,Family,17,12,True
BAC_F::Dethiobacteraceae,Dethiobacteraceae,Bacteria,Family,47,41,True
BAC_F::Devosiaceae,Devosiaceae,Bacteria,Family,14,12,True
BAC_F::Dietziaceae,Dietziaceae,Bacteria,Family,1,1,True
BAC_F::Diplorickettsiaceae,Diplorickettsiaceae,Bacteria,Family,1,1,True
BAC_F::Dongiaceae,Dongiaceae,Bacteria,Family,1,1,True
BAC_F::Dysgonomonadaceae,Dysgonomonadaceae,Bacteria,Family,128,103,True
BAC_F::Eggerthellaceae,Eggerthellaceae,Bacteria,Family,1,1,True
BAC_F::Elsteraceae,Elsteraceae,Bacteria,Family,1,1,True
BAC_F::Endomicrobiaceae,Endomicrobiaceae,Bacteria,Family,7,7,True
BAC_F::Enterobacteriaceae,Enterobacteriaceae,Bacteria,Family,16,14,True
BAC_F::Enterococcaceae,Enterococcaceae,Bacteria,Family,4,3,True
BAC_F::Erwiniaceae,Erwiniaceae,Bacteria,Family,3,3,True
BAC_F::Erysipelatoclostridiaceae,Erysipelatoclostridiaceae,Bacteria,Family,21,18,True
BAC_F::Erysipelotrichaceae,Erysipelotrichaceae,Bacteria,Family,7,4,True
BAC_F::Eubacteriaceae,Eubacteriaceae,Bacteria,Family,8,6,True
BAC_F::F082,F082,Bacteria,Family,7,4,True
BAC_F::FTLpost3,FTLpost3,Bacteria,Family,9,5,True
BAC_F::Fermentibacteraceae,Fermentibacteraceae,Bacteria,Family,16,11,True
BAC_F::Fervidobacteriaceae,Fervidobacteriaceae,Bacteria,Family,11,10,True
BAC_F::Fibrobacteraceae,Fibrobacteraceae,Bacteria,Family,9,7,True
BAC_F::Fibrobacterales,Fibrobacterales,Bacteria,Family,4,3,True
BAC_F::Fimbriimonadaceae,Fimbriimonadaceae,Bacteria,Family,21,15,True
BAC_F::Flavobacteriaceae,Flavobacteriaceae,Bacteria,Family,11,6,True
BAC_F::Fusibacteraceae,Fusibacteraceae,Bacteria,Family,6,5,True
BAC_F::Fusobacteriaceae,Fusobacteriaceae,Bacteria,Family,1,1,True
BAC_F::GZKB124,GZKB124,Bacteria,Family,3,2,True
BAC_F::GZKB75,GZKB75,Bacteria,Family,13,11,True
BAC_F::Gallionellaceae,Gallionellaceae,Bacteria,Family,1,1,True
BAC_F::Garciellaceae,Garciellaceae,Bacteria,Family,9,9,True
BAC_F::Gemmataceae,Gemmataceae,Bacteria,Family,32,25,True
BAC_F::Gemmatimonadaceae,Gemmatimonadaceae,Bacteria,Family,16,11,True
BAC_F::Geobacteraceae,Geobacteraceae,Bacteria,Family,12,11,True
BAC_F::Gracilibacteraceae,Gracilibacteraceae,Bacteria,Family,82,66,True
BAC_F::HOC36,HOC36,Bacteria,Family,1,1,True
BAC_F::Hahellaceae,Hahellaceae,Bacteria,Family,1,1,True
BAC_F::Halanaerobiaceae,Halanaerobiaceae,Bacteria,Family,2,2,True
BAC_F::Haliangiaceae,Haliangiaceae,Bacteria,Family,6,3,True
BAC_F::Halomonadaceae,Halomonadaceae,Bacteria,Family,3,3,True
BAC_F::Holophagaceae,Holophagaceae,Bacteria,Family,11,7,True
BAC_F::Hungateiclostridiaceae,Hungateiclostridiaceae,Bacteria,Family,135,107,True
BAC_F::Hydrogenedensaceae,Hydrogenedensaceae,Bacteria,Family,65,49,True
BAC_F::Hydrogenophilaceae,Hydrogenophilaceae,Bacteria,Family,19,13,True
BAC_F::Hydrothermae,Hydrothermae,Bacteria,Family,1,1,True
BAC_F::Hyphomicrobiaceae,Hyphomicrobiaceae,Bacteria,Family,36,27,True
BAC_F::Hyphomonadaceae,Hyphomonadaceae,Bacteria,Family,33,29,True
BAC_F::IMCC26256,IMCC26256,Bacteria,Family,5,2,True
BAC_F::Iamiaceae,Iamiaceae,Bacteria,Family,4,4,True
BAC_F::Ignavibacteriaceae,Ignavibacteriaceae,Bacteria,Family,6,4,True
BAC_F::Ilumatobacteraceae,Ilumatobacteraceae,Bacteria,Family,1,1,True
BAC_F::Incertae_Sedis,Incertae_Sedis,Bacteria,Family,35,32,True
BAC_F::Intrasporangiaceae,Intrasporangiaceae,Bacteria,Family,57,43,True
BAC_F::Isosphaeraceae,Isosphaeraceae,Bacteria,Family,7,6,True
BAC_F::Izemoplasmataceae,Izemoplasmataceae,Bacteria,Family,2,2,True
BAC_F::Izemoplasmatales,Izemoplasmatales,Bacteria,Family,58,51,True
BAC_F::JG36-GS-52,JG36-GS-52,Bacteria,Family,2,2,True
BAC_F::JS1,JS1,Bacteria,Family,64,46,True
BAC_F::KCLunmb-38-53,KCLunmb-38-53,Bacteria,Family,13,9,True
BAC_F::Kapabacteriales,Kapabacteriales,Bacteria,Family,44,33,True
BAC_F::Kosmotogaceae,Kosmotogaceae,Bacteria,Family,47,34,True
BAC_F::LD1-PA32,LD1-PA32,Bacteria,Family,16,12,True
BAC_F::LD1-PB3,LD1-PB3,Bacteria,Family,32,25,True
BAC_F::LF045,LF045,Bacteria,Family,28,21,True
BAC_F::LWQ8,LWQ8,Bacteria,Family,4,2,True
BAC_F::Lachnospiraceae,Lachnospiraceae,Bacteria,Family,108,90,True
BAC_F::Lactobacillaceae,Lactobacillaceae,Bacteria,Family,45,37,True
BAC_F::Leeiaceae,Leeiaceae,Bacteria,Family,4,3,True
BAC_F::Lentimicrobiaceae,Lentimicrobiaceae,Bacteria,Family,113,90,True
BAC_F::Leptospiraceae,Leptospiraceae,Bacteria,Family,66,50,True
BAC_F::Leptotrichiaceae,Leptotrichiaceae,Bacteria,Family,20,13,True
BAC_F::Leuconostocaceae,Leuconostocaceae,Bacteria,Family,9,8,True
BAC_F::LiUU-11-161,LiUU-11-161,Bacteria,Family,1,1,True
BAC_F::Limnochordaceae,Limnochordaceae,Bacteria,Family,2,2,True
BAC_F::Limnochordia,Limnochordia,Bacteria,Family,8,8,True
BAC_F::M55-D21,M55-D21,Bacteria,Family,12,12,True
BAC_F::MAT-CR-H4-C10,MAT-CR-H4-C10,Bacteria,Family,2,2,True
BAC_F::MBA03,MBA03,Bacteria,Family,60,51,True
BAC_F::MVP-15,MVP-15,Bacteria,Family,55,41,True
BAC_F::Marinifilaceae,Marinifilaceae,Bacteria,Family,1,1,True
BAC_F::Marinilabiliaceae,Marinilabiliaceae,Bacteria,Family,79,65,True
BAC_F::Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Bacteria,Family,30,24,True
BAC_F::Methylococcaceae,Methylococcaceae,Bacteria,Family,9,4,True
BAC_F::Methylomonadaceae,Methylomonadaceae,Bacteria,Family,21,18,True
BAC_F::Methylophilaceae,Methylophilaceae,Bacteria,Family,25,15,True
BAC_F::MgMjR-022,MgMjR-022,Bacteria,Family,24,23,True
BAC_F::Microbacteriaceae,Microbacteriaceae,Bacteria,Family,56,44,True
BAC_F::Micrococcaceae,Micrococcaceae,Bacteria,Family,2,1,True
BAC_F::Microscillaceae,Microscillaceae,Bacteria,Family,18,12,True
BAC_F::Microtrichaceae,Microtrichaceae,Bacteria,Family,47,33,True
BAC_F::Monoglobaceae,Monoglobaceae,Bacteria,Family,12,10,True
BAC_F::Moorellaceae,Moorellaceae,Bacteria,Family,1,1,True
BAC_F::Moraxellaceae,Moraxellaceae,Bacteria,Family,23,16,True
BAC_F::Morganellaceae,Morganellaceae,Bacteria,Family,2,1,True
BAC_F::Mycobacteriaceae,Mycobacteriaceae,Bacteria,Family,27,21,True
BAC_F::NK-L14,NK-L14,Bacteria,Family,2,2,True
BAC_F::NKB15,NKB15,Bacteria,Family,6,6,True
BAC_F::Nannocystaceae,Nannocystaceae,Bacteria,Family,1,1,True
BAC_F::Neisseriaceae,Neisseriaceae,Bacteria,Family,6,4,True
BAC_F::Nitrosococcaceae,Nitrosococcaceae,Bacteria,Family,5,4,True
BAC_F::Nitrosomonadaceae,Nitrosomonadaceae,Bacteria,Family,30,21,True
BAC_F::Nitrospiraceae,Nitrospiraceae,Bacteria,Family,15,7,True
BAC_F::OLB14,OLB14,Bacteria,Family,14,10,True
BAC_F::OPB41,OPB41,Bacteria,Family,9,7,True
BAC_F::Obscuribacteraceae,Obscuribacteraceae,Bacteria,Family,2,2,True
BAC_F::Oligosphaeraceae,Oligosphaeraceae,Bacteria,Family,10,10,True
BAC_F::Omnitrophaceae,Omnitrophaceae,Bacteria,Family,11,5,True
BAC_F::Oscillospiraceae,Oscillospiraceae,Bacteria,Family,93,72,True
BAC_F::Oxalobacteraceae,Oxalobacteraceae,Bacteria,Family,3,2,True
BAC_F::PB19,PB19,Bacteria,Family,2,2,True
BAC_F::PBS-18,PBS-18,Bacteria,Family,4,2,True
BAC_F::PHOS-HE36,PHOS-HE36,Bacteria,Family,21,15,True
BAC_F::PLTA13,PLTA13,Bacteria,Family,12,11,True
BAC_F::Paludibacteraceae,Paludibacteraceae,Bacteria,Family,129,102,True
BAC_F::PeH15,PeH15,Bacteria,Family,8,7,True
BAC_F::PeM15,PeM15,Bacteria,Family,22,17,True
BAC_F::Pedosphaeraceae,Pedosphaeraceae,Bacteria,Family,85,62,True
BAC_F::Peptococcaceae,Peptococcaceae,Bacteria,Family,26,20,True
BAC_F::Peptostreptococcaceae,Peptostreptococcaceae,Bacteria,Family,18,13,True
BAC_F::Peptostreptococcales-Tissierellales,Peptostreptococcales-Tissierellales,Bacteria,Family,83,68,True
BAC_F::Petrotogaceae,Petrotogaceae,Bacteria,Family,95,80,True
BAC_F::Phycisphaeraceae,Phycisphaeraceae,Bacteria,Family,3,2,True
BAC_F::Pirellulaceae,Pirellulaceae,Bacteria,Family,51,38,True
BAC_F::Pla3_lineage,Pla3_lineage,Bacteria,Family,6,5,True
BAC_F::Planococcaceae,Planococcaceae,Bacteria,Family,1,1,True
BAC_F::Porticoccaceae,Porticoccaceae,Bacteria,Family,5,2,True
BAC_F::Prevotellaceae,Prevotellaceae,Bacteria,Family,46,37,True
BAC_F::Prolixibacteraceae,Prolixibacteraceae,Bacteria,Family,93,69,True
BAC_F::Propionibacteriaceae,Propionibacteriaceae,Bacteria,Family,9,3,True
BAC_F::Proteiniboraceae,Proteiniboraceae,Bacteria,Family,7,6,True
BAC_F::Pseudomonadaceae,Pseudomonadaceae,Bacteria,Family,25,17,True
BAC_F::RBG-13-54-9,RBG-13-54-9,Bacteria,Family,12,6,True
BAC_F::RBG-16-55-12,RBG-16-55-12,Bacteria,Family,8,5,True
BAC_F::Reyranellaceae,Reyranellaceae,Bacteria,Family,4,1,True
BAC_F::Rhizobiaceae,Rhizobiaceae,Bacteria,Family,25,18,True
BAC_F::Rhizobiales_Incertae_Sedis,Rhizobiales_Incertae_Sedis,Bacteria,Family,24,20,True
BAC_F::Rhodanobacteraceae,Rhodanobacteraceae,Bacteria,Family,65,46,True
BAC_F::Rhodobacteraceae,Rhodobacteraceae,Bacteria,Family,81,61,True
BAC_F::Rhodocyclaceae,Rhodocyclaceae,Bacteria,Family,89,67,True
BAC_F::Rickettsiaceae,Rickettsiaceae,Bacteria,Family,1,1,True
BAC_F::Rikenellaceae,Rikenellaceae,Bacteria,Family,106,87,True
BAC_F::Rubinisphaeraceae,Rubinisphaeraceae,Bacteria,Family,26,15,True
BAC_F::Ruminococcaceae,Ruminococcaceae,Bacteria,Family,80,64,True
BAC_F::Run-SP154,Run-SP154,Bacteria,Family,20,12,True
BAC_F::S15A-MN91,S15A-MN91,Bacteria,Family,22,18,True
BAC_F::SB-5,SB-5,Bacteria,Family,18,13,True
BAC_F::SBR1031,SBR1031,Bacteria,Family,69,49,True
BAC_F::SC-I-84,SC-I-84,Bacteria,Family,60,48,True
BAC_F::SHA-41,SHA-41,Bacteria,Family,1,1,True
BAC_F::SJA-15,SJA-15,Bacteria,Family,50,31,True
BAC_F::SJA-28,SJA-28,Bacteria,Family,70,53,True
BAC_F::SM1A07,SM1A07,Bacteria,Family,1,1,True
BAC_F::SRB2,SRB2,Bacteria,Family,14,13,True
BAC_F::ST-12K33,ST-12K33,Bacteria,Family,81,69,True
BAC_F::Saccharimonadaceae,Saccharimonadaceae,Bacteria,Family,5,2,True
BAC_F::Saccharimonadales,Saccharimonadales,Bacteria,Family,24,18,True
BAC_F::Saprospiraceae,Saprospiraceae,Bacteria,Family,75,54,True
BAC_F::Schlesneriaceae,Schlesneriaceae,Bacteria,Family,2,1,True
BAC_F::Sedimentibacteraceae,Sedimentibacteraceae,Bacteria,Family,129,104,True
BAC_F::Selenomonadaceae,Selenomonadaceae,Bacteria,Family,2,2,True
BAC_F::Smithellaceae,Smithellaceae,Bacteria,Family,84,62,True
BAC_F::Solibacteraceae,Solibacteraceae,Bacteria,Family,2,2,True
BAC_F::Sphingobacteriaceae,Sphingobacteriaceae,Bacteria,Family,2,1,True
BAC_F::Sphingomonadaceae,Sphingomonadaceae,Bacteria,Family,59,44,True
BAC_F::Spirochaetaceae,Spirochaetaceae,Bacteria,Family,128,101,True
BAC_F::Spongiibacteraceae,Spongiibacteraceae,Bacteria,Family,34,23,True
BAC_F::Sporichthyaceae,Sporichthyaceae,Bacteria,Family,9,7,True
BAC_F::Sporomusaceae,Sporomusaceae,Bacteria,Family,12,10,True
BAC_F::Steroidobacteraceae,Steroidobacteraceae,Bacteria,Family,7,3,True
BAC_F::Streptococcaceae,Streptococcaceae,Bacteria,Family,46,38,True
BAC_F::Sumerlaeaceae,Sumerlaeaceae,Bacteria,Family,14,11,True
BAC_F::Sutterellaceae,Sutterellaceae,Bacteria,Family,43,31,True
BAC_F::Sva0485,Sva0485,Bacteria,Family,8,2,True
BAC_F::Symbiobacteraceae,Symbiobacteraceae,Bacteria,Family,4,4,True
BAC_F::Synergistaceae,Synergistaceae,Bacteria,Family,136,107,True
BAC_F::Syntrophaceae,Syntrophaceae,Bacteria,Family,40,27,True
BAC_F::Syntrophobacteraceae,Syntrophobacteraceae,Bacteria,Family,45,29,True
BAC_F::Syntrophobotulaceae,Syntrophobotulaceae,Bacteria,Family,1,1,True
BAC_F::Syntrophomonadaceae,Syntrophomonadaceae,Bacteria,Family,129,103,True
BAC_F::Syntrophorhabdaceae,Syntrophorhabdaceae,Bacteria,Family,80,60,True
BAC_F::Syntrophotaleaceae,Syntrophotaleaceae,Bacteria,Family,8,8,True
BAC_F::TA06,TA06,Bacteria,Family,8,4,True
BAC_F::TTA-B1,TTA-B1,Bacteria,Family,10,4,True
BAC_F::Tannerellaceae,Tannerellaceae,Bacteria,Family,65,50,True
BAC_F::Thermaceae,Thermaceae,Bacteria,Family,3,3,True
BAC_F::Thermacetogeniaceae,Thermacetogeniaceae,Bacteria,Family,27,27,True
BAC_F::Thermoanaerobaculaceae,Thermoanaerobaculaceae,Bacteria,Family,35,26,True
BAC_F::Thermotaleaceae,Thermotaleaceae,Bacteria,Family,6,6,True
BAC_F::Thermovenabulales,Thermovenabulales,Bacteria,Family,23,23,True
BAC_F::Thioalkalispiraceae,Thioalkalispiraceae,Bacteria,Family,1,1,True
BAC_F::Trueperaceae,Trueperaceae,Bacteria,Family,2,1,True
BAC_F::UCG-010,UCG-010,Bacteria,Family,72,64,True
BAC_F::Veillonellaceae,Veillonellaceae,Bacteria,Family,9,7,True
BAC_F::Vermiphilaceae,Vermiphilaceae,Bacteria,Family,4,3,True
BAC_F::Verrucomicrobiaceae,Verrucomicrobiaceae,Bacteria,Family,1,1,True
BAC_F::Vibrionaceae,Vibrionaceae,Bacteria,Family,1,1,True
BAC_F::W27,W27,Bacteria,Family,90,79,True
BAC_F::WCHB1-02,WCHB1-02,Bacteria,Family,79,62,True
BAC_F::WCHB1-41,WCHB1-41,Bacteria,Family,106,83,True
BAC_F::WCHB1-81,WCHB1-81,Bacteria,Family,39,27,True
BAC_F::WPS-2,WPS-2,Bacteria,Family,4,3,True
BAC_F::WS1,WS1,Bacteria,Family,47,37,True
BAC_F::WWE3,WWE3,Bacteria,Family,3,2,True
BAC_F::Weeksellaceae,Weeksellaceae,Bacteria,Family,29,20,True
BAC_F::Williamwhitmaniaceae,Williamwhitmaniaceae,Bacteria,Family,67,51,True
BAC_F::Wohlfahrtiimonadaceae,Wohlfahrtiimonadaceae,Bacteria,Family,1,1,True
BAC_F::Xanthobacteraceae,Xanthobacteraceae,Bacteria,Family,39,29,True
BAC_F::Xanthomonadaceae,Xanthomonadaceae,Bacteria,Family,68,52,True
BAC_F::Yersiniaceae,Yersiniaceae,Bacteria,Family,4,3,True
BAC_F::Z4MB62,Z4MB62,Bacteria,Family,2,2,True
BAC_F::Zixibacteria,Zixibacteria,Bacteria,Family,5,3,True
BAC_F::c5LKS83,c5LKS83,Bacteria,Family,11,3,True
BAC_F::cvE6,cvE6,Bacteria,Family,1,1,True
BAC_F::env.OPS_17,env.OPS_17,Bacteria,Family,2,2,True
BAC_F::p-251-o5,p-251-o5,Bacteria,Family,15,11,True
BAC_F::unidentified,unidentified,Bacteria,Family,137,109,True
ARC_F::Aenigmarchaeales,Aenigmarchaeales,Archaea,Family,2,2,True
ARC_F::Bathyarchaeia,Bathyarchaeia,Archaea,Family,67,51,True
ARC_F::Lokiarchaeia,Lokiarchaeia,Archaea,Family,2,1,True
ARC_F::Methanocorpusculaceae,Methanocorpusculaceae,Archaea,Family,29,20,True
ARC_F::Methanofastidiosaceae,Methanofastidiosaceae,Archaea,Family,127,98,True
ARC_F::Methanomassiliicoccaceae,Methanomassiliicoccaceae,Archaea,Family,117,95,True
ARC_F::Methanomethyliaceae,Methanomethyliaceae,Archaea,Family,20,12,True
ARC_F::Methanomethylophilaceae,Methanomethylophilaceae,Archaea,Family,47,40,True
ARC_F::Methanomicrobiaceae,Methanomicrobiaceae,Archaea,Family,118,100,True
ARC_F::Methanomicrobiales,Methanomicrobiales,Archaea,Family,46,33,True
ARC_F::Methanoregulaceae,Methanoregulaceae,Archaea,Family,111,86,True
ARC_F::Methanosaetaceae,Methanosaetaceae,Archaea,Family,132,103,True
ARC_F::Methanosarcinaceae,Methanosarcinaceae,Archaea,Family,107,83,True
ARC_F::Methanospirillaceae,Methanospirillaceae,Archaea,Family,127,98,True
ARC_F::Micrarchaeales,Micrarchaeales,Archaea,Family,18,13,True
ARC_F::Nitrososphaeraceae,Nitrososphaeraceae,Archaea,Family,13,10,True
ARC_F::Rhinosporideacae,Rhinosporideacae,Archaea,Family,1,1,True
ARC_F::SCGC_AAA011-D5,SCGC_AAA011-D5,Archaea,Family,46,38,True
ARC_F::Teleostei,Teleostei,Archaea,Family,1,1,True
ARC_F::Veneroida,Veneroida,Archaea,Family,2,2,True
ARC_F::Woesearchaeales,Woesearchaeales,Archaea,Family,11,5,True
ARC_F::unidentified,unidentified,Archaea,Family,123,96,True
