domain,rank,taxon,feature,samples_above_0_1_percent,included
BAC,Order,MSBL9,BAC_O::MSBL9,17,True
BAC,Order,MVP-15,BAC_O::MVP-15,55,True
BAC,Order,Marinimicrobia_(SAR406_clade),BAC_O::Marinimicrobia_(SAR406_clade),30,True
BAC,Order,Methylococcales,BAC_O::Methylococcales,29,True
BAC,Order,Micavibrionales,BAC_O::Micavibrionales,8,True
BAC,Order,Micrococcales,BAC_O::Micrococcales,82,True
BAC,Order,Micropepsales,BAC_O::Micropepsales,1,True
BAC,Order,Microtrichales,BAC_O::Microtrichales,56,True
BAC,Order,MidBa8,BAC_O::MidBa8,2,True
BAC,Order,Monoglobales,BAC_O::Monoglobales,12,True
BAC,Order,Moorellales,BAC_O::Moorellales,1,True
BAC,Order,Myxococcales,BAC_O::Myxococcales,1,True
BAC,Order,NB1-j,BAC_O::NB1-j,2,True
BAC,Order,NKB15,BAC_O::NKB15,6,True
BAC,Order,Nannocystales,BAC_O::Nannocystales,1,True
BAC,Order,Nitrosococcales,BAC_O::Nitrosococcales,5,True
BAC,Order,Nitrospirales,BAC_O::Nitrospirales,15,True
BAC,Order,OLB14,BAC_O::OLB14,14,True
BAC,Order,OM190,BAC_O::OM190,1,True
BAC,Order,OPB41,BAC_O::OPB41,9,True
BAC,Order,Obscuribacterales,BAC_O::Obscuribacterales,2,True
BAC,Order,Oceanospirillales,BAC_O::Oceanospirillales,3,True
BAC,Order,Oligosphaerales,BAC_O::Oligosphaerales,15,True
BAC,Order,Omnitrophales,BAC_O::Omnitrophales,11,True
BAC,Order,Oscillospirales,BAC_O::Oscillospirales,133,True
BAC,Order,PB19,BAC_O::PB19,2,True
BAC,Order,PLTA13,BAC_O::PLTA13,12,True
BAC,Order,PeM15,BAC_O::PeM15,22,True
BAC,Order,Pedosphaerales,BAC_O::Pedosphaerales,85,True
BAC,Order,Peptococcales,BAC_O::Peptococcales,26,True
BAC,Order,Peptostreptococcales-Tissierellales,BAC_O::Peptostreptococcales-Tissierellales,137,True
BAC,Order,Petrotogales,BAC_O::Petrotogales,95,True
BAC,Order,Phycisphaerales,BAC_O::Phycisphaerales,4,True
BAC,Order,Pirellulales,BAC_O::Pirellulales,51,True
BAC,Order,Pla3_lineage,BAC_O::Pla3_lineage,6,True
BAC,Order,Planctomycetales,BAC_O::Planctomycetales,58,True
BAC,Order,Polyangiales,BAC_O::Polyangiales,1,True
BAC,Order,Propionibacteriales,BAC_O::Propionibacteriales,9,True
BAC,Order,Proteinivoracales,BAC_O::Proteinivoracales,6,True
BAC,Order,Pseudomonadales,BAC_O::Pseudomonadales,38,True
BAC,Order,RBG-13-54-9,BAC_O::RBG-13-54-9,12,True
BAC,Order,RBG-16-55-12,BAC_O::RBG-16-55-12,8,True
BAC,Order,RF39,BAC_O::RF39,1,True
BAC,Order,Reyranellales,BAC_O::Reyranellales,4,True
BAC,Order,Rhizobiales,BAC_O::Rhizobiales,83,True
BAC,Order,Rhodobacterales,BAC_O::Rhodobacterales,81,True
BAC,Order,Rhodospirillales,BAC_O::Rhodospirillales,1,True
BAC,Order,Rickettsiales,BAC_O::Rickettsiales,1,True
BAC,Order,Rubrobacterales,BAC_O::Rubrobacterales,1,True
BAC,Order,Run-SP154,BAC_O::Run-SP154,20,True
BAC,Order,SBR1031,BAC_O::SBR1031,69,True
BAC,Order,SJA-15,BAC_O::SJA-15,50,True
BAC,Order,SJA-28,BAC_O::SJA-28,70,True
