SampleID,Round,Season,Site,No,HRT_d,T_C,Q_total_Tpy,substrate_type,substrate1_name,substrate1_Q,substrate1_pH,substrate1_ALK,substrate1_TS,substrate1_VS,substrate1_TSS,substrate1_VSS,substrate1_COD,substrate1_sCOD,substrate1_TC,substrate1_Protein,substrate1_Lipid,substrate1_TVFAs,substrate1_TVFAs_plus_EtOH,substrate1_EtOH,substrate1_HAc,substrate1_HPro,substrate1_i_HBut,substrate1_HBut,substrate1_i_HVal,substrate1_HVal,substrate1_i_HCap,substrate1_HCap,substrate2_name,substrate2_Q,substrate2_pH,substrate2_ALK,substrate2_TS,substrate2_VS,substrate2_TSS,substrate2_VSS,substrate2_COD,substrate2_sCOD,substrate2_TC,substrate2_Protein,substrate2_Lipid,substrate2_TVFAs,substrate2_TVFAs_plus_EtOH,substrate2_EtOH,substrate2_HAc,substrate2_HPro,substrate2_i_HBut,substrate2_HBut,substrate2_i_HVal,substrate2_HVal,substrate2_i_HCap,substrate2_HCap,substrate3_name,substrate3_Q,substrate3_pH,substrate3_ALK,substrate3_TS,substrate3_VS,substrate3_TSS,substrate3_VSS,substrate3_COD,substrate3_sCOD,substrate3_TC,substrate3_Protein,substrate3_Lipid,substrate3_TVFAs,substrate3_TVFAs_plus_EtOH,substrate3_EtOH,substrate3_HAc,substrate3_HPro,substrate3_i_HBut,substrate3_HBut,substrate3_i_HVal,substrate3_HVal,substrate3_i_HCap,substrate3_HCap,eff_pH,eff_ALK,eff_TS,eff_VS,eff_TSS,eff_VSS,eff_TC,eff_TKN,eff_TAN,eff_Lipid,eff_COD,eff_sCOD,eff_TVFAs,eff_TVFAs_plus_EtOH,eff_EtOH,eff_HAc,eff_HPro,eff_i_HBut,eff_HBut,eff_i_HVal,eff_HVal,eff_i_HCap,eff_HCap,eff_CO2,eff_CH4,eff_H2S,eff_O2
3-6,3,Winter,DGG,6,40,38,14645,FW+HM+Aww,FW+HM+Aww,14645,7.76,4.5125,32.3,22.87,23.1,17.9,90.55,31.9,11.5,8.29,2.1,5.3,5.3,0,2.3,0.8,0.2,0.9,0.3,0.2,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.99,4.335,8.75,3.02,4.3,2.1,0.35,3.53182016,2.206063,1.765,20.5,2.7,0,0,0,0,0,0,0,0,0,0,0,30.2,65.1,0.042,0.6
4-6,4,Spring,DGG,6,40,38,14645,FW+HM+Aww,FW+HM+Aww,14645,6.79,9.044,38.98,27.88,28.7,23.5,68.76,24.2,14.6,13.81,3.1,5.45,5.45,0,2.33,1.16,0.16,1.02,0.27,0.22,0,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.99,11.54,23.38,12.43,15.8,11.1,4.5,4.1947,2.392,0.35,19.79,2.6,0,0,0,0,0,0,0,0,0,0,0,27.2,57.9,0.11,2.7
1-7,1,Summer,DGD,7,22.6,35,472558,MSC+HM,MSC+HM,472558,6.65,0.856,26.18,15.95,25.9,15.9,20.72,0.2,6.1,7.936,2.2,0.07,0.07,0,0.07,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.98,1.734,25.53,14.72,26.3,15.6,4.78,1.600475,0.4109471,2.32,17.44,0.2,0,0,0,0,0,0,0,0,0,0,0,34.2,65.8,0.002,0
2-7,2,Fall,DGD,7,22.6,35,472558,MSC+HM,MSC+HM,472558,6.31,0.0805,24.42,17.3,24.4,17.7,27.11,2.1,1.27,4.82,2.17,0.32,0.32,0,0.11,0.12,0.02,0.01,0.03,0.02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.11,0.3775,21.22,12.27,21,12.3,2.37,1.43673,0.5070815,1.5,27.87,1,0.01,0.01,0,0.01,0,0,0,0,0,0,0,25,63.3,0.002,1.8
3-7,3,Winter,DGD,7,22.6,35,472558,MSC+HM,MSC+HM,472558,6.22,0.302,35.97,28.78,41.3,33.8,49.17,1.2,22.92,11.8,5.7,0.03,0.03,0,0.02,0.01,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.43,1.634,21.47,13.4,22,14.2,6.25,2.58579804,0.6982931,2.28,24.8,0.3,0.01,0.01,0,0.01,0,0,0,0,0,0,0,32.7,64.4,0,0.6
4-7,4,Spring,DGD,7,22.6,35,472558,MSC/HM,MSC,452233,6.34,0.588,32.7,25.43,33.7,27,40.8,1,14.52,15.94,2.5,0,0,0,0,0,0,0,0,0,0,0,HM,20325,6.55,2.712,5.65,4.17,4.4,3.5,11.25,0.1,4.51,3.43,0.8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,7.37,3.814,19.33,12.75,17.9,12.2,4.13,2.6729,1.0355,0.9,19.99,0.2,0,0,0,0,0,0,0,0,0,0,0,30.2,62.4,0.002,0.5
1-8,1,Summer,DGJ,8,14.4,35.1,694137,MSC/Fww,MSC,546356,6.49,0.794,29.87,19.22,29.7,19.2,20.25,0.2,9.21,7.349,1.18,0,0.03,0.05,0.01,0,0,0,0,0,0,0,Fww,147781,3.79,,48.77,42.45,39,36.3,92.75,43.8,22.59,11.555,16.9,0.2,0.42,0.22,0.18,0,0,0.02,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,7.24,3.018,18.2,11.2,17.6,10.9,3.65,1.6163215,0.7247036,0.88,15.41,0.5,0,0.07,0.13,0,0,0,0,0,0,0,0,33.6,62.2,0.001,0.2
2-8,2,Fall,DGJ,8,14.4,35.1,694137,MSC/Fww,MSC,546356,5.45,0.0255,42.77,35.27,22,20.8,36.84,2,3.93,8.794,2.38,1.77,7.83,6.06,1.55,0.07,0.01,0.07,0.01,0.02,0,0.04,Fww,147781,3.72,0,24.05,17.68,22.9,17.2,90.17,37.8,6.46,9.97,7.55,1.25,1.25,0,0.74,0.37,0,0.09,0,0.04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,7.56,0.6205,17.87,10.23,16.8,10.4,1.7,1.785348,0.7157115,1.53,21.26,1,0.22,0.44,0.22,0.19,0.02,0,0,0,0,0,0,31.3,57,0.005,0.5
3-8,3,Winter,DGJ,8,14.4,35.1,694137,MSC/Fww,MSC,546356,6.12,0.366,25.45,20.12,25.5,20.6,35.8,1.9,19.25,9.45,10.58,0.17,0.17,0,0.06,0.06,0.01,0,0.02,0.01,0,0,Fww,147781,5.07,0.457,9.08,8.37,49.5,47,12,0.6,85.33,15.8,4.27,0.01,0.01,0,0.01,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,7.53,1.574,12.83,8.18,12.2,8.4,3.1,2.16587148,0.6676568,1.28,91.71,37.3,1.01,6.29,5.28,1.01,0,0,0,0,0,0,0,30.7,55.7,0.003,0.8
4-8,4,Spring,DGJ,8,14.4,35.1,694137,MSC/Fww,MSC,546356,5.83,1.444,32.35,24.48,30.9,23.9,40.38,2.1,12.51,13.61,3.25,0.23,0.23,0,0.06,0.09,0,0.04,0.01,0.02,0,0,Fww,147781,3.95,,33.95,28.2,16.7,16.3,81.62,33.2,12.78,14.78,5.3,0.8,0.8,0,0.8,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,7.33,3.826,18.58,11.93,17.3,11.2,3.73,1.7726,0.92965,1.65,18.51,0.9,0,0,0,0,0,0,0,0,0,0,0,27.8,59.2,0.001,0.5
