domain,rank,workbook_sample,SampleID,workbook_suffix,original_suffix,Site
BAC,Genus,4-27-GHJY,4-27,GHJY,GHJY,GHJ
BAC,Genus,4-28-MYSN,4-28,MYSN,MYSN,MYS
BAC,Genus,4-29-SCHG,4-29,SCHG,SCHG,SCH
BAC,Genus,4-3-BSIGa,4-3,BSIGa,BSIGa,BSI
BAC,Genus,4-30-YSDM,4-30,YSDM,YSDM,YSD
BAC,Genus,4-31-YSYS,4-31,YSYS,YSYS,YSY
BAC,Genus,4-32-JJNG,4-32,JJNG,JJNG,JJN
BAC,Genus,4-32'-JJYS,4-32',JJYS,JJYS,JJY
BAC,Genus,4-33-CWMS,4-33,CWMS,CWMS,CWM
BAC,Genus,4-34-CWSS,4-34,CWSS,CWSS,CWS
BAC,Genus,4-4-BSOC,4-4,BSOC,BSOC,BSO
BAC,Genus,4-5-BSES,4-5,BSES,BSES,BSE
BAC,Genus,4-6-DGGW,4-6,DGGW,DGGW,DGG
BAC,Genus,4-7-DGDS,4-7,DGDS,DGDS,DGD
BAC,Genus,4-8-DGJY,4-8,DGJY,DGJY,DGJ
BAC,Genus,4-9-DGGB,4-9,DGGB,DGGB,DGB
ARC,Genus,1-1-BSSG,1-1,BSSG,BSSG,BSS
ARC,Genus,1-10-DGDC,1-10,DGDC,DGDC,DGC
ARC,Genus,1-11-DGYSa,1-11,DGYSa,DGYSa,DGY
ARC,Genus,1-11b-DGYSb,1-11b,DGYSb,DGYSb,DGYb
ARC,Genus,1-12-USOS,1-12,USOS,USOS,USO
ARC,Genus,1-13-USYY,1-13,USYY,USYY,USY
ARC,Genus,1-14-USYJ,1-14,USYJ,USYJ,USJ
ARC,Genus,1-15-GSGA,1-15,GSGA,GSGA,GSG
ARC,Genus,1-16-GCGD,1-16,GCGD,GCGD,GCG
ARC,Genus,1-17-MGYS,1-17,MGYS,MGYS,MGY
ARC,Genus,1-18-ADAS,1-18,ADAS,ADAS,ADA
ARC,Genus,1-19-ADPC,1-19,ADPC,ADPC,ADP
ARC,Genus,1-2-BSNS,1-2,BSNS,BSNS,BSN
ARC,Genus,1-20-YCGH,1-20,YCGH,YCGH,YCG
ARC,Genus,1-21-YCDG,1-21,YCDG,YCDG,YCD
ARC,Genus,1-22-UJGN,1-22,UJGN,UJGN,UJG
ARC,Genus,1-23-CGSJ,1-23,CGSJ,CGSJ,CGS
ARC,Genus,1-24-GHGHa,1-24,GHGHa,GHGHa,GHGa
ARC,Genus,1-25-GHGHb,1-25,GHGHb,GHGHb,GHGb
ARC,Genus,1-26-GHHM,1-26,GHHM,GHHM,GHH
ARC,Genus,1-27-GHJY,1-27,GHJY,GHJY,GHJ
ARC,Genus,1-28-MYSN,1-28,MYSN,MYSN,MYS
ARC,Genus,1-29-SCHG,1-29,SCHG,SCHG,SCH
ARC,Genus,1-3-BSIGa,1-3,BSIGa,BSIGa,BSI
ARC,Genus,1-30-YSDM,1-30,YSDM,YSDM,YSD
ARC,Genus,1-31-YSYS,1-31,YSYS,YSYS,YSY
ARC,Genus,1-32-JJNG,1-32,JJNG,JJNG,JJN
ARC,Genus,1-33-CWMS,1-33,CWMS,CWMS,CWM
ARC,Genus,1-34-CWSS,1-34,CWSS,CWSS,CWS
ARC,Genus,1-3b-BSIGb,1-3b,BSIGb,BSIGb,BSIb
ARC,Genus,1-4-BSOC,1-4,BSOC,BSOC,BSO
ARC,Genus,1-5-BSES,1-5,BSES,BSES,BSE
ARC,Genus,1-6-DGGW,1-6,DGGW,DGGW,DGG
ARC,Genus,1-7-DGDS,1-7,DGDS,DGDS,DGD
ARC,Genus,1-8-DGJY,1-8,DGJY,DGJY,DGJ
ARC,Genus,1-9-DGGB,1-9,DGGB,DGGB,DGB
ARC,Genus,2-1-BSSG,2-1,BSSG,BSSG,BSS
ARC,Genus,2-10-DGDC,2-10,DGDC,DGDC,DGC
ARC,Genus,2-11-DGYSa,2-11,DGYSa,DGYSa,DGY
ARC,Genus,2-12-USOS,2-12,USOS,USOS,USO
