Model,candidate,scope,params,MCC_warning_acid_base_balance,AUPR_warning_acid_base_balance,MCC_warning_buffer_capacity,AUPR_warning_buffer_capacity,MCC_warning_acid_accumulation,AUPR_warning_acid_accumulation,MCC_warning_ammonia_toxicity,AUPR_warning_ammonia_toxicity,MCC_warning_biogas_quality,AUPR_warning_biogas_quality,Macro_MCC,Macro_AUPR,AUPR_evaluable_labels,Micro_AUPR
RandomForest,4,fold_3,"{""n_estimators"": 150, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""max_depth"": 6}",0.0,0.09453781512605042,0.0,0.047619047619047616,0.0,,0.5855400437691199,0.925,0.0,,0.11710800875382399,0.355718954248366,3,0.5555439999780329
RandomForest,4,fold_4,"{""n_estimators"": 150, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""max_depth"": 6}",0.5461186812727502,0.7555555555555555,0.0,0.09583333333333333,0.0,0.5833333333333334,0.8921425711997711,0.976190476190476,0.0,,0.28765225049450427,0.6027281746031745,4,0.6928111800740275
RandomForest,4,fold_5,"{""n_estimators"": 150, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""max_depth"": 6}",0.693687975619296,0.6916666666666667,0.0,0.0625,0.0,,0.5504818825631803,0.4459090909090909,0.0,0.05263157894736842,0.24883397163649526,0.3131768341307815,4,0.40670879386767805
RandomForest,4,pooled_OOF,"{""n_estimators"": 150, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""max_depth"": 6}",0.32422581701513675,0.3942914687883728,0.0,0.06281924099665313,0.0,0.03398647128763778,0.6460298245536128,0.6071245763792554,0.0,0.04016785970378063,0.1940511283137499,0.22767792343113996,5,0.4072891586547036
RandomForest,5,fold_1,"{""n_estimators"": 300, ""min_samples_leaf"": 1, ""max_features"": 0.5, ""max_depth"": null}",0.0,0.25757575757575757,0.0,0.08893280632411067,0.0,,0.674199862463242,0.7678571428571428,0.0,0.043478260869565216,0.1348399724926484,0.28946099190664404,4,0.4235115491835922
RandomForest,5,fold_2,"{""n_estimators"": 300, ""min_samples_leaf"": 1, ""max_features"": 0.5, ""max_depth"": null}",-0.26666666666666666,0.24278499278499277,0.0,0.20192307692307693,0.0,0.1111111111111111,0.3217979514674192,0.5,0.0,0.23095238095238096,0.011026256960150504,0.2573543123543124,5,0.23673301480820488
RandomForest,5,fold_3,"{""n_estimators"": 300, ""min_samples_leaf"": 1, ""max_features"": 0.5, ""max_depth"": null}",0.0,0.11688311688311688,0.0,0.09090909090909091,0.0,,0.0,1.0,0.0,,0.0,0.4025974025974026,3,0.5149725274725274
RandomForest,5,fold_4,"{""n_estimators"": 300, ""min_samples_leaf"": 1, ""max_features"": 0.5, ""max_depth"": null}",0.0,0.6984126984126984,0.0,0.1,0.0,0.1,0.629940788348712,0.8734126984126983,0.0,,0.12598815766974242,0.4429563492063492,4,0.5878588579759148
RandomForest,5,fold_5,"{""n_estimators"": 300, ""min_samples_leaf"": 1, ""max_features"": 0.5, ""max_depth"": null}",0.4646601886422926,0.5486111111111112,0.0,0.05555555555555555,0.0,,0.6009252125773316,0.46571428571428575,0.0,0.043478260869565216,0.21311708024392484,0.2783398033126294,4,0.4025863707057799
RandomForest,5,pooled_OOF,"{""n_estimators"": 300, ""min_samples_leaf"": 1, ""max_features"": 0.5, ""max_depth"": null}",0.039707056048699396,0.26352205515203064,0.0,0.057213578510873164,0.0,0.025440822434771297,0.4702607772245088,0.592255538240953,0.0,0.05018134999163326,0.10199356665464165,0.19772266886605228,5,0.3682973449251162
RandomForest,6,fold_1,"{""n_estimators"": 300, ""min_samples_leaf"": 3, ""max_features"": 0.5, ""max_depth"": 6}",0.0,0.29166666666666663,0.0,0.09166666666666667,0.0,,0.50709255283711,0.8541666666666666,0.0,0.041666666666666664,0.10141851056742199,0.31979166666666664,4,0.45007633162166
RandomForest,6,fold_2,"{""n_estimators"": 300, ""min_samples_leaf"": 3, ""max_features"": 0.5, ""max_depth"": 6}",-0.3086066999241838,0.24960317460317458,0.0,0.15,0.0,0.08333333333333333,0.3217979514674192,0.5,0.0,0.15604395604395604,0.0026382503086470723,0.22779609279609278,5,0.20687909388210726
RandomForest,6,fold_3,"{""n_estimators"": 300, ""min_samples_leaf"": 3, ""max_features"": 0.5, ""max_depth"": 6}",0.0,0.12878787878787878,0.0,0.07142857142857142,0.0,,0.0,1.0,0.0,,0.0,0.4000721500721501,3,0.5318076093071684
RandomForest,6,fold_4,"{""n_estimators"": 300, ""min_samples_leaf"": 3, ""max_features"": 0.5, ""max_depth"": 6}",0.0,0.6984126984126984,0.0,0.08496732026143791,0.0,0.3,0.8921425711997711,0.8734126984126983,0.0,,0.17842851423995423,0.4891981792717086,4,0.6056215527974331
RandomForest,6,fold_5,"{""n_estimators"": 300, ""min_samples_leaf"": 3, ""max_features"": 0.5, ""max_depth"": 6}",0.4646601886422926,0.6,0.0,0.05555555555555555,0.0,,0.5504818825631803,0.4688888888888889,0.0,0.05555555555555555,0.20302841424109458,0.295,4,0.414317026425322
RandomForest,6,pooled_OOF,"{""n_estimators"": 300, ""min_samples_leaf"": 3, ""max_features"": 0.5, ""max_depth"": 6}",0.020354001729354997,0.2595623056344625,0.0,0.05495751556179998,0.0,0.030187161510883662,0.5050617635559527,0.5667921903169775,0.0,0.03463007003264583,0.10508315305706153,0.1892258486113539,5,0.3498461135218226
RandomForest,7,fold_1,"{""n_estimators"": 150, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 6}",0.0,0.41666666666666663,0.0,0.11011904761904762,0.0,,0.26967994498529685,0.7291666666666666,0.0,0.043478260869565216,0.05393598899705937,0.32485766045548653,4,0.4775261427926018
RandomForest,7,fold_2,"{""n_estimators"": 150, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 6}",0.0,0.4714646464646465,0.0,0.2361111111111111,0.0,0.16666666666666666,0.6871842709362768,1.0,0.0,0.25555555555555554,0.13743685418725535,0.4259595959595959,5,0.3969359078564372
RandomForest,7,fold_3,"{""n_estimators"": 150, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 6}",0.0,0.11309523809523808,0.0,0.05263157894736842,0.0,,0.0,1.0,0.0,,0.0,0.38857560568086885,3,0.4563641510362822
RandomForest,7,fold_4,"{""n_estimators"": 150, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 6}",0.0,0.9166666666666665,0.0,0.08388157894736842,0.0,0.1,0.8819171036881969,0.9761904761904762,0.0,,0.17638342073763938,0.5191846804511278,4,0.6875700425700424
RandomForest,7,fold_5,"{""n_estimators"": 150, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 6}",0.0,0.5548611111111111,0.0,0.0625,0.0,,0.5003702332976756,0.5634920634920635,0.0,0.05555555555555555,0.10007404665953512,0.3091021825396825,4,0.45667663928942126
RandomForest,7,pooled_OOF,"{""n_estimators"": 150, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 6}",0.0,0.3868466351778372,0.0,0.06014095214438199,0.0,0.027607883112470272,0.5018928144848178,0.6417960082154595,0.0,0.05128949065119277,0.10037856289696356,0.23353619386026833,5,0.42497056416256057
KNN,0,fold_1,"{""weights"": ""uniform"", ""p"": 1, ""n_neighbors"": 3}",-0.13483997249264842,0.10416666666666666,-0.11396057645963795,0.08333333333333333,0.0,,0.4,0.41666666666666663,0.0,0.041666666666666664,0.03023989020954273,0.16145833333333331,4,0.12314814814814815
KNN,0,fold_2,"{""weights"": ""uniform"", ""p"": 1, ""n_neighbors"": 3}",-0.17712297710801905,0.20789473684210524,-0.08084520834544433,0.21929824561403508,0.0,0.05263157894736842,0.44908871313907184,0.2857142857142857,0.5443310539518174,0.43859649122807015,0.14709031632748518,0.24082706766917292,5,0.19077618288144604
