domain,rank,workbook_sample,SampleID,workbook_suffix,Site
BAC,G,2-30-YSDM,2-30,YSDM,YSD
BAC,G,2-31-YSYS,2-31,YSYS,YSY
BAC,G,2-32-JJNG,2-32,JJNG,JJN
BAC,G,2-32'-JJYS,2-32',JJYS,JJY
BAC,G,2-33-CWMS,2-33,CWMS,CWM
BAC,G,2-34-CWSS,2-34,CWSS,CWS
BAC,G,2-4-BSOC,2-4,BSOC,BSO
BAC,G,2-5-BSES,2-5,BSES,BSE
BAC,G,2-6-DGGW,2-6,DGGW,DGG
BAC,G,2-7-DGDS,2-7,DGDS,DGD
BAC,G,2-8-DGJY,2-8,DGJY,DGJ
BAC,G,2-9-DGGB,2-9,DGGB,DGB
BAC,G,3-1-BSSG,3-1,BSSG,BSS
BAC,G,3-10-DGDC,3-10,DGDC,DGC
BAC,G,3-11-DGYSa,3-11,DGYSa,DGY
BAC,G,3-12-USOS,3-12,USOS,USO
BAC,G,3-13-USYY,3-13,USYY,USY
BAC,G,3-14-USYJ,3-14,USYJ,USJ
BAC,G,3-15-GSGA,3-15,GSGA,GSG
BAC,G,3-16-GCGD,3-16,GCGD,GCG
BAC,G,3-17-MGYS,3-17,MGYS,MGY
BAC,G,3-18-ADAS,3-18,ADAS,ADA
BAC,G,3-19-ADPC,3-19,ADPC,ADP
BAC,G,3-2-BSNS,3-2,BSNS,BSN
BAC,G,3-20-YCGH,3-20,YCGH,YCG
BAC,G,3-21-YCDG,3-21,YCDG,YCD
BAC,G,3-22-UJGN,3-22,UJGN,UJG
BAC,G,3-23-CGSJ,3-23,CGSJ,CGS
BAC,G,3-24-GHGHa,3-24,GHGHa,GHGa
BAC,G,3-25-GHGHb,3-25,GHGHb,GHGb
BAC,G,3-26-GHHM,3-26,GHHM,GHH
BAC,G,3-27-GHJY,3-27,GHJY,GHJ
BAC,G,3-28-MYSN,3-28,MYSN,MYS
BAC,G,3-29-SCHG,3-29,SCHG,SCH
BAC,G,3-3-BSIGa,3-3,BSIGa,BSI
BAC,G,3-30-YSDM,3-30,YSDM,YSD
BAC,G,3-31-YSYS,3-31,YSYS,YSY
BAC,G,3-32-JJNG,3-32,JJNG,JJN
BAC,G,3-32'-JJYS,3-32',JJYS,JJY
BAC,G,3-33-CWMS,3-33,CWMS,CWM
BAC,G,3-34-CWSS,3-34,CWSS,CWS
BAC,G,3-4-BSOC,3-4,BSOC,BSO
BAC,G,3-5-BSES,3-5,BSES,BSE
BAC,G,3-6-DGGW,3-6,DGGW,DGG
BAC,G,3-7-DGDS,3-7,DGDS,DGD
BAC,G,3-8-DGJY,3-8,DGJY,DGJ
BAC,G,3-9-DGGB,3-9,DGGB,DGB
BAC,G,4-1-BSSG,4-1,BSSG,BSS
BAC,G,4-10-DGDC,4-10,DGDC,DGC
BAC,G,4-11-DGYSa,4-11,DGYSa,DGY
BAC,G,4-12-USOS,4-12,USOS,USO
BAC,G,4-13-USYY,4-13,USYY,USY
BAC,G,4-14-USYJ,4-14,USYJ,USJ
BAC,G,4-15-GSGA,4-15,GSGA,GSG
BAC,G,4-16-GCGD,4-16,GCGD,GCG
BAC,G,4-17-MGYS,4-17,MGYS,MGY
BAC,G,4-18-ADAS,4-18,ADAS,ADA
BAC,G,4-2-BSNS,4-2,BSNS,BSN
BAC,G,4-21-YCDG,4-21,YCDG,YCD
BAC,G,4-22-UJGN,4-22,UJGN,UJG
BAC,G,4-23-CGSJ,4-23,CGSJ,CGS
BAC,G,4-24-GHGHa,4-24,GHGHa,GHGa
BAC,G,4-25-GHGHb,4-25,GHGHb,GHGb
BAC,G,4-26-GHHM,4-26,GHHM,GHH
BAC,G,4-27-GHJY,4-27,GHJY,GHJ
BAC,G,4-28-MYSN,4-28,MYSN,MYS
BAC,G,4-29-SCHG,4-29,SCHG,SCH
BAC,G,4-3-BSIGa,4-3,BSIGa,BSI
BAC,G,4-30-YSDM,4-30,YSDM,YSD
BAC,G,4-31-YSYS,4-31,YSYS,YSY
BAC,G,4-32-JJNG,4-32,JJNG,JJN
BAC,G,4-32'-JJYS,4-32',JJYS,JJY
BAC,G,4-33-CWMS,4-33,CWMS,CWM
BAC,G,4-34-CWSS,4-34,CWSS,CWS
BAC,G,4-4-BSOC,4-4,BSOC,BSO
BAC,G,4-5-BSES,4-5,BSES,BSE
BAC,G,4-6-DGGW,4-6,DGGW,DGG
BAC,G,4-7-DGDS,4-7,DGDS,DGD
