fold,block,feature,training_samples_above_0_1_percent
2,BAC_C,BAC_C::Negativicutes,28
2,BAC_C,BAC_C::Nitrospiria,5
2,BAC_C,BAC_C::OLB14,8
2,BAC_C,BAC_C::OM190,0
2,BAC_C,BAC_C::Oligoflexia,10
2,BAC_C,BAC_C::Omnitrophia,3
2,BAC_C,BAC_C::Parcubacteria,6
2,BAC_C,BAC_C::Phycisphaerae,12
2,BAC_C,BAC_C::Pla3_lineage,5
2,BAC_C,BAC_C::Planctomycetes,55
2,BAC_C,BAC_C::Polyangia,7
2,BAC_C,BAC_C::RBG-16-55-12,5
2,BAC_C,BAC_C::Rubrobacteria,0
2,BAC_C,BAC_C::SJA-28,48
2,BAC_C,BAC_C::Saccharimonadia,30
2,BAC_C,BAC_C::Spirochaetia,87
2,BAC_C,BAC_C::Sumerlaeia,12
2,BAC_C,BAC_C::Sva0485,2
2,BAC_C,BAC_C::Symbiobacteriia,1
2,BAC_C,BAC_C::Synergistia,90
2,BAC_C,BAC_C::Syntrophia,62
2,BAC_C,BAC_C::Syntrophobacteria,25
2,BAC_C,BAC_C::Syntrophomonadia,87
2,BAC_C,BAC_C::Syntrophorhabdia,54
2,BAC_C,BAC_C::TA06,2
2,BAC_C,BAC_C::Thermacetogenia,21
2,BAC_C,BAC_C::Thermoanaerobacteria,12
2,BAC_C,BAC_C::Thermoanaerobaculia,22
2,BAC_C,BAC_C::Thermoleophilia,39
2,BAC_C,BAC_C::Thermotogae,69
2,BAC_C,BAC_C::Thermovenabulia,19
2,BAC_C,BAC_C::Vampirivibrionia,2
2,BAC_C,BAC_C::Verrucomicrobiae,62
2,BAC_C,BAC_C::Vicinamibacteria,1
2,BAC_C,BAC_C::WCHB1-81,20
2,BAC_C,BAC_C::WPS-2,3
2,BAC_C,BAC_C::WS1,29
2,BAC_C,BAC_C::WWE3,1
2,BAC_C,BAC_C::Zixibacteria,3
2,BAC_C,BAC_C::c5LKS83,1
2,BAC_C,BAC_C::unidentified,78
2,ARC_C,ARC_C::Actinopterygii,0
2,ARC_C,ARC_C::Aenigmarchaeia,2
2,ARC_C,ARC_C::Bathyarchaeia,46
2,ARC_C,ARC_C::Bivalvia,0
2,ARC_C,ARC_C::Ichthyosporea,1
2,ARC_C,ARC_C::LKM11,0
2,ARC_C,ARC_C::Lokiarchaeia,1
2,ARC_C,ARC_C::Methanomethylicia,8
2,ARC_C,ARC_C::Methanomicrobia,90
2,ARC_C,ARC_C::Methanosarcinia,87
2,ARC_C,ARC_C::Micrarchaeia,13
2,ARC_C,ARC_C::Nanoarchaeia,33
2,ARC_C,ARC_C::Nitrososphaeria,6
2,ARC_C,ARC_C::Odinarchaeia,0
2,ARC_C,ARC_C::Thermococci,82
2,ARC_C,ARC_C::Thermoplasmata,85
2,ARC_C,ARC_C::unidentified,76
3,BAC_C,BAC_C::ABY1,1
3,BAC_C,BAC_C::Acetothermiia,4
3,BAC_C,BAC_C::Acidimicrobiia,35
3,BAC_C,BAC_C::Acidobacteriae,10
3,BAC_C,BAC_C::Actinobacteria,67
3,BAC_C,BAC_C::Alphaproteobacteria,54
3,BAC_C,BAC_C::Aminicenantia,36
3,BAC_C,BAC_C::Anaerolineae,57
3,BAC_C,BAC_C::BRH-c20a,2
3,BAC_C,BAC_C::Babeliae,15
3,BAC_C,BAC_C::Bacilli,79
3,BAC_C,BAC_C::Bacteroidia,86
3,BAC_C,BAC_C::Bdellovibrionia,1
3,BAC_C,BAC_C::Berkelbacteria,0
3,BAC_C,BAC_C::Blastocatellia,23
3,BAC_C,BAC_C::Brachyspirae,21
3,BAC_C,BAC_C::CK-2C2-2,7
3,BAC_C,BAC_C::Caldatribacteriia,55
3,BAC_C,BAC_C::Caldisericia,49
3,BAC_C,BAC_C::Calditrichia,0
3,BAC_C,BAC_C::Campylobacteria,14
3,BAC_C,BAC_C::Chlamydiae,13
3,BAC_C,BAC_C::Chthonomonadetes,14
3,BAC_C,BAC_C::Cloacimonadia,81
3,BAC_C,BAC_C::Clostridia,86
3,BAC_C,BAC_C::Coprothermobacteria,8
3,BAC_C,BAC_C::Coriobacteriia,19
3,BAC_C,BAC_C::D8A-2,68
3,BAC_C,BAC_C::Dadabacteriia,0
3,BAC_C,BAC_C::Deinococci,3
3,BAC_C,BAC_C::Desulfitobacteriia,3
3,BAC_C,BAC_C::Desulfobacteria,0
3,BAC_C,BAC_C::Desulfobulbia,17
3,BAC_C,BAC_C::Desulfotomaculia,50
3,BAC_C,BAC_C::Desulfovibrionia,26
3,BAC_C,BAC_C::Desulfuromonadia,13
3,BAC_C,BAC_C::Dethiobacteria,25
3,BAC_C,BAC_C::Elusimicrobia,0
3,BAC_C,BAC_C::Endomicrobia,5
3,BAC_C,BAC_C::Fermentibacteria,7
3,BAC_C,BAC_C::Fibrobacteria,9
3,BAC_C,BAC_C::Fimbriimonadia,13
3,BAC_C,BAC_C::Fusobacteriia,12
3,BAC_C,BAC_C::Gammaproteobacteria,70
3,BAC_C,BAC_C::Gemmatimonadetes,10
3,BAC_C,BAC_C::Gracilibacteria,13
3,BAC_C,BAC_C::Halanaerobiia,2
3,BAC_C,BAC_C::Holophagae,22
3,BAC_C,BAC_C::Hydrogenedentia,37
3,BAC_C,BAC_C::Hydrothermae,1
3,BAC_C,BAC_C::Ignavibacteria,20
3,BAC_C,BAC_C::Incertae_Sedis,80
3,BAC_C,BAC_C::JS1,26
3,BAC_C,BAC_C::KD4-96,0
3,BAC_C,BAC_C::Kapabacteria,27
3,BAC_C,BAC_C::Kiritimatiellae,62
3,BAC_C,BAC_C::LCP-89,0
3,BAC_C,BAC_C::Latescibacteria,0
3,BAC_C,BAC_C::Latescibacterota,0
3,BAC_C,BAC_C::Lentisphaeria,10
3,BAC_C,BAC_C::Leptospirae,39
3,BAC_C,BAC_C::Limnochordia,40
3,BAC_C,BAC_C::MBNT15,0
3,BAC_C,BAC_C::MD2902-B12,0
3,BAC_C,BAC_C::MVP-15,35
3,BAC_C,BAC_C::Marinimicrobia_(SAR406_clade),14
3,BAC_C,BAC_C::Microgenomatia,1
3,BAC_C,BAC_C::Moorellia,4
3,BAC_C,BAC_C::Myxococcia,1
3,BAC_C,BAC_C::NB1-j,0
3,BAC_C,BAC_C::NKB15,5
3,BAC_C,BAC_C::Negativicutes,33
3,BAC_C,BAC_C::Nitrospiria,6
3,BAC_C,BAC_C::OLB14,9
3,BAC_C,BAC_C::OM190,0
3,BAC_C,BAC_C::Oligoflexia,6
3,BAC_C,BAC_C::Omnitrophia,4
3,BAC_C,BAC_C::Parcubacteria,6
3,BAC_C,BAC_C::Phycisphaerae,11
3,BAC_C,BAC_C::Pla3_lineage,3
3,BAC_C,BAC_C::Planctomycetes,48
3,BAC_C,BAC_C::Polyangia,7
3,BAC_C,BAC_C::RBG-16-55-12,1
3,BAC_C,BAC_C::Rubrobacteria,0
3,BAC_C,BAC_C::SJA-28,43
3,BAC_C,BAC_C::Saccharimonadia,24
3,BAC_C,BAC_C::Spirochaetia,78
3,BAC_C,BAC_C::Sumerlaeia,15
3,BAC_C,BAC_C::Sva0485,2
3,BAC_C,BAC_C::Symbiobacteriia,4
3,BAC_C,BAC_C::Synergistia,84
3,BAC_C,BAC_C::Syntrophia,50
3,BAC_C,BAC_C::Syntrophobacteria,23
3,BAC_C,BAC_C::Syntrophomonadia,80
3,BAC_C,BAC_C::Syntrophorhabdia,46
3,BAC_C,BAC_C::TA06,4
3,BAC_C,BAC_C::Thermacetogenia,27
3,BAC_C,BAC_C::Thermoanaerobacteria,11
3,BAC_C,BAC_C::Thermoanaerobaculia,25
3,BAC_C,BAC_C::Thermoleophilia,31
3,BAC_C,BAC_C::Thermotogae,70
3,BAC_C,BAC_C::Thermovenabulia,21
3,BAC_C,BAC_C::Vampirivibrionia,2
3,BAC_C,BAC_C::Verrucomicrobiae,49
3,BAC_C,BAC_C::Vicinamibacteria,2
3,BAC_C,BAC_C::WCHB1-81,23
3,BAC_C,BAC_C::WPS-2,2
3,BAC_C,BAC_C::WS1,28
3,BAC_C,BAC_C::WWE3,2
3,BAC_C,BAC_C::Zixibacteria,3
3,BAC_C,BAC_C::c5LKS83,2
3,BAC_C,BAC_C::unidentified,69
3,ARC_C,ARC_C::Actinopterygii,1
3,ARC_C,ARC_C::Aenigmarchaeia,2
3,ARC_C,ARC_C::Bathyarchaeia,39
3,ARC_C,ARC_C::Bivalvia,2
3,ARC_C,ARC_C::Ichthyosporea,1
3,ARC_C,ARC_C::LKM11,0
3,ARC_C,ARC_C::Lokiarchaeia,1
3,ARC_C,ARC_C::Methanomethylicia,12
3,ARC_C,ARC_C::Methanomicrobia,86
3,ARC_C,ARC_C::Methanosarcinia,83
3,ARC_C,ARC_C::Micrarchaeia,9
3,ARC_C,ARC_C::Nanoarchaeia,33
3,ARC_C,ARC_C::Nitrososphaeria,10
3,ARC_C,ARC_C::Odinarchaeia,0
3,ARC_C,ARC_C::Thermococci,75
3,ARC_C,ARC_C::Thermoplasmata,83
3,ARC_C,ARC_C::unidentified,74
4,BAC_C,BAC_C::ABY1,1
4,BAC_C,BAC_C::Acetothermiia,4
4,BAC_C,BAC_C::Acidimicrobiia,35
4,BAC_C,BAC_C::Acidobacteriae,11
4,BAC_C,BAC_C::Actinobacteria,71
4,BAC_C,BAC_C::Alphaproteobacteria,60
4,BAC_C,BAC_C::Aminicenantia,34
4,BAC_C,BAC_C::Anaerolineae,62
4,BAC_C,BAC_C::BRH-c20a,4
4,BAC_C,BAC_C::Babeliae,19
4,BAC_C,BAC_C::Bacilli,83
4,BAC_C,BAC_C::Bacteroidia,89
4,BAC_C,BAC_C::Bdellovibrionia,2
4,BAC_C,BAC_C::Berkelbacteria,0
4,BAC_C,BAC_C::Blastocatellia,21
4,BAC_C,BAC_C::Brachyspirae,22
4,BAC_C,BAC_C::CK-2C2-2,7
4,BAC_C,BAC_C::Caldatribacteriia,56
4,BAC_C,BAC_C::Caldisericia,51
4,BAC_C,BAC_C::Calditrichia,0
4,BAC_C,BAC_C::Campylobacteria,10
4,BAC_C,BAC_C::Chlamydiae,13
4,BAC_C,BAC_C::Chthonomonadetes,14
4,BAC_C,BAC_C::Cloacimonadia,84
4,BAC_C,BAC_C::Clostridia,89
4,BAC_C,BAC_C::Coprothermobacteria,8
4,BAC_C,BAC_C::Coriobacteriia,23
4,BAC_C,BAC_C::D8A-2,73
4,BAC_C,BAC_C::Dadabacteriia,0
4,BAC_C,BAC_C::Deinococci,3
4,BAC_C,BAC_C::Desulfitobacteriia,2
4,BAC_C,BAC_C::Desulfobacteria,0
4,BAC_C,BAC_C::Desulfobulbia,18
4,BAC_C,BAC_C::Desulfotomaculia,56
4,BAC_C,BAC_C::Desulfovibrionia,31
4,BAC_C,BAC_C::Desulfuromonadia,20
4,BAC_C,BAC_C::Dethiobacteria,35
4,BAC_C,BAC_C::Elusimicrobia,0
4,BAC_C,BAC_C::Endomicrobia,7
4,BAC_C,BAC_C::Fermentibacteria,10
4,BAC_C,BAC_C::Fibrobacteria,10
4,BAC_C,BAC_C::Fimbriimonadia,13
4,BAC_C,BAC_C::Fusobacteriia,9
4,BAC_C,BAC_C::Gammaproteobacteria,77
4,BAC_C,BAC_C::Gemmatimonadetes,8
4,BAC_C,BAC_C::Gracilibacteria,13
4,BAC_C,BAC_C::Halanaerobiia,2
4,BAC_C,BAC_C::Holophagae,21
4,BAC_C,BAC_C::Hydrogenedentia,41
4,BAC_C,BAC_C::Hydrothermae,1
4,BAC_C,BAC_C::Ignavibacteria,18
4,BAC_C,BAC_C::Incertae_Sedis,83
4,BAC_C,BAC_C::JS1,37
4,BAC_C,BAC_C::KD4-96,0
4,BAC_C,BAC_C::Kapabacteria,27
