block,workbook_sample,SampleID
BAC_C,4-18-ADAS,4-18
BAC_C,4-2-BSNS,4-2
BAC_C,4-21-YCDG,4-21
BAC_C,4-22-UJGN,4-22
BAC_C,4-23-CGSJ,4-23
BAC_C,4-24-GHGHa,4-24
BAC_C,4-25-GHGHb,4-25
BAC_C,4-26-GHHM,4-26
BAC_C,4-27-GHJY,4-27
BAC_C,4-28-MYSN,4-28
BAC_C,4-29-SCHG,4-29
BAC_C,4-3-BSIGa,4-3
BAC_C,4-30-YSDM,4-30
BAC_C,4-31-YSYS,4-31
BAC_C,4-32-JJNG,4-32
BAC_C,4-32'-JJYS,4-32'
BAC_C,4-33-CWMS,4-33
BAC_C,4-34-CWSS,4-34
BAC_C,4-4-BSOC,4-4
BAC_C,4-5-BSES,4-5
BAC_C,4-6-DGGW,4-6
BAC_C,4-7-DGDS,4-7
BAC_C,4-8-DGJY,4-8
BAC_C,4-9-DGGB,4-9
ARC_C,1-1-BSSG,1-1
ARC_C,1-10-DGDC,1-10
ARC_C,1-11-DGYSa,1-11
ARC_C,1-11b-DGYSb,1-11b
ARC_C,1-12-USOS,1-12
ARC_C,1-13-USYY,1-13
ARC_C,1-14-USYJ,1-14
ARC_C,1-15-GSGA,1-15
ARC_C,1-16-GCGD,1-16
ARC_C,1-17-MGYS,1-17
ARC_C,1-18-ADAS,1-18
ARC_C,1-19-ADPC,1-19
ARC_C,1-2-BSNS,1-2
ARC_C,1-20-YCGH,1-20
ARC_C,1-21-YCDG,1-21
ARC_C,1-22-UJGN,1-22
ARC_C,1-23-CGSJ,1-23
ARC_C,1-24-GHGHa,1-24
ARC_C,1-25-GHGHb,1-25
ARC_C,1-26-GHHM,1-26
ARC_C,1-27-GHJY,1-27
ARC_C,1-28-MYSN,1-28
ARC_C,1-29-SCHG,1-29
ARC_C,1-3-BSIGa,1-3
ARC_C,1-30-YSDM,1-30
ARC_C,1-31-YSYS,1-31
ARC_C,1-32-JJNG,1-32
ARC_C,1-33-CWMS,1-33
ARC_C,1-34-CWSS,1-34
ARC_C,1-3b-BSIGb,1-3b
ARC_C,1-4-BSOC,1-4
ARC_C,1-5-BSES,1-5
ARC_C,1-6-DGGW,1-6
ARC_C,1-7-DGDS,1-7
ARC_C,1-8-DGJY,1-8
ARC_C,1-9-DGGB,1-9
ARC_C,2-1-BSSG,2-1
ARC_C,2-10-DGDC,2-10
ARC_C,2-11-DGYSa,2-11
ARC_C,2-12-USOS,2-12
ARC_C,2-13-USYY,2-13
ARC_C,2-14-USYJ,2-14
ARC_C,2-15-GSGA,2-15
ARC_C,2-16-GCGD,2-16
ARC_C,2-17-MGYS,2-17
ARC_C,2-18-ADAS,2-18
ARC_C,2-19-ADPC,2-19
ARC_C,2-2-BSNS,2-2
ARC_C,2-20-YCGH,2-20
ARC_C,2-21-YCDG,2-21
ARC_C,2-22-UJGN,2-22
ARC_C,2-23-CGSJ,2-23
ARC_C,2-24-GHGHa,2-24
ARC_C,2-25-GHGHb,2-25
ARC_C,2-26-GHHM,2-26
ARC_C,2-27-GHJY,2-27
ARC_C,2-28-MYSN,2-28
ARC_C,2-29-SCHG-ARC,2-29
ARC_C,2-3-BSIGa,2-3
ARC_C,2-30-YSDM,2-30
ARC_C,2-31-YSYS,2-31
ARC_C,2-32-JJNG,2-32
ARC_C,2-32'-JJYS,2-32'
ARC_C,2-33-CWMS,2-33
ARC_C,2-34-CWSS,2-34
ARC_C,2-4-BSOC,2-4
ARC_C,2-5-BSES,2-5
ARC_C,2-6-DGGW,2-6
ARC_C,2-7-DGDS,2-7
ARC_C,2-8-DGJY,2-8
ARC_C,2-9-DGGB,2-9
ARC_C,3-1-BSSG,3-1
ARC_C,3-10-DGDC,3-10
