bacterium,archaeon,rho_conditioned,rho_raw,q,patristic_distance
F00140,F00179,0.3516549502384762,0.6605394199397701,0.000757575346520225,1.35970372
F00004,F00233,0.34993801214185727,0.3506731904225905,0.0007999995659253576,1.39244794
F00109,F00181,0.3466091614172957,0.4123048752365926,0.0009103443336392,1.2125163300000001
F00270,F00112,0.33469105388491494,0.36701606661354524,0.001503104774487085,1.2123132
F00108,F00112,0.3285676124286227,0.20262381018701386,0.0018863626128353605,1.24840846
F00212,F00183,0.3283712604654456,0.5805465434063413,0.0018863626128353605,1.3169553400000003
F00028,F00196,0.3245309813716782,-0.03184326547013736,0.0022185780311864424,1.2365011
F00151,F00233,0.32013817698617986,0.447652794933206,0.0027589728619733488,1.1327184099999998
F00001,F00184,0.31999205459497854,0.30016507263881037,0.0027715721002236375,1.1467319900000001
F00104,F00179,0.31879111119229037,0.694540273842494,0.0028415826165913076,1.03453592
F00271,F00179,0.31848973376043666,0.6857637977209472,0.0028415826165913076,1.0747294099999998
F00236,F00195,0.31788697889673034,0.3546367602839338,0.00285990182987809,1.03803043
F00242,F00098,0.3178687135978299,0.05741925025514347,0.00285990182987809,0.99609533
F00280,F00179,0.31205121589811613,0.5903641415651991,0.003531529615346173,1.0900353899999997
F00176,F00233,0.3101424921630453,0.21228158698049487,0.003696967691018698,1.23942656
F00171,F00183,0.3025395614958364,0.6401553463671464,0.004677040263824319,1.1680931700000001
F00056,F00195,0.3010052763882197,0.3924048320848241,0.004803027696938226,1.0215242
F00276,F00183,0.2980189000180369,0.648087052414558,0.005308820648879671,1.28606584
F00285,F00184,0.29800976736858664,0.07043327572153633,0.005308820648879671,1.1128557
F00166,F00183,0.2975257369477316,0.16436257531581827,0.005394157657106198,1.21250232
F00103,F00184,0.297110201397752,0.14435294037064872,0.005436820154709334,1.0702319
F00298,F00233,0.291288137373313,-0.01432227750011993,0.00652881001683152,1.03971763
F00115,F00195,0.285730920182927,0.3920029955090194,0.008166129754413795,1.0932774099999998
F00057,F00180,0.2843838543890372,0.4971471886280247,0.008493745391348133,1.1487695599999999
F00326,F00233,0.2833701303000761,0.37834968458111967,0.008703698981132364,1.25083297
F00050,F00180,0.2731826598384889,0.1980163885394381,0.012266297692211494,1.35123842
F00265,F00195,0.2726575324951082,0.2816531922034571,0.012483864194077153,1.11555106
F00285,F00180,0.2665386573635409,0.6058439823831187,0.015088153022332783,1.11689354
F00232,F00112,0.2665021267657408,0.27283105283466014,0.015088153022332783,1.20233063
F00020,F00180,0.2581137882458234,0.2930690040160826,0.01915314276078052,1.07868016
F00235,F00186,0.24873912358529537,0.2780640609695677,0.02446519547285649,1.12974496
F00000,F00180,0.24578014516346286,0.422716095609707,0.026620409448036463,1.17513471
F00210,F00186,0.24014986677747607,0.42404489610469653,0.031632335777673604,1.20170385
F00123,F00098,0.23782560749242546,0.10846162803175419,0.03388148969511524,0.95703238
F00322,F00098,0.23487576172004337,0.10473094073138821,0.03670464329673079,1.23016025
F00115,F00098,0.2338574713063569,0.13908796796266573,0.037253812835723425,1.10174591
F00151,F00186,0.22625910696387347,0.28372630362862983,0.04507230258808235,1.11683166
F00282,F00186,0.2237019651178456,0.29940706273445206,0.04784448623501005,1.23167375
F00133,F00098,0.22218137898440374,0.10188155410295681,0.04937404176435748,1.12943608
F00160,F00186,0.22192566479980086,0.07915495594638218,0.049753316243396496,1.1019150299999998
