Feature ID,Domain
F00240,Bacteria
F00241,Bacteria
F00242,Bacteria
F00243,Bacteria
F00244,Bacteria
F00245,Bacteria
F00246,Bacteria
F00247,Bacteria
F00248,Bacteria
F00249,Bacteria
F00250,Bacteria
F00251,Bacteria
F00252,Bacteria
F00253,Bacteria
F00254,Bacteria
F00255,Bacteria
F00256,Bacteria
F00257,Bacteria
F00258,Bacteria
F00259,Bacteria
F00260,Bacteria
F00261,Bacteria
F00262,Bacteria
F00263,Bacteria
F00264,Bacteria
F00265,Bacteria
F00266,Bacteria
F00267,Bacteria
F00268,Bacteria
F00269,Bacteria
F00270,Bacteria
F00271,Bacteria
F00272,Bacteria
F00273,Bacteria
F00274,Bacteria
F00275,Bacteria
F00276,Bacteria
F00277,Bacteria
F00278,Bacteria
F00279,Bacteria
F00280,Bacteria
F00281,Bacteria
F00282,Bacteria
F00283,Bacteria
F00284,Bacteria
F00285,Bacteria
F00286,Bacteria
F00287,Bacteria
F00288,Archaea
F00289,Bacteria
F00290,Bacteria
F00291,Bacteria
F00292,Bacteria
F00293,Bacteria
F00294,Bacteria
F00295,Bacteria
F00296,Bacteria
F00297,Other
F00298,Bacteria
F00299,Bacteria
F00300,Other
F00301,Bacteria
F00302,Archaea
F00303,Bacteria
F00304,Archaea
F00305,Bacteria
F00306,Bacteria
F00307,Bacteria
F00308,Bacteria
F00309,Archaea
F00310,Bacteria
F00311,Bacteria
F00312,Archaea
F00313,Bacteria
F00314,Bacteria
F00315,Bacteria
F00316,Bacteria
F00317,Archaea
F00318,Bacteria
F00319,Bacteria
F00320,Bacteria
F00321,Other
F00322,Bacteria
F00323,Bacteria
F00324,Bacteria
F00325,Archaea
F00326,Bacteria
F00327,Bacteria
F00328,Bacteria
F00329,Bacteria
F00330,Bacteria
