mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__regressor__kernel,param_model__regressor__gamma,param_model__regressor__epsilon,param_model__regressor__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.004839420318603516,0.00017628489811468925,0.0019832611083984374,1.2567712496050966e-05,rbf,scale,0.01,1.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 'scale', 'model__regressor__epsilon': 0.01, 'model__regressor__C': 1}",-0.4560136358252488,-0.04777807102101332,-0.16063937857282523,-0.05618853778505505,-0.2932945826078563,-0.20278284116239975,0.15466780576020275,5
0.004701566696166992,4.915504241084599e-05,0.001962614059448242,1.927236347165384e-05,rbf,0.01,0.2,100.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 0.01, 'model__regressor__epsilon': 0.2, 'model__regressor__C': 100}",-0.4292039733515237,-0.13729725778088797,-0.16345228888438976,-0.2072266283894679,-0.2890675081528027,-0.24524953131181443,0.10540348686494881,20
0.004878711700439453,4.907194187581795e-05,0.0020374298095703126,4.041756813122763e-05,rbf,scale,0.01,0.1,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 'scale', 'model__regressor__epsilon': 0.01, 'model__regressor__C': 0.1}",-0.4678607240376361,-0.03160187247092196,-0.17134205173823067,-0.023419388045189372,-0.30479277235682595,-0.19980336172976082,0.1691689209987218,2
0.004616212844848633,2.1156421603310425e-05,0.001946401596069336,1.550300196382991e-05,rbf,0.01,0.1,0.1,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 0.01, 'model__regressor__epsilon': 0.1, 'model__regressor__C': 0.1}",-0.46293349074593304,-0.035964639282708134,-0.1646743956928094,-0.030985638057587542,-0.30025979482391774,-0.1989635917205912,0.16486481051545757,1
0.004741096496582031,2.4079851581110557e-05,0.0019750118255615233,5.662930618020448e-06,rbf,0.1,0.01,100.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 0.1, 'model__regressor__epsilon': 0.01, 'model__regressor__C': 100}",-0.451896566761145,-0.09304393504903136,-0.15628808995541713,-0.09950980062871745,-0.2931916602986619,-0.21878601053859453,0.1369821930140658,13
0.004687023162841797,4.577969499253922e-05,0.0019545555114746094,7.236308275258617e-06,rbf,scale,0.2,1.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 'scale', 'model__regressor__epsilon': 0.2, 'model__regressor__C': 1}",-0.4486305055560487,-0.07608503831905256,-0.14971717126740589,-0.09402313325105542,-0.2885850974929919,-0.21140818917731088,0.14009146352939447,10
0.00479283332824707,5.8450511353861555e-05,0.0019752979278564453,7.911761678003312e-06,rbf,0.01,0.01,10.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 0.01, 'model__regressor__epsilon': 0.01, 'model__regressor__C': 10}",-0.43247339321803174,-0.10853714359586894,-0.16049127926527512,-0.15516684155466395,-0.28614023879109524,-0.228561779284987,0.11774680320548218,14
0.004647445678710937,5.385419214938763e-05,0.0019701480865478515,1.7550328292539966e-05,rbf,0.1,0.1,0.1,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 0.1, 'model__regressor__epsilon': 0.1, 'model__regressor__C': 0.1}",-0.4645082569771281,-0.037993214750837695,-0.16520490502128107,-0.0336574017950244,-0.30162909385920683,-0.2005985744806956,0.1645709915809013,4
0.004725313186645508,4.012821964540037e-05,0.001981639862060547,1.0015396680039002e-05,rbf,0.1,0.01,1.0,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 0.1, 'model__regressor__epsilon': 0.01, 'model__regressor__C': 1}",-0.46188976239837826,-0.050569304636226435,-0.16172132108627635,-0.05113034794994275,-0.298352355069098,-0.20473261822798436,0.15754644286561578,6
0.004678201675415039,3.446889556165875e-05,0.001987934112548828,1.2806429326600107e-05,rbf,0.01,0.01,0.1,"{'model__regressor__kernel': 'rbf', 'model__regressor__gamma': 0.01, 'model__regressor__epsilon': 0.01, 'model__regressor__C': 0.1}",-0.46771857923405497,-0.03169575566222494,-0.17193494276844842,-0.023070203872547865,-0.3046850977494062,-0.19982091585733647,0.16914500634631485,3
