block,taxon,feature,samples_above_0_1_percent,training_samples_above_0_1_percent,all_samples_percent_above_0_1,training_percent_above_0_1,domain,included_in_final_matrix
BAC_F,Erysipelotrichaceae,BAC_F::Erysipelotrichaceae,7,4,5.072463768115942,3.669724770642202,Bacteria,True
BAC_F,Ethanoligenenaceae,BAC_F::Ethanoligenenaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Eubacteriaceae,BAC_F::Eubacteriaceae,8,6,5.797101449275362,5.5045871559633035,Bacteria,True
BAC_F,F082,BAC_F::F082,7,4,5.072463768115942,3.669724770642202,Bacteria,True
BAC_F,FCPU426,BAC_F::FCPU426,0,0,0.0,0.0,Bacteria,False
BAC_F,FTLpost3,BAC_F::FTLpost3,9,5,6.521739130434782,4.587155963302752,Bacteria,True
BAC_F,FW22,BAC_F::FW22,0,0,0.0,0.0,Bacteria,False
BAC_F,Fermentibacteraceae,BAC_F::Fermentibacteraceae,16,11,11.594202898550725,10.091743119266056,Bacteria,True
BAC_F,Fervidobacteriaceae,BAC_F::Fervidobacteriaceae,11,10,7.971014492753623,9.174311926605505,Bacteria,True
BAC_F,Fibrobacteraceae,BAC_F::Fibrobacteraceae,9,7,6.521739130434782,6.422018348623854,Bacteria,True
BAC_F,Fibrobacterales,BAC_F::Fibrobacterales,4,3,2.898550724637681,2.7522935779816518,Bacteria,True
BAC_F,Fimbriimonadaceae,BAC_F::Fimbriimonadaceae,21,15,15.217391304347826,13.761467889908257,Bacteria,True
BAC_F,Fimbriimonadales,BAC_F::Fimbriimonadales,0,0,0.0,0.0,Bacteria,False
BAC_F,Flavobacteriaceae,BAC_F::Flavobacteriaceae,11,6,7.971014492753623,5.5045871559633035,Bacteria,True
BAC_F,Fodinicurvataceae,BAC_F::Fodinicurvataceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Francisellaceae,BAC_F::Francisellaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Fusibacteraceae,BAC_F::Fusibacteraceae,6,5,4.3478260869565215,4.587155963302752,Bacteria,True
BAC_F,Fusobacteriaceae,BAC_F::Fusobacteriaceae,1,1,0.7246376811594203,0.9174311926605505,Bacteria,True
BAC_F,GIF3,BAC_F::GIF3,0,0,0.0,0.0,Bacteria,False
BAC_F,GIF9,BAC_F::GIF9,0,0,0.0,0.0,Bacteria,False
BAC_F,GOUTB8,BAC_F::GOUTB8,0,0,0.0,0.0,Bacteria,False
BAC_F,GWB1-42-6,BAC_F::GWB1-42-6,0,0,0.0,0.0,Bacteria,False
BAC_F,GWC2-45-44,BAC_F::GWC2-45-44,0,0,0.0,0.0,Bacteria,False
BAC_F,GWF2-44-16,BAC_F::GWF2-44-16,0,0,0.0,0.0,Bacteria,False
BAC_F,GZKB124,BAC_F::GZKB124,3,2,2.1739130434782608,1.834862385321101,Bacteria,True
BAC_F,GZKB75,BAC_F::GZKB75,13,11,9.420289855072463,10.091743119266056,Bacteria,True
BAC_F,Ga0077536,BAC_F::Ga0077536,0,0,0.0,0.0,Bacteria,False
BAC_F,Gaiellaceae,BAC_F::Gaiellaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Gallionellaceae,BAC_F::Gallionellaceae,1,1,0.7246376811594203,0.9174311926605505,Bacteria,True
BAC_F,Gammaproteobacteria,BAC_F::Gammaproteobacteria,0,0,0.0,0.0,Bacteria,False
BAC_F,Garciellaceae,BAC_F::Garciellaceae,9,9,6.521739130434782,8.256880733944955,Bacteria,True
BAC_F,Geminicoccaceae,BAC_F::Geminicoccaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Gemmataceae,BAC_F::Gemmataceae,32,25,23.18840579710145,22.93577981651376,Bacteria,True
BAC_F,Gemmatimonadaceae,BAC_F::Gemmatimonadaceae,16,11,11.594202898550725,10.091743119266056,Bacteria,True
BAC_F,Geobacteraceae,BAC_F::Geobacteraceae,12,11,8.695652173913043,10.091743119266056,Bacteria,True
BAC_F,Geopsychrobacteraceae,BAC_F::Geopsychrobacteraceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Gimesiaceae,BAC_F::Gimesiaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Gitt-GS-136,BAC_F::Gitt-GS-136,0,0,0.0,0.0,Bacteria,False
BAC_F,Gracilibacteraceae,BAC_F::Gracilibacteraceae,82,66,59.42028985507246,60.550458715596335,Bacteria,True
BAC_F,Gracilibacteria,BAC_F::Gracilibacteria,0,0,0.0,0.0,Bacteria,False
BAC_F,HOC36,BAC_F::HOC36,1,1,0.7246376811594203,0.9174311926605505,Bacteria,True
BAC_F,Hafniaceae,BAC_F::Hafniaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Hahellaceae,BAC_F::Hahellaceae,1,1,0.7246376811594203,0.9174311926605505,Bacteria,True
BAC_F,Halanaerobiaceae,BAC_F::Halanaerobiaceae,2,2,1.4492753623188406,1.834862385321101,Bacteria,True
BAC_F,Haliangiaceae,BAC_F::Haliangiaceae,6,3,4.3478260869565215,2.7522935779816518,Bacteria,True
BAC_F,Halieaceae,BAC_F::Halieaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Halobacteroidaceae,BAC_F::Halobacteroidaceae,0,0,0.0,0.0,Bacteria,False
BAC_F,Halomonadaceae,BAC_F::Halomonadaceae,3,3,2.1739130434782608,2.7522935779816518,Bacteria,True
BAC_F,Halothiobacillaceae,BAC_F::Halothiobacillaceae,0,0,0.0,0.0,Bacteria,False
