fold,block,feature,training_samples_above_0_1_percent
2,BAC_F,BAC_F::Anaerofustaceae,5
2,BAC_F,BAC_F::Anaerolineaceae,59
2,BAC_F,BAC_F::Anaeromyxobacteraceae,1
2,BAC_F,BAC_F::Anaerovoracaceae,85
2,BAC_F,BAC_F::Aquaspirillaceae,4
2,BAC_F,BAC_F::Arcobacteraceae,12
2,BAC_F,BAC_F::Ardenticatenaceae,0
2,BAC_F,BAC_F::Arenicellaceae,1
2,BAC_F,BAC_F::Atopobiaceae,11
2,BAC_F,BAC_F::B1-7BS,7
2,BAC_F,BAC_F::B55-F-B-G02,5
2,BAC_F,BAC_F::BRH-c20a,6
2,BAC_F,BAC_F::Babeliales,20
2,BAC_F,BAC_F::Bacillaceae,9
2,BAC_F,BAC_F::Bacteriovoracaceae,1
2,BAC_F,BAC_F::Bacteroidaceae,32
2,BAC_F,BAC_F::Bacteroidales_UCG-001,39
2,BAC_F,BAC_F::Bacteroidetes_BD2-2,3
2,BAC_F,BAC_F::Bacteroidetes_VC2.1_Bac22,11
2,BAC_F,BAC_F::Bacteroidetes_vadinHA17,73
2,BAC_F,BAC_F::Bdellovibrionaceae,2
2,BAC_F,BAC_F::Beijerinckiaceae,22
2,BAC_F,BAC_F::Berkelbacteria,0
2,BAC_F,BAC_F::Bifidobacteriaceae,3
2,BAC_F,BAC_F::Blastocatellaceae,7
2,BAC_F,BAC_F::Bogoriellaceae,4
2,BAC_F,BAC_F::Brachyspirales_Incertae_Sedis,20
2,BAC_F,BAC_F::Bradymonadales,1
2,BAC_F,BAC_F::Bryobacteraceae,2
2,BAC_F,BAC_F::Burkholderiaceae,39
2,BAC_F,BAC_F::Butyricicoccaceae,1
2,BAC_F,BAC_F::C10-SB1A,2
2,BAC_F,BAC_F::CCM19a,2
2,BAC_F,BAC_F::CK-2C2-2,5
2,BAC_F,BAC_F::Caldatribacteriaceae,55
2,BAC_F,BAC_F::Caldicoprobacteraceae,47
2,BAC_F,BAC_F::Caldilineaceae,20
2,BAC_F,BAC_F::Caldisericaceae,13
2,BAC_F,BAC_F::Calditrichaceae,0
2,BAC_F,BAC_F::Caloramatoraceae,5
2,BAC_F,BAC_F::Candidatus_Falkowbacteria,1
2,BAC_F,BAC_F::Candidatus_Magasanikbacteria,0
2,BAC_F,BAC_F::Candidatus_Peregrinibacteria,4
2,BAC_F,BAC_F::Candidatus_Shapirobacteria,1
2,BAC_F,BAC_F::Carnobacteriaceae,15
2,BAC_F,BAC_F::Caulobacteraceae,1
2,BAC_F,BAC_F::Chitinimonadaceae,2
2,BAC_F,BAC_F::Chitinophagaceae,42
2,BAC_F,BAC_F::Christensenellaceae,88
2,BAC_F,BAC_F::Chromobacteriaceae,0
2,BAC_F,BAC_F::Chthoniobacteraceae,1
2,BAC_F,BAC_F::Chthonomonadales,10
2,BAC_F,BAC_F::Cloacimonadaceae,71
2,BAC_F,BAC_F::Cloacimonadales,0
2,BAC_F,BAC_F::Clostridia_UCG-014,14
2,BAC_F,BAC_F::Clostridiaceae,20
2,BAC_F,BAC_F::Comamonadaceae,67
2,BAC_F,BAC_F::Competibacteraceae,31
2,BAC_F,BAC_F::Coprothermobacteraceae,4
2,BAC_F,BAC_F::Coriobacteriales_Incertae_Sedis,0
2,BAC_F,BAC_F::Corynebacteriaceae,5
2,BAC_F,BAC_F::Crocinitomicaceae,1
2,BAC_F,BAC_F::D8A-2,73
2,BAC_F,BAC_F::DEV007,5
2,BAC_F,BAC_F::DS-100,16
2,BAC_F,BAC_F::DTU014,87
2,BAC_F,BAC_F::Dadabacteriales,0
2,BAC_F,BAC_F::Defluviicoccaceae,6
2,BAC_F,BAC_F::Defluviitaleaceae,6
2,BAC_F,BAC_F::Deinococcaceae,0
2,BAC_F,BAC_F::Dermatophilaceae,1
2,BAC_F,BAC_F::Desulfitibacteraceae,6
2,BAC_F,BAC_F::Desulfobacteraceae,0
2,BAC_F,BAC_F::Desulfobulbaceae,25
2,BAC_F,BAC_F::Desulfocapsaceae,0
2,BAC_F,BAC_F::Desulfomicrobiaceae,23
2,BAC_F,BAC_F::Desulforegulaceae,0
2,BAC_F,BAC_F::Desulfosarcinaceae,0
2,BAC_F,BAC_F::Desulfotomaculales,61
2,BAC_F,BAC_F::Desulfovibrionaceae,12
2,BAC_F,BAC_F::Desulfuromonadaceae,0
2,BAC_F,BAC_F::Dethiobacteraceae,34
2,BAC_F,BAC_F::Devosiaceae,12
2,BAC_F,BAC_F::Dietziaceae,1
2,BAC_F,BAC_F::Diplorickettsiaceae,1
2,BAC_F,BAC_F::Dongiaceae,1
2,BAC_F,BAC_F::Dysgonomonadaceae,87
2,BAC_F,BAC_F::Eggerthellaceae,0
2,BAC_F,BAC_F::Elsteraceae,1
2,BAC_F,BAC_F::Endomicrobiaceae,7
2,BAC_F,BAC_F::Enterobacteriaceae,9
2,BAC_F,BAC_F::Enterococcaceae,2
2,BAC_F,BAC_F::Erwiniaceae,0
2,BAC_F,BAC_F::Erysipelatoclostridiaceae,14
2,BAC_F,BAC_F::Erysipelotrichaceae,1
2,BAC_F,BAC_F::Eubacteriaceae,4
2,BAC_F,BAC_F::F082,4
2,BAC_F,BAC_F::FTLpost3,4
2,BAC_F,BAC_F::Fermentibacteraceae,11
2,BAC_F,BAC_F::Fervidobacteriaceae,9
2,BAC_F,BAC_F::Fibrobacteraceae,6
2,BAC_F,BAC_F::Fibrobacterales,3
2,BAC_F,BAC_F::Fimbriimonadaceae,12
2,BAC_F,BAC_F::Flavobacteriaceae,5
2,BAC_F,BAC_F::Fusibacteraceae,5
2,BAC_F,BAC_F::Fusobacteriaceae,0
2,BAC_F,BAC_F::GZKB124,1
2,BAC_F,BAC_F::GZKB75,11
2,BAC_F,BAC_F::Gallionellaceae,1
2,BAC_F,BAC_F::Garciellaceae,7
2,BAC_F,BAC_F::Gemmataceae,19
2,BAC_F,BAC_F::Gemmatimonadaceae,9
2,BAC_F,BAC_F::Geobacteraceae,11
