Model,FPR,TPR
NNET,0.21212121212121213,0.7692307692307693
NNET,0.21212121212121213,0.8461538461538461
NNET,0.36363636363636365,0.8461538461538461
NNET,0.36363636363636365,0.9230769230769231
NNET,0.6212121212121212,0.9230769230769231
NNET,0.6212121212121212,1.0
NNET,1.0,1.0
XGBoost,0.0,0.0
XGBoost,0.007575757575757576,0.0
XGBoost,0.007575757575757576,0.15384615384615385
XGBoost,0.045454545454545456,0.15384615384615385
XGBoost,0.045454545454545456,0.23076923076923078
XGBoost,0.05303030303030303,0.23076923076923078
XGBoost,0.05303030303030303,0.3076923076923077
XGBoost,0.06818181818181818,0.3076923076923077
XGBoost,0.06818181818181818,0.46153846153846156
XGBoost,0.07575757575757576,0.46153846153846156
XGBoost,0.07575757575757576,0.5384615384615384
XGBoost,0.11363636363636363,0.5384615384615384
XGBoost,0.11363636363636363,0.6923076923076923
XGBoost,0.12878787878787878,0.6923076923076923
XGBoost,0.13636363636363635,0.6923076923076923
XGBoost,0.13636363636363635,0.8461538461538461
XGBoost,0.15151515151515152,0.8461538461538461
XGBoost,0.15151515151515152,0.9230769230769231
XGBoost,0.1893939393939394,0.9230769230769231
XGBoost,0.2196969696969697,0.9230769230769231
XGBoost,0.30303030303030304,0.9230769230769231
XGBoost,0.3181818181818182,0.9230769230769231
XGBoost,0.4090909090909091,0.9230769230769231
XGBoost,0.4393939393939394,0.9230769230769231
XGBoost,0.5151515151515151,0.9230769230769231
XGBoost,0.5227272727272727,1.0
XGBoost,0.5454545454545454,1.0
XGBoost,0.5681818181818182,1.0
XGBoost,0.6363636363636364,1.0
XGBoost,0.6590909090909091,1.0
XGBoost,0.7196969696969697,1.0
XGBoost,0.7727272727272727,1.0
XGBoost,0.7878787878787878,1.0
XGBoost,0.8181818181818182,1.0
XGBoost,0.8257575757575758,1.0
XGBoost,0.8863636363636364,1.0
XGBoost,0.9393939393939394,1.0
XGBoost,1.0,1.0
GLMNET,0.0,0.0
GLMNET,0.007575757575757576,0.0
GLMNET,0.015151515151515152,0.0
GLMNET,0.015151515151515152,0.07692307692307693
GLMNET,0.022727272727272728,0.07692307692307693
GLMNET,0.022727272727272728,0.38461538461538464
GLMNET,0.06818181818181818,0.38461538461538464
GLMNET,0.06818181818181818,0.46153846153846156
GLMNET,0.09090909090909091,0.46153846153846156
GLMNET,0.09090909090909091,0.5384615384615384
GLMNET,0.10606060606060606,0.5384615384615384
GLMNET,0.10606060606060606,0.6923076923076923
GLMNET,0.11363636363636363,0.6923076923076923
GLMNET,0.11363636363636363,0.7692307692307693
GLMNET,0.12121212121212122,0.7692307692307693
GLMNET,0.12121212121212122,0.8461538461538461
GLMNET,0.16666666666666666,0.8461538461538461
