SampleID,bc22acbc6a8407cc340e8bb6c6842074,7f90457e0b5af1edd82418cb3c9089b4,1a8e3305231911ff8307602f1d620be0,4194fdb699f4d5c9620e1e7cfb8b009b,fc0651422f017372960928f220b834d7,7029dd7b1fe970d81fbff18315097ae2,d2eae9eee73c95835ab2e47bc463c38e,381cc4167053f528de8e10567d4a509e,8995879a30350364c8d6147a828733ee,de0cc0fb4800458938f4508ae73d22a4,a4b21ca3dc01eada0962e57c2fded727,9b62d6c84b96aa64eaeff3b764d77da1,a2ff073fb23039e822fba8a653a34527,b980bbc29499a5ae07b6c0afaccc728a,d43d3c9dc33aa66b585a098fc7709276,88fa6e2c26361b8b7ca8a72ae1ed781f,19d2984a92774f1291ebc1812f80368c,29605d99f5fbd1bb2e4a490a00b4d349,87078040a976e7ceb82734c0713fd4e2,52856184ae551af1f787a0e2cabeb489,02bc9f1c8263ce565cfa8174b56af2de,5cb290154506065751d3f3dcb3bd6e49,7fb850c5cd377da752f7b081daed5032,39003a99b6f7d9f46b1d35054fb105a4,ff2ddcb0273425f900af1f8d1b4d90a8,5b100fa0f8a80a2787b1ce75da347c96,783749c187ad3cb6e60ccecdd73fd8ef,9d23b3373cdd04079b0a346a91fddab8,58de505db56b2250b12c7cd7ec5bfa50,1050f5391c721945e2d13b52590863c8,d939e81b4199d074f14d7056eaa88d14,c83d66ff9b2828b3f564019f4b9c54a4,9a4d00f3f8a14dc8f2ff7fabf04f6ebb,98eadfe35eb7a1fc42331d68785b272e,925f2beecb4475f754479219e21c2da2,6d34ed1cd41fa02613b0316716db2dfd,25f31a7f3499828c16d4648976563910,02fa96f8e560df1558be520ea8974c36,52e86b2d78a48335b0ca8ebd5a0a8e33,12041ed58f0b14a5efb2687b72fc5883,f564537bd84fc6fc7664934190ec6824,ca8d0a8123dfcdaed30eb0c534b00db9,023699ea1718b4d160d27803ec78b3b8,e5f52b2c18e6f178fcc24bed0ff62f5b,a6cdde7256831dcfab80f676aa3f4af1,c4a2579e95fee657cb355e865aa027af,457c4253db2b49c51b3eee5a91a8c3e2,a875c453fc275b8f21ef13228c53d599,42a47c900cdc49f94a53eed8c41f0e26,3b768ad6b26d688837b3511e5d2316d2,eb0898e38a817c5648a19a5e3db2c1be,327914bbcbfe425fb2d5caaf9d8688a1,d7c555c6a185de9a0a44e98fb0be730d,ebb611e11f12869b1c6a129b7874f35c,5a72697a45f01e085759fa49e855d45e,55b24a137213d3162da4cfe59b919eb1,db32f914db89e6f6b0fe7d66afc46ba1,314b1f98dcfc0e5d25ba5e55d8b6ee76,aa2edf44a5b107222a97023841eea577,286ed5db3cf03aacbcee204d7d08e47a,abb98aa85e9528ef54e3078ff40ac726,ed701a469132c0a7dd6f90e9c705bdd0,c17275cccc27dc9a4ab351a310c063c8,7d08e012440864f4bdcbe45b245d6018,50a53e82bd7a1073e097d99b1c09ea4d,3aeb85bc05fe3a36283129a1ffeabb08,fe290f48286b86b1ae833009c9bf64a2,f96d60fc409a6ea2fa0d7f4982a9074a,7f9baea74fd8c885613b0289b667b7ef,cc5fece67be5e3c11717192e70c80cda,808302d4e71aa7321e30e37e3c206b34,6a00550a934a2665f470eeec33616366,4640abb4e57a2e5406a094ea8c767b29,Group
1-20,0.0,0.014249287535623219,0.0,0.0029498525073746312,0.0,0.0,0.0,0.0,0.0036998150092495377,0.0,0.004849757512124394,0.0,0.0,0.0,0.0,0.003649817509124544,0.002049897505124744,0.0,0.009549522523873807,0.0,0.0010499475026248687,0.000199990000499975,0.0,0.0,0.0,0.0,0.007549622518874056,0.0,0.002999850007499625,0.0,0.0010999450027498626,0.0,0.0,0.0,0.0,0.0,0.0,0.0071996400179991,0.0,0.0,0.0,0.0,0.0,0.0,0.3812309384530774,0.004499775011249437,0.0,0.0033498325083745812,0.0,0.0,0.005299735013249337,0.0,0.0,0.0020998950052497373,0.5143742812859357,0.0,0.0,0.009299535023248838,0.0,0.0,0.005249737513124344,0.0,0.00439978001099945,0.0,0.0,0.0,0.000599970001499925,0.00014999250037498125,0.0,0.008349582520873956,0.0,0.0,0.0,Normal
1-21,0.0,0.0,0.0058424518492845474,0.0016339060256473734,0.0,0.20651581918106648,0.00044561073426746544,4.9512303807496165e-05,0.0009407337723424271,0.00024756151903748084,0.0,0.0,0.03386641580432737,0.0,0.0,0.002228053671337327,0.001534881418032381,0.0,0.0013368322028023964,0.0008417091647274348,0.0,0.007426845571124424,0.0018319552408773581,0.0010397583799574195,0.0,0.00465415655790464,0.004010496608407189,0.0007921968609199386,0.0020300044561073426,0.04609595484477893,0.0,0.009704411546269248,0.0,0.00044561073426746544,0.0,0.007377333267316928,0.0,0.0,0.0,0.007674407090161905,0.0,0.0,0.009060751596771797,0.0005941476456899539,0.004406595038867159,0.002426102886567312,0.0,0.3405456255879586,0.0,0.009902460761499232,0.002673664405604793,0.06268257662029014,0.003267812051294747,0.0014358568104173887,0.0008912214685349309,0.0,0.0016339060256473734,4.9512303807496165e-05,0.0,0.0,0.18349259791058078,0.0,0.002673664405604793,0.0,0.0,0.0,0.01861662623161856,0.006436599494974501,0.0,0.0,0.0,0.0,0.0006436599494974502,Normal
1-22,0.0,0.0,0.0,0.0019155822709558095,0.0,0.0,0.0,0.0,0.0,0.0012550366602813925,0.0,0.01664574938899531,0.006803619789946496,0.0,0.0,0.0020476913930906927,0.001122927538146509,0.0,0.648127353193738,0.0,0.0,0.00013210912213488342,0.003170618931237202,0.0,0.0,0.0,0.004425655591518594,0.0,0.0023119096373604596,0.0,0.0,0.0,0.06532796089569985,0.0,0.00026421824426976683,0.0,0.0,0.004590791994187199,0.0,0.0,0.0,0.0009577911354779048,0.0,0.0,0.1732611136798996,0.002278882356826739,0.019155822709558096,0.004987119360591849,0.0007926547328093005,0.0,0.0030385098091023186,0.0006275183301406962,0.0,0.0011889820992139507,0.003203646211770923,0.0,0.0,0.00502014664112557,0.0,0.0,0.0016843913072197634,0.0,0.0030715370896360395,0.0,0.0,0.0,0.0007596274522755796,0.00013210912213488342,0.0,0.0029724552480348766,0.011295329942532533,0.0,0.007431138120087192,Normal
1-23,0.0008656937917388078,0.0,0.0,0.002226069750185506,0.005688844917140737,0.0,0.0,0.001113034875092753,0.0035246104377937176,0.005070492208755874,0.0,0.0,0.03747217412812268,0.02158050952263171,0.0,0.0019168933959930745,0.0,0.0,0.2446203314370517,0.0031535988127628,0.04513974771209498,0.0051941627504328465,0.003957457333663122,0.000680187979223349,0.0004328468958694039,0.008842443729903537,0.00414296314617858,0.0,0.001793222854316102,0.0,0.0,0.0,0.001360375958446698,0.0004328468958694039,0.0014840465001236705,0.0051941627504328465,0.0014840465001236705,0.0,0.0,0.03666831560722236,0.0,0.011315854563442989,0.0,0.0011748701459312393,0.00729656195894138,0.004081127875340094,0.008100420479841702,0.12917388078159783,0.012119713084343309,0.011563195646796934,0.0037719515211476627,0.030175612169181302,0.009089784813257482,0.023992085085332675,0.0010511996042542667,0.0,0.0,0.00012367054167697255,0.02405392035617116,0.0,0.1914419985159535,0.0,0.002473410833539451,0.0409967845659164,0.0,0.0,0.03697749196141479,0.0,0.0,0.0,0.00012367054167697255,0.0,0.006863715063071976,Normal
1-24,0.0,0.0,0.014984805616682384,0.004925075971916588,0.0,0.012469873205490936,0.0019909881588598974,0.000523944252331552,0.0,0.0,0.0,0.0,0.011945928953159385,0.0,0.0,0.004086765168186105,0.0,0.0,0.022005658597925182,0.0,0.0,0.0,0.0011526773551294143,0.0014670439065283454,0.0,0.0008383108037304831,0.006182542177512313,0.0036676097663208636,0.004191554018652416,0.09850151943833176,0.0,0.35858744629571415,0.0,0.0,0.0006287331027978623,0.007125641831709106,0.006077753327046002,0.0,0.0,0.02137692549512732,0.0,0.0,0.0,0.0,0.003981976317719795,0.004715498270983967,0.0,0.27276537776380594,0.018128471130671696,0.005134653672849209,0.005553809074714451,0.034685109504348735,0.0,0.001047888504663104,0.0,0.0,0.0,0.0,0.0,0.0,0.016661427224143353,0.001886199308393587,0.004610709420517657,0.00544902022424814,0.0,0.00031436655139893113,0.040029340878130565,0.0,0.0,0.0,0.0,0.0,0.0023053547102588287,Normal
1-25,0.0,0.0,0.0,0.0028382885120272474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03654296459235081,0.0,0.0,0.0024125452352231603,0.0,0.0,0.020577591712197543,0.0,0.00042574327680408716,0.0,0.0,0.0,0.0012062726176115801,0.0012772298304122615,0.0036897750656354217,0.0,0.002625416873625204,0.0,0.0,0.002554459660824523,0.0,0.0,0.010359753068899453,0.0,0.0,0.0,0.0,0.0,0.0,0.0017739303200170298,0.0,0.0,0.03668487901795218,0.0036188178528347406,0.0,0.011069325196906265,0.6021429078265805,0.03349180444192152,0.002128716384020436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21038813595401973,0.0,0.002199673596821117,0.008798694387284468,0.0,0.0,0.0031930745760306535,0.0,0.0,0.0,0.0,0.0,0.0,Normal
1-27,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.8090005232862376,0.0,0.03087388801674516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020931449502878074,0.0,0.0,0.0,0.0,0.0,0.012558869701726845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01936159079016222,0.01936159079016222,0.0,0.012558869701726845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014652014652014652,0.0,0.01936159079016222,0.0,0.020931449502878074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
1-28,0.0,0.0,0.0,0.003523434939364143,0.0,0.0,0.0,0.0,0.005326122582759751,0.0,0.011061946902654867,0.0015568666011143888,0.0,0.0,0.0,0.0024582104228121925,0.0022943297279580466,0.0,0.22402490986561782,0.0,0.0005735824319895117,0.0013929859062602426,0.0,0.0,0.0,0.0,0.00663716814159292,0.0,0.0032776138970829235,0.0,0.0,0.0,0.003523434939364143,0.0,0.0,0.0,0.0,0.00663716814159292,0.0,0.0,8.194034742707309e-05,0.008275975090134382,0.0,0.0,0.3188298918387414,0.00475254015077024,0.0,0.05391674860701409,0.0019665683382497543,0.0,0.0033595542445099967,0.0,0.0,0.005981645362176336,0.20501474926253688,0.0,0.0,0.010242543428384137,0.0,0.0,0.03720091773189119,0.0,0.0050803015404785315,0.0,0.0,0.0,0.0032776138970829235,0.0013110455588331695,0.0,0.06702720419534579,0.0013929859062602426,0.0,0.0,Normal
1-30,0.0020498804236419544,0.0,0.0,0.0013665869490946361,0.0,0.0011957635804578067,0.0,0.00017082336863682952,0.0,0.0,0.0,0.0,0.1163307140416809,0.012043047488896482,0.0,0.0030748206354629312,0.0,0.0,0.004868466006149642,0.0011957635804578067,0.0,0.0,0.0,0.0,0.0,0.0036727024256918346,0.007857874957294158,0.0,0.0,0.0,0.006235052955244277,0.0,0.0,0.0019644687393235395,0.016655278442090877,0.0,0.002220703792278784,0.0,0.0,0.03322514519986334,0.0,0.0,0.0,0.05807994533652203,0.0,0.004612230953194397,0.0,0.023573624871882474,0.32430816535702084,0.039972668261018106,0.0033310556884181756,0.024854800136658695,0.0012811752647762214,0.004953877690468056,0.0,0.0,0.00017082336863682952,0.0,0.014092927912538435,0.0009395285275025624,0.2742569183464298,0.0013665869490946361,0.0029894089511445167,0.0015374103177314656,0.0,0.001110351896139392,0.0037581141100102495,0.0,0.0,0.0,0.0,0.0,0.0006832934745473181,Normal
1-32,0.002000914703864624,0.0,0.014063571918591356,0.002629773610793506,0.000914703864623828,0.0014578092842442258,0.00014292247884747312,0.00037159844500343016,0.002372513148868054,0.0005145209238509033,0.0,0.0,0.023067688085982162,0.004373427852732678,0.0,0.0030013720557969356,0.001229133318088269,0.0010576263434713012,0.17790990166933454,0.0011147953350102904,0.00028584495769494624,0.00420192087811571,0.0042590898696547,0.00037159844500343016,0.00037159844500343016,0.0019437457123256347,0.004544934827349646,0.0049451177681225705,0.00228675966155957,0.0,0.0016293162588611938,0.07920763777726961,0.0,0.0001143379830779785,0.005059455751200549,0.004973702263892065,0.006031328607363366,0.0,0.0,0.03121426938028813,5.716899153898925e-05,0.0,0.0017436542419391721,0.0007717813857763549,0.0012005488223187743,0.0034873084838783442,0.005631145666590441,0.14978275783215184,0.1138234621541276,0.05908415275554539,0.0030013720557969356,0.03278641664761034,0.0005716899153898925,0.0031157100388749144,0.0008289503773153442,0.00025726046192545165,0.0001143379830779785,5.716899153898925e-05,0.015978733135147496,0.0006288589069288818,0.16367482277612622,0.0022295906700205807,0.003744568945803796,0.012834438600503087,0.0,0.0004287674365424194,0.02541161673908072,0.0029156185684884517,0.00020009147038646237,0.0,0.00017150697461696776,0.00025726046192545165,0.007546306883146581,Normal
