Feature,Repeat,Multilabel MCC drop,Micro-AUPR drop
T_C,20,0.0,-0.0012964784581190325
T_C,21,0.015783684104106133,0.0034071730029379688
T_C,22,0.0,0.0007367700873996408
T_C,23,0.0,0.0003954806902375374
T_C,24,0.0,0.003118830386060978
T_C,25,0.015783684104106133,-0.000826610309130893
T_C,26,0.0,-0.0010508589831385584
T_C,27,0.015783684104106133,-0.0012940877244143612
T_C,28,0.015783684104106133,0.0007035983414848124
T_C,29,0.0,0.0010124776666833868
T_C,30,0.0,0.00929911894886637
Q_total_Tpy,1,-0.022971530409532592,0.0009040884463408783
Q_total_Tpy,2,-0.022971530409532592,0.0010125174708332518
Q_total_Tpy,3,-0.015526969576086846,0.002972010088643673
Q_total_Tpy,4,-0.015526969576086846,0.0020411490771164442
Q_total_Tpy,5,-0.022971530409532592,0.002375674676266648
Q_total_Tpy,6,-0.008309877015758693,0.0038807504365763745
Q_total_Tpy,7,-0.015526969576086846,0.005084965102739258
Q_total_Tpy,8,-0.022971530409532592,0.0037461877236739105
Q_total_Tpy,9,0.0,0.006813325634262901
Q_total_Tpy,10,-0.022971530409532592,0.001500381254252392
Q_total_Tpy,11,0.0,0.005426935275102185
Q_total_Tpy,12,-0.015526969576086846,0.0022821901419096124
Q_total_Tpy,13,-0.00743659194065327,0.006079676539303469
Q_total_Tpy,14,-0.008309877015758693,0.002759601782612864
Q_total_Tpy,15,-0.008309877015758693,0.005868318065602451
Q_total_Tpy,16,-0.008309877015758693,0.0017139557450555065
Q_total_Tpy,17,0.0,0.007669324444280645
Q_total_Tpy,18,-0.015526969576086846,0.0022475556199436086
Q_total_Tpy,19,-0.015526969576086846,0.0028798987184948666
Q_total_Tpy,20,-0.015526969576086846,0.0029436945636525658
Q_total_Tpy,21,0.0,0.004113668545263793
Q_total_Tpy,22,-0.015526969576086846,0.0023024503039997257
Q_total_Tpy,23,0.0,0.004442899436620462
Q_total_Tpy,24,-0.022971530409532592,0.004598902767091795
Q_total_Tpy,25,0.0,0.0064398699145933325
Q_total_Tpy,26,-0.022971530409532592,0.0025013715354718635
Q_total_Tpy,27,-0.008309877015758693,0.00390975636339802
Q_total_Tpy,28,-0.015526969576086846,0.0015309744435061945
Q_total_Tpy,29,-0.022971530409532592,0.0013589841507754552
Q_total_Tpy,30,-0.015526969576086846,-0.0011629516398644069
substrate_avg_pH,1,0.0,0.0005530212018460268
substrate_avg_pH,2,0.015783684104106133,-0.004175493506605565
substrate_avg_pH,3,0.015783684104106133,0.0008175443533853244
substrate_avg_pH,4,0.0,0.0010264401539898937
substrate_avg_pH,5,0.015783684104106133,-0.0019771087619297467
substrate_avg_pH,6,0.015783684104106133,-0.0011611693520630073
substrate_avg_pH,7,0.0,-0.00028353580132883804
substrate_avg_pH,8,0.008359422556559637,-0.0013188126215387674
substrate_avg_pH,9,0.0,-0.001499103875913621
substrate_avg_pH,10,0.015783684104106133,0.0029371387815838035
substrate_avg_pH,11,0.0,0.0009760854932940877
substrate_avg_pH,12,0.0,0.00031708850778949804
substrate_avg_pH,13,0.0,0.001688949475642354
substrate_avg_pH,14,0.0,0.0023501853534789174
substrate_avg_pH,15,0.015783684104106133,-0.0012176935818742352
substrate_avg_pH,16,0.0,-0.00019524030031697892
substrate_avg_pH,17,0.015783684104106133,0.0001998594076725313
substrate_avg_pH,18,0.0,-0.0003399995303235426
substrate_avg_pH,19,0.0,9.56627812629951e-05
substrate_avg_pH,20,0.015783684104106133,0.0006256808750902398
substrate_avg_pH,21,0.008359422556559637,0.0016120597218303723
substrate_avg_pH,22,0.0,0.0012583270318829443
substrate_avg_pH,23,0.015783684104106133,-0.0005847036364808322
substrate_avg_pH,24,0.015783684104106133,0.0004088956886913464
substrate_avg_pH,25,0.015783684104106133,-0.0016998324411645616
substrate_avg_pH,26,0.008359422556559637,-0.0018937509585244539
substrate_avg_pH,27,0.015783684104106133,9.055109526145966e-06
substrate_avg_pH,28,0.015783684104106133,0.00041309110313675346
substrate_avg_pH,29,-0.00743659194065327,-0.0014233680383943237
substrate_avg_pH,30,0.015783684104106133,0.00020219915161989732
substrate_avg_ALK,1,0.0,0.0003578173509838911
substrate_avg_ALK,2,0.0,-0.0021807462133172084
substrate_avg_ALK,3,0.0,5.705024569718775e-05
substrate_avg_ALK,4,0.0,-0.0018818525659572427
substrate_avg_ALK,5,0.0,-0.0009037301730382974
substrate_avg_ALK,6,0.0,-0.0019128322163659006
substrate_avg_ALK,7,0.0,-0.0026514291646810295
substrate_avg_ALK,8,0.0,-0.003012794172604416
substrate_avg_ALK,9,0.0,-0.002344758744447839
substrate_avg_ALK,10,0.0,-0.0017238100279767243
substrate_avg_ALK,11,0.0,-0.0024224761352745205
substrate_avg_ALK,12,0.0,-0.00221941059454156
substrate_avg_ALK,13,0.0,-0.0032063212884678727
substrate_avg_ALK,14,0.0,-0.0019476561878076226
substrate_avg_ALK,15,0.0,-0.0017685496315276161
substrate_avg_ALK,16,0.0,-0.002530471337757967
substrate_avg_ALK,17,0.0,-0.002189340277117535
substrate_avg_ALK,18,0.0,-0.0011571533908342757
substrate_avg_ALK,19,0.0,-0.003055293708893958
substrate_avg_ALK,20,0.0,-0.0004045660848440158
substrate_avg_ALK,21,0.0,-0.001575366857821503
substrate_avg_ALK,22,0.0,0.00030076875698065164
substrate_avg_ALK,23,0.0,-0.0033673905596616205
substrate_avg_ALK,24,0.0,-0.00025718648075317985
substrate_avg_ALK,25,0.0,-0.0009719895578487736
substrate_avg_ALK,26,0.0,-0.0025140541325281984
substrate_avg_ALK,27,0.0,-0.002084477900114512
substrate_avg_ALK,28,0.0,-0.002158599289555141
substrate_avg_ALK,29,0.0,-0.002072138534358947
substrate_avg_ALK,30,0.0,-0.0022866758057544234
substrate_avg_VS,1,0.007204672799780987,0.004896899445508973
substrate_avg_VS,2,0.014190238979162384,0.000514557385891512
substrate_avg_VS,3,0.014190238979162384,0.002448932285236738
substrate_avg_VS,4,0.007204672799780987,0.0012437565656417404
substrate_avg_VS,5,0.014190238979162384,0.002207478341066438
substrate_avg_VS,6,0.014190238979162384,-0.00022896245635811718
substrate_avg_VS,7,0.014190238979162384,0.0064215968215523556
substrate_avg_VS,8,0.014190238979162384,-0.001934147509186246
substrate_avg_VS,9,0.014190238979162384,0.0007916444254966737
substrate_avg_VS,10,0.014190238979162384,0.004034419389437882
substrate_avg_VS,11,0.014190238979162384,0.0006957829058941711
substrate_avg_VS,12,0.007204672799780987,0.0016961471141955786
substrate_avg_VS,13,0.007204672799780987,0.0063339842820239745
substrate_avg_VS,14,0.007204672799780987,0.0033029558536344927
substrate_avg_VS,15,0.02993631517564882,0.0015229259542550722
substrate_avg_VS,16,0.007204672799780987,-0.001981014236864642
substrate_avg_VS,17,0.014190238979162384,0.0052512137723345065
substrate_avg_VS,18,0.014190238979162384,-3.202364547255643e-05
substrate_avg_VS,19,0.007204672799780987,0.00481050448212017
substrate_avg_VS,20,0.014190238979162384,0.0012026450384791665
substrate_avg_VS,21,0.014190238979162384,0.0035104139760804842
substrate_avg_VS,22,0.014190238979162384,0.006680366510937896
substrate_avg_VS,23,0.014190238979162384,0.0025244319991281627
substrate_avg_VS,24,0.014190238979162384,0.0030513396310316576
substrate_avg_VS,25,0.014190238979162384,0.0007948570634971341
substrate_avg_VS,26,0.014190238979162384,0.0034549297029687343
substrate_avg_VS,27,0.007204672799780987,-0.001677595413902222
substrate_avg_VS,28,0.007204672799780987,0.001357579285656274
substrate_avg_VS,29,0.007204672799780987,-0.0015245232031778633
substrate_avg_VS,30,0.014190238979162384,0.0025356320865164705
substrate_avg_COD,1,0.0,0.0032202346750237476
substrate_avg_COD,2,0.0,-0.001118841817559002
substrate_avg_COD,3,0.0,0.005389230719595572
substrate_avg_COD,4,0.0,-0.0005467939086215567
substrate_avg_COD,5,0.0,0.0022421567505163664
substrate_avg_COD,6,0.007204672799780987,0.004205551978345656
substrate_avg_COD,7,0.0,0.004633809908580533
substrate_avg_COD,8,0.0,0.0021474879057545304
substrate_avg_COD,9,-0.00743659194065327,-0.00036831787982655184
