fold,feature
5,BAC_C::Ignavibacteria
5,BAC_C::Incertae_Sedis
5,BAC_C::JS1
5,BAC_C::Kapabacteria
5,BAC_C::Kiritimatiellae
5,BAC_C::Lentisphaeria
5,BAC_C::Leptospirae
5,BAC_C::Limnochordia
5,BAC_C::MVP-15
5,BAC_C::Marinimicrobia_(SAR406_clade)
5,BAC_C::Microgenomatia
5,BAC_C::Moorellia
5,BAC_C::NKB15
5,BAC_C::Negativicutes
5,BAC_C::Nitrospiria
5,BAC_C::OLB14
5,BAC_C::Oligoflexia
5,BAC_C::Omnitrophia
5,BAC_C::Parcubacteria
5,BAC_C::Phycisphaerae
5,BAC_C::Pla3_lineage
5,BAC_C::Planctomycetes
5,BAC_C::Polyangia
5,BAC_C::RBG-16-55-12
5,BAC_C::SJA-28
5,BAC_C::Saccharimonadia
5,BAC_C::Spirochaetia
5,BAC_C::Sumerlaeia
5,BAC_C::Symbiobacteriia
5,BAC_C::Synergistia
5,BAC_C::Syntrophia
5,BAC_C::Syntrophobacteria
5,BAC_C::Syntrophomonadia
5,BAC_C::Syntrophorhabdia
5,BAC_C::TA06
5,BAC_C::Thermacetogenia
5,BAC_C::Thermoanaerobacteria
5,BAC_C::Thermoanaerobaculia
5,BAC_C::Thermoleophilia
5,BAC_C::Thermotogae
5,BAC_C::Thermovenabulia
5,BAC_C::Vampirivibrionia
5,BAC_C::Verrucomicrobiae
5,BAC_C::Vicinamibacteria
5,BAC_C::WCHB1-81
5,BAC_C::WPS-2
5,BAC_C::WS1
5,BAC_C::WWE3
5,BAC_C::Zixibacteria
5,BAC_C::c5LKS83
5,BAC_C::unidentified
5,ARC_C::Actinopterygii
5,ARC_C::Bathyarchaeia
5,ARC_C::Bivalvia
5,ARC_C::Ichthyosporea
5,ARC_C::Methanomethylicia
5,ARC_C::Methanomicrobia
5,ARC_C::Methanosarcinia
5,ARC_C::Micrarchaeia
5,ARC_C::Nanoarchaeia
5,ARC_C::Nitrososphaeria
5,ARC_C::Thermococci
5,ARC_C::Thermoplasmata
5,ARC_C::unidentified
