block,taxon,feature,samples_above_0_1_percent,training_samples_above_0_1_percent,included_in_final_matrix
BAC_O,Limnochordales,BAC_O::Limnochordales,24,24,True
BAC_O,Limnochordia,BAC_O::Limnochordia,8,8,True
BAC_O,M55-D21,BAC_O::M55-D21,12,12,True
BAC_O,MAT-CR-H4-C10,BAC_O::MAT-CR-H4-C10,2,2,True
BAC_O,MBA03,BAC_O::MBA03,60,51,True
BAC_O,MSBL9,BAC_O::MSBL9,17,11,True
BAC_O,MVP-15,BAC_O::MVP-15,55,41,True
BAC_O,Marinimicrobia_(SAR406_clade),BAC_O::Marinimicrobia_(SAR406_clade),30,24,True
BAC_O,Methylococcales,BAC_O::Methylococcales,29,21,True
BAC_O,Micavibrionales,BAC_O::Micavibrionales,8,8,True
BAC_O,Micrococcales,BAC_O::Micrococcales,82,61,True
BAC_O,Microtrichales,BAC_O::Microtrichales,56,41,True
BAC_O,Monoglobales,BAC_O::Monoglobales,12,10,True
BAC_O,Moorellales,BAC_O::Moorellales,1,1,True
BAC_O,Myxococcales,BAC_O::Myxococcales,1,1,True
BAC_O,NKB15,BAC_O::NKB15,6,6,True
BAC_O,Nannocystales,BAC_O::Nannocystales,1,1,True
BAC_O,Nitrosococcales,BAC_O::Nitrosococcales,5,4,True
BAC_O,Nitrospirales,BAC_O::Nitrospirales,15,7,True
BAC_O,OLB14,BAC_O::OLB14,14,10,True
BAC_O,OPB41,BAC_O::OPB41,9,7,True
BAC_O,Obscuribacterales,BAC_O::Obscuribacterales,2,2,True
BAC_O,Oceanospirillales,BAC_O::Oceanospirillales,3,3,True
BAC_O,Oligosphaerales,BAC_O::Oligosphaerales,15,10,True
BAC_O,Omnitrophales,BAC_O::Omnitrophales,11,5,True
BAC_O,Oscillospirales,BAC_O::Oscillospirales,133,107,True
BAC_O,PB19,BAC_O::PB19,2,2,True
BAC_O,PLTA13,BAC_O::PLTA13,12,11,True
BAC_O,PeM15,BAC_O::PeM15,22,17,True
BAC_O,Pedosphaerales,BAC_O::Pedosphaerales,85,62,True
BAC_O,Peptococcales,BAC_O::Peptococcales,26,20,True
BAC_O,Peptostreptococcales-Tissierellales,BAC_O::Peptostreptococcales-Tissierellales,137,109,True
BAC_O,Petrotogales,BAC_O::Petrotogales,95,80,True
BAC_O,Phycisphaerales,BAC_O::Phycisphaerales,4,3,True
BAC_O,Pirellulales,BAC_O::Pirellulales,51,38,True
BAC_O,Pla3_lineage,BAC_O::Pla3_lineage,6,5,True
BAC_O,Planctomycetales,BAC_O::Planctomycetales,58,41,True
BAC_O,Polyangiales,BAC_O::Polyangiales,1,1,True
BAC_O,Propionibacteriales,BAC_O::Propionibacteriales,9,3,True
BAC_O,Proteinivoracales,BAC_O::Proteinivoracales,6,6,True
BAC_O,Pseudomonadales,BAC_O::Pseudomonadales,38,27,True
BAC_O,RBG-13-54-9,BAC_O::RBG-13-54-9,12,6,True
BAC_O,RBG-16-55-12,BAC_O::RBG-16-55-12,8,5,True
BAC_O,Reyranellales,BAC_O::Reyranellales,4,1,True
BAC_O,Rhizobiales,BAC_O::Rhizobiales,83,65,True
BAC_O,Rhodobacterales,BAC_O::Rhodobacterales,81,61,True
BAC_O,Rhodospirillales,BAC_O::Rhodospirillales,1,1,True
BAC_O,Rickettsiales,BAC_O::Rickettsiales,1,1,True
BAC_O,Run-SP154,BAC_O::Run-SP154,20,12,True
BAC_O,SBR1031,BAC_O::SBR1031,69,49,True
BAC_O,SJA-15,BAC_O::SJA-15,50,31,True
BAC_O,SJA-28,BAC_O::SJA-28,70,53,True
BAC_O,SM1A07,BAC_O::SM1A07,1,1,True
BAC_O,Saccharimonadales,BAC_O::Saccharimonadales,43,32,True
BAC_O,Solibacterales,BAC_O::Solibacterales,2,2,True
BAC_O,Solirubrobacterales,BAC_O::Solirubrobacterales,7,4,True
BAC_O,Sphingobacteriales,BAC_O::Sphingobacteriales,134,107,True
BAC_O,Sphingomonadales,BAC_O::Sphingomonadales,59,44,True
BAC_O,Spirochaetales,BAC_O::Spirochaetales,128,101,True
BAC_O,Steroidobacterales,BAC_O::Steroidobacterales,7,3,True
BAC_O,Sumerlaeales,BAC_O::Sumerlaeales,14,11,True
BAC_O,Sva0485,BAC_O::Sva0485,8,2,True
BAC_O,Symbiobacteriales,BAC_O::Symbiobacteriales,4,4,True
BAC_O,Synergistales,BAC_O::Synergistales,136,107,True
BAC_O,Syntrophales,BAC_O::Syntrophales,91,67,True
BAC_O,Syntrophobacterales,BAC_O::Syntrophobacterales,45,29,True
BAC_O,Syntrophomonadales,BAC_O::Syntrophomonadales,129,103,True
BAC_O,Syntrophorhabdales,BAC_O::Syntrophorhabdales,80,60,True
BAC_O,TA06,BAC_O::TA06,8,4,True
BAC_O,Thermacetogeniales,BAC_O::Thermacetogeniales,27,27,True
BAC_O,Thermales,BAC_O::Thermales,3,3,True
BAC_O,Thermoanaerobacterales,BAC_O::Thermoanaerobacterales,14,13,True
BAC_O,Thermoanaerobaculales,BAC_O::Thermoanaerobaculales,35,26,True
BAC_O,Thermotogales,BAC_O::Thermotogales,11,10,True
BAC_O,Thermovenabulales,BAC_O::Thermovenabulales,23,23,True
BAC_O,Veillonellales-Selenomonadales,BAC_O::Veillonellales-Selenomonadales,23,19,True
BAC_O,Verrucomicrobiales,BAC_O::Verrucomicrobiales,8,6,True
