Model,FPR,TPR
XGBoost,0.0,0.07692307692307693
XGBoost,0.022727272727272728,0.07692307692307693
XGBoost,0.022727272727272728,0.15384615384615385
XGBoost,0.030303030303030304,0.15384615384615385
XGBoost,0.030303030303030304,0.23076923076923078
XGBoost,0.03787878787878788,0.23076923076923078
XGBoost,0.03787878787878788,0.3076923076923077
XGBoost,0.09848484848484848,0.3076923076923077
XGBoost,0.09848484848484848,0.38461538461538464
XGBoost,0.12121212121212122,0.38461538461538464
XGBoost,0.12121212121212122,0.46153846153846156
XGBoost,0.13636363636363635,0.46153846153846156
XGBoost,0.13636363636363635,0.5384615384615384
XGBoost,0.14393939393939395,0.5384615384615384
XGBoost,0.14393939393939395,0.6153846153846154
XGBoost,0.15151515151515152,0.6153846153846154
XGBoost,0.15151515151515152,0.6923076923076923
XGBoost,0.20454545454545456,0.6923076923076923
XGBoost,0.20454545454545456,0.7692307692307693
XGBoost,0.22727272727272727,0.7692307692307693
XGBoost,0.25757575757575757,0.7692307692307693
XGBoost,0.25757575757575757,0.8461538461538461
XGBoost,0.3333333333333333,0.8461538461538461
XGBoost,0.3409090909090909,0.9230769230769231
XGBoost,0.3787878787878788,0.9230769230769231
XGBoost,0.3787878787878788,1.0
XGBoost,0.5378787878787878,1.0
XGBoost,0.553030303030303,1.0
XGBoost,0.6666666666666666,1.0
XGBoost,0.696969696969697,1.0
XGBoost,0.7196969696969697,1.0
XGBoost,0.7575757575757576,1.0
XGBoost,0.7727272727272727,1.0
XGBoost,0.8181818181818182,1.0
XGBoost,0.8409090909090909,1.0
XGBoost,0.8484848484848485,1.0
XGBoost,0.8712121212121212,1.0
XGBoost,0.9166666666666666,1.0
XGBoost,0.9545454545454546,1.0
XGBoost,0.9772727272727273,1.0
XGBoost,0.9924242424242424,1.0
XGBoost,1.0,1.0
GLMNET,0.0,0.0
GLMNET,0.0,0.07692307692307693
GLMNET,0.0,0.3076923076923077
GLMNET,0.015151515151515152,0.3076923076923077
GLMNET,0.015151515151515152,0.38461538461538464
GLMNET,0.06060606060606061,0.38461538461538464
GLMNET,0.06060606060606061,0.46153846153846156
GLMNET,0.06818181818181818,0.46153846153846156
GLMNET,0.06818181818181818,0.5384615384615384
GLMNET,0.09848484848484848,0.5384615384615384
GLMNET,0.09848484848484848,0.6923076923076923
GLMNET,0.15151515151515152,0.6923076923076923
GLMNET,0.15151515151515152,0.7692307692307693
GLMNET,0.2803030303030303,0.7692307692307693
GLMNET,0.2803030303030303,0.8461538461538461
GLMNET,0.4166666666666667,0.8461538461538461
GLMNET,0.4166666666666667,0.9230769230769231
GLMNET,0.4696969696969697,0.9230769230769231
GLMNET,0.6818181818181818,1.0
GLMNET,1.0,1.0
