fold,block,feature,training_samples_above_1_percent
3,BAC_F,BAC_F::Hungateiclostridiaceae,66
3,BAC_F,BAC_F::Incertae_Sedis,9
3,BAC_F,BAC_F::Intrasporangiaceae,7
3,BAC_F,BAC_F::Kosmotogaceae,12
3,BAC_F,BAC_F::Lachnospiraceae,19
3,BAC_F,BAC_F::Lactobacillaceae,6
3,BAC_F,BAC_F::Lentimicrobiaceae,31
3,BAC_F,BAC_F::MBA03,18
3,BAC_F,BAC_F::Marinilabiliaceae,9
3,BAC_F,BAC_F::Methylophilaceae,8
3,BAC_F,BAC_F::Paludibacteraceae,32
3,BAC_F,BAC_F::Pedosphaeraceae,11
3,BAC_F,BAC_F::Peptostreptococcales-Tissierellales,35
3,BAC_F,BAC_F::Petrotogaceae,32
3,BAC_F,BAC_F::Prevotellaceae,9
3,BAC_F,BAC_F::Prolixibacteraceae,37
3,BAC_F,BAC_F::Rhodanobacteraceae,7
3,BAC_F,BAC_F::Rhodobacteraceae,7
3,BAC_F,BAC_F::Rhodocyclaceae,38
3,BAC_F,BAC_F::Rikenellaceae,40
3,BAC_F,BAC_F::Ruminococcaceae,11
3,BAC_F,BAC_F::SBR1031,16
3,BAC_F,BAC_F::SC-I-84,5
3,BAC_F,BAC_F::SJA-15,7
3,BAC_F,BAC_F::SJA-28,6
3,BAC_F,BAC_F::ST-12K33,28
3,BAC_F,BAC_F::Saprospiraceae,21
3,BAC_F,BAC_F::Sedimentibacteraceae,58
3,BAC_F,BAC_F::Smithellaceae,35
3,BAC_F,BAC_F::Spirochaetaceae,49
3,BAC_F,BAC_F::Synergistaceae,62
3,BAC_F,BAC_F::Syntrophomonadaceae,58
3,BAC_F,BAC_F::Syntrophorhabdaceae,24
3,BAC_F,BAC_F::Thermacetogeniaceae,13
3,BAC_F,BAC_F::Thermoanaerobaculaceae,5
3,BAC_F,BAC_F::UCG-010,6
3,BAC_F,BAC_F::W27,25
3,BAC_F,BAC_F::Williamwhitmaniaceae,26
3,BAC_F,BAC_F::Xanthomonadaceae,8
3,BAC_F,BAC_F::unidentified,80
3,ARC_F,ARC_F::Bathyarchaeia,7
3,ARC_F,ARC_F::Methanofastidiosaceae,59
3,ARC_F,ARC_F::Methanomassiliicoccaceae,64
3,ARC_F,ARC_F::Methanomethylophilaceae,23
3,ARC_F,ARC_F::Methanomicrobiaceae,71
3,ARC_F,ARC_F::Methanomicrobiales,12
3,ARC_F,ARC_F::Methanoregulaceae,51
3,ARC_F,ARC_F::Methanosaetaceae,74
3,ARC_F,ARC_F::Methanosarcinaceae,32
3,ARC_F,ARC_F::Methanospirillaceae,65
3,ARC_F,ARC_F::SCGC_AAA011-D5,8
3,ARC_F,ARC_F::unidentified,52
4,BAC_F,BAC_F::009E01-B-SD-P15,6
4,BAC_F,BAC_F::Acholeplasmataceae,23
4,BAC_F,BAC_F::Aminicenantales,8
4,BAC_F,BAC_F::Anaerolineaceae,9
4,BAC_F,BAC_F::Anaerovoracaceae,12
4,BAC_F,BAC_F::Atopobiaceae,7
4,BAC_F,BAC_F::Bacteroidales_UCG-001,11
4,BAC_F,BAC_F::Bacteroidetes_vadinHA17,48
4,BAC_F,BAC_F::Brachyspirales_Incertae_Sedis,8
4,BAC_F,BAC_F::Caldatribacteriaceae,9
4,BAC_F,BAC_F::Caldicoprobacteraceae,24
4,BAC_F,BAC_F::Chitinophagaceae,6
4,BAC_F,BAC_F::Christensenellaceae,63
4,BAC_F,BAC_F::Cloacimonadaceae,59
4,BAC_F,BAC_F::Comamonadaceae,51
4,BAC_F,BAC_F::Coprothermobacteraceae,7
4,BAC_F,BAC_F::D8A-2,9
4,BAC_F,BAC_F::DTU014,57
4,BAC_F,BAC_F::Desulfotomaculales,8
4,BAC_F,BAC_F::Dethiobacteraceae,15
4,BAC_F,BAC_F::Dysgonomonadaceae,60
4,BAC_F,BAC_F::Fermentibacteraceae,7
4,BAC_F,BAC_F::Gracilibacteraceae,9
4,BAC_F,BAC_F::Hungateiclostridiaceae,71
4,BAC_F,BAC_F::Incertae_Sedis,7
4,BAC_F,BAC_F::Intrasporangiaceae,8
4,BAC_F,BAC_F::JS1,5
4,BAC_F,BAC_F::Kosmotogaceae,15
4,BAC_F,BAC_F::LD1-PA32,6
4,BAC_F,BAC_F::Lachnospiraceae,18
4,BAC_F,BAC_F::Lactobacillaceae,6
4,BAC_F,BAC_F::Lentimicrobiaceae,27
4,BAC_F,BAC_F::MBA03,17
4,BAC_F,BAC_F::Marinilabiliaceae,7
4,BAC_F,BAC_F::Methylophilaceae,8
4,BAC_F,BAC_F::Paludibacteraceae,36
4,BAC_F,BAC_F::Pedosphaeraceae,6
4,BAC_F,BAC_F::Peptostreptococcales-Tissierellales,36
4,BAC_F,BAC_F::Petrotogaceae,25
4,BAC_F,BAC_F::Prevotellaceae,9
4,BAC_F,BAC_F::Prolixibacteraceae,42
4,BAC_F,BAC_F::Rhodanobacteraceae,5
4,BAC_F,BAC_F::Rhodobacteraceae,5
4,BAC_F,BAC_F::Rhodocyclaceae,37
4,BAC_F,BAC_F::Rikenellaceae,43
4,BAC_F,BAC_F::Ruminococcaceae,10
4,BAC_F,BAC_F::SBR1031,19
4,BAC_F,BAC_F::SC-I-84,6
4,BAC_F,BAC_F::SJA-15,8
4,BAC_F,BAC_F::SJA-28,5
4,BAC_F,BAC_F::ST-12K33,44
4,BAC_F,BAC_F::Saprospiraceae,16
4,BAC_F,BAC_F::Sedimentibacteraceae,54
4,BAC_F,BAC_F::Smithellaceae,37
4,BAC_F,BAC_F::Spirochaetaceae,53
4,BAC_F,BAC_F::Synergistaceae,67
4,BAC_F,BAC_F::Syntrophomonadaceae,63
4,BAC_F,BAC_F::Syntrophorhabdaceae,18
4,BAC_F,BAC_F::Thermacetogeniaceae,12
4,BAC_F,BAC_F::W27,23
4,BAC_F,BAC_F::WCHB1-02,5
4,BAC_F,BAC_F::Williamwhitmaniaceae,26
4,BAC_F,BAC_F::Xanthomonadaceae,7
4,BAC_F,BAC_F::unidentified,80
4,ARC_F,ARC_F::Methanofastidiosaceae,65
4,ARC_F,ARC_F::Methanomassiliicoccaceae,56
4,ARC_F,ARC_F::Methanomethylophilaceae,26
4,ARC_F,ARC_F::Methanomicrobiaceae,67
4,ARC_F,ARC_F::Methanomicrobiales,13
4,ARC_F,ARC_F::Methanoregulaceae,58
4,ARC_F,ARC_F::Methanosaetaceae,77
4,ARC_F,ARC_F::Methanosarcinaceae,34
4,ARC_F,ARC_F::Methanospirillaceae,72
4,ARC_F,ARC_F::SCGC_AAA011-D5,10
4,ARC_F,ARC_F::unidentified,55
5,BAC_F,BAC_F::009E01-B-SD-P15,8
5,BAC_F,BAC_F::Acholeplasmataceae,20
5,BAC_F,BAC_F::Anaerolineaceae,10
5,BAC_F,BAC_F::Anaerovoracaceae,19
5,BAC_F,BAC_F::Atopobiaceae,5
5,BAC_F,BAC_F::Babeliales,5
5,BAC_F,BAC_F::Bacteroidales_UCG-001,11
5,BAC_F,BAC_F::Bacteroidetes_vadinHA17,51
5,BAC_F,BAC_F::Brachyspirales_Incertae_Sedis,5
5,BAC_F,BAC_F::Caldatribacteriaceae,9
5,BAC_F,BAC_F::Caldicoprobacteraceae,20
5,BAC_F,BAC_F::Chitinophagaceae,5
5,BAC_F,BAC_F::Christensenellaceae,64
5,BAC_F,BAC_F::Cloacimonadaceae,59
5,BAC_F,BAC_F::Comamonadaceae,52
5,BAC_F,BAC_F::Competibacteraceae,7
5,BAC_F,BAC_F::Coprothermobacteraceae,6
5,BAC_F,BAC_F::D8A-2,8
5,BAC_F,BAC_F::DTU014,59
5,BAC_F,BAC_F::Desulfotomaculales,6
5,BAC_F,BAC_F::Dethiobacteraceae,18
5,BAC_F,BAC_F::Dysgonomonadaceae,55
5,BAC_F,BAC_F::Fermentibacteraceae,7
5,BAC_F,BAC_F::Gracilibacteraceae,7
5,BAC_F,BAC_F::Hungateiclostridiaceae,71
5,BAC_F,BAC_F::Incertae_Sedis,7
5,BAC_F,BAC_F::Intrasporangiaceae,11
5,BAC_F,BAC_F::Kosmotogaceae,15
5,BAC_F,BAC_F::Lachnospiraceae,18
5,BAC_F,BAC_F::Lactobacillaceae,5
5,BAC_F,BAC_F::Lentimicrobiaceae,25
5,BAC_F,BAC_F::MBA03,15
5,BAC_F,BAC_F::Marinilabiliaceae,11
5,BAC_F,BAC_F::Paludibacteraceae,35
5,BAC_F,BAC_F::Pedosphaeraceae,10
5,BAC_F,BAC_F::Peptostreptococcales-Tissierellales,33
5,BAC_F,BAC_F::Petrotogaceae,25
5,BAC_F,BAC_F::Prevotellaceae,10
5,BAC_F,BAC_F::Prolixibacteraceae,45
5,BAC_F,BAC_F::Rhodanobacteraceae,6
5,BAC_F,BAC_F::Rhodocyclaceae,38
5,BAC_F,BAC_F::Rikenellaceae,45
5,BAC_F,BAC_F::Ruminococcaceae,13
5,BAC_F,BAC_F::SBR1031,18
5,BAC_F,BAC_F::SJA-15,8
5,BAC_F,BAC_F::SJA-28,5
5,BAC_F,BAC_F::ST-12K33,43
5,BAC_F,BAC_F::Saprospiraceae,18
5,BAC_F,BAC_F::Sedimentibacteraceae,55
5,BAC_F,BAC_F::Smithellaceae,41
5,BAC_F,BAC_F::Spirochaetaceae,54
5,BAC_F,BAC_F::Synergistaceae,63
5,BAC_F,BAC_F::Syntrophomonadaceae,63
5,BAC_F,BAC_F::Syntrophorhabdaceae,22
5,BAC_F,BAC_F::Thermacetogeniaceae,5
5,BAC_F,BAC_F::Thermoanaerobaculaceae,5
5,BAC_F,BAC_F::UCG-010,7
5,BAC_F,BAC_F::W27,22
5,BAC_F,BAC_F::Williamwhitmaniaceae,28
5,BAC_F,BAC_F::Xanthomonadaceae,11
5,BAC_F,BAC_F::unidentified,80
5,ARC_F,ARC_F::Bathyarchaeia,6
5,ARC_F,ARC_F::Methanofastidiosaceae,63
5,ARC_F,ARC_F::Methanomassiliicoccaceae,55
5,ARC_F,ARC_F::Methanomethylophilaceae,21
5,ARC_F,ARC_F::Methanomicrobiaceae,64
5,ARC_F,ARC_F::Methanomicrobiales,8
5,ARC_F,ARC_F::Methanoregulaceae,56
5,ARC_F,ARC_F::Methanosaetaceae,79
5,ARC_F,ARC_F::Methanosarcinaceae,30
5,ARC_F,ARC_F::Methanospirillaceae,75
5,ARC_F,ARC_F::SCGC_AAA011-D5,9
5,ARC_F,ARC_F::unidentified,52
