SampleID,F00000,F00001,F00002,F00003,F00004,F00005,F00006,F00007,F00008,F00009,F00010,F00011,F00012,F00013,F00014,F00015,F00016,F00017,F00018,F00019,F00020,F00021,F00022,F00023,F00024,F00025,F00026,F00027,F00028,F00029,F00030,F00031,F00032,F00033,F00034,Group
1-7,3.0,0.0,0.0,400.0,9.0,190.0,2524.0,0.0,168.0,0.0,0.0,19.0,213.0,884.0,34.0,128.0,472.0,245.0,987.0,4852.0,1699.0,16317.0,153.0,41.0,632.0,0.0,1351.0,138.0,6767.0,451.0,312.0,309.0,17.0,0.0,0.0,Normal
1-8,22.0,0.0,0.0,212.0,30.0,123.0,8431.0,0.0,95.0,0.0,0.0,41.0,156.0,649.0,35.0,112.0,342.0,111.0,124.0,640.0,11578.0,8936.0,165.0,138.0,467.0,0.0,1833.0,261.0,6406.0,349.0,264.0,212.0,12.0,0.0,45.0,Normal
1-9,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,69.0,0.0,0.0,0.0,112.0,0.0,0.0,13804.0,0.0,0.0,0.0,0.0,47.0,104.0,0.0,32.0,0.0,0.0,331.0,0.0,33.0,210.0,176.0,153.0,0.0,0.0,0.0,Warning
2-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,5376.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,482.0,0.0,0.0,124.0,0.0,48.0,61.0,31.0,37.0,0.0,0.0,0.0,Warning
2-10,0.0,0.0,0.0,9.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,24.0,261.0,32.0,325.0,322.0,1369.0,2305.0,54.0,214.0,168.0,0.0,310.0,0.0,3114.0,0.0,21.0,0.0,0.0,0.0,0.0,Normal
2-11,0.0,0.0,0.0,9.0,0.0,284.0,236.0,0.0,7.0,0.0,0.0,0.0,0.0,273.0,0.0,0.0,579.0,0.0,0.0,0.0,806.0,1813.0,89.0,0.0,63.0,0.0,147.0,0.0,0.0,17.0,0.0,0.0,31.0,0.0,0.0,Normal
2-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,874.0,6285.0,0.0,165.0,0.0,0.0,0.0,5.0,14.0,0.0,15.0,0.0,0.0,0.0,0.0,Warning
2-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,317.0,0.0,59.0,0.0,0.0,0.0,0.0,1645.0,1205.0,73.0,0.0,0.0,0.0,0.0,45.0,809.0,0.0,0.0,10.0,0.0,0.0,0.0,Normal
2-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,6784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,875.0,457.0,0.0,22.0,0.0,28.0,0.0,0.0,0.0,0.0,Warning
2-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,85.0,0.0,0.0,41.0,490.0,92.0,15.0,0.0,1445.0,1614.0,0.0,0.0,0.0,0.0,154.0,37.0,1419.0,150.0,125.0,91.0,0.0,0.0,0.0,Normal
2-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1203.0,0.0,32.0,0.0,500.0,503.0,14.0,0.0,78.0,0.0,61.0,0.0,30.0,22.0,0.0,0.0,0.0,0.0,0.0,Normal
2-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,13.0,52.0,0.0,15.0,0.0,0.0,45.0,0.0,225.0,0.0,0.0,1481.0,2641.0,20.0,0.0,0.0,0.0,13.0,0.0,1614.0,42.0,49.0,0.0,0.0,0.0,0.0,Normal
2-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,48.0,0.0,0.0,337.0,0.0,455.0,0.0,0.0,2093.0,2411.0,24.0,0.0,31.0,0.0,105.0,189.0,325.0,95.0,71.0,68.0,0.0,0.0,0.0,Normal
2-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4083.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,1182.0,14.0,0.0,30.0,0.0,14.0,0.0,0.0,0.0,0.0,Normal
