model,target,rank,feature,category,importance_mean,fold_sd,evaluable_folds,selected_folds,positive_folds,top10_folds,top20_folds,mean_fold_rank,mean_permutation_sd,top10_frequency,positive_frequency
KNN,warning_ammonia_toxicity,42.0,ARC_G::Lokiarchaeia,Archaea,0.00019999999999999906,0.00044721359549995584,5,5,1,0,0,118.4,0.0008944271909999116,0.0,0.2
KNN,warning_ammonia_toxicity,42.0,ARC_P::Asgardarchaeota,Archaea,0.00019999999999999906,0.00044721359549995584,5,5,1,0,0,118.4,0.0008944271909999116,0.0,0.2
KNN,warning_ammonia_toxicity,42.0,BAC_G::Candidatus_Soleaferrea,Bacteria,0.00019999999999999906,0.00044721359549995584,5,5,1,0,0,118.4,0.0008944271909999116,0.0,0.2
KNN,warning_ammonia_toxicity,42.0,BAC_G::Clostridium_sensu_stricto_1,Bacteria,0.00019999999999999906,0.00044721359549995584,5,5,1,0,0,118.4,0.0008944271909999116,0.0,0.2
KNN,warning_ammonia_toxicity,42.0,BAC_G::Coprothermobacter,Bacteria,0.00019999999999999906,0.00044721359549995584,5,5,1,0,0,118.4,0.0008944271909999116,0.0,0.2
KNN,warning_ammonia_toxicity,42.0,BAC_G::DMER64,Bacteria,0.00019999999999999906,0.00044721359549995584,5,5,1,0,0,118.4,0.0008944271909999116,0.0,0.2
KNN,warning_ammonia_toxicity,42.0,BAC_G::Rhodobacter,Bacteria,0.00019999999999999906,0.00044721359549995584,5,5,1,0,0,118.4,0.0008944271909999116,0.0,0.2
KNN,warning_ammonia_toxicity,42.0,BAC_P::Coprothermobacterota,Bacteria,0.00019999999999999906,0.00044721359549995584,5,5,1,0,0,118.4,0.0008944271909999116,0.0,0.2
KNN,warning_ammonia_toxicity,50.0,BAC_G::LD1-PB3,Bacteria,0.00017857142857142795,0.00039929785312496104,5,5,1,0,0,118.4,0.0007985957062499221,0.0,0.2
KNN,warning_ammonia_toxicity,51.0,BAC_G::Paludibacter,Bacteria,0.0001388888888888895,0.00031056499687497215,5,5,1,0,0,114.4,0.0006211299937499443,0.0,0.2
KNN,warning_ammonia_toxicity,51.0,BAC_G::Petrimonas,Bacteria,0.0001388888888888895,0.00031056499687497215,5,5,1,0,0,114.4,0.0006211299937499443,0.0,0.2
KNN,warning_ammonia_toxicity,51.0,BAC_G::Smithella,Bacteria,0.0001388888888888895,0.00031056499687497215,5,5,1,0,0,114.4,0.0006211299937499443,0.0,0.2
KNN,warning_ammonia_toxicity,51.0,BAC_G::Syntrophorhabdus,Bacteria,0.0001388888888888895,0.00031056499687497215,5,5,1,0,0,114.4,0.0006211299937499443,0.0,0.2
