model,target,rank,feature,category,importance_mean,fold_sd,evaluable_folds,selected_folds,positive_folds,top10_folds,top20_folds,mean_fold_rank,mean_permutation_sd,top10_frequency,positive_frequency
KNN,warning_buffer_capacity,55.0,BAC_G::SJA-28,Bacteria,0.0008333333333333332,0.0018633899812498245,5,5,1,0,0,122.4,0.003726779962499649,0.0,0.2
KNN,warning_buffer_capacity,56.0,BAC_G::Candidatus_Cloacimonas,Bacteria,0.0005882352941176474,0.001315334104411642,5,5,1,1,1,112.1,0.00020117222589904996,0.2,0.2
KNN,warning_buffer_capacity,57.0,substrate_avg_sCOD,Metadata: substrate,0.0003333333333333338,0.0007453559924999309,5,5,1,0,0,122.6,0.001490711984999862,0.0,0.2
KNN,warning_buffer_capacity,58.0,BAC_G::Syner-01,Bacteria,0.0001307189542483661,0.00029229646764703155,5,5,1,0,0,116.7,0.0002682296345320666,0.0,0.2
KNN,warning_buffer_capacity,59.0,BAC_G::LD1-PA32,Bacteria,3.267973856209153e-05,7.307411691175789e-05,5,5,1,0,0,118.2,0.00014614823382351575,0.0,0.2
KNN,warning_buffer_capacity,60.0,ARC_G::Aenigmarchaeales,Archaea,0.0,0.0,5,5,0,0,0,141.6,0.0,0.0,0.0
KNN,warning_buffer_capacity,60.0,ARC_G::Candidatus_Iainarchaeum,Archaea,0.0,0.0,5,5,0,0,0,141.6,0.0,0.0,0.0
KNN,warning_buffer_capacity,60.0,ARC_G::Candidatus_Methanogranum,Archaea,0.0,0.0,5,5,0,0,0,141.6,0.0,0.0,0.0
KNN,warning_buffer_capacity,60.0,ARC_G::Candidatus_Methanomethylophilus,Archaea,0.0,0.0,5,5,0,0,0,141.6,0.0,0.0,0.0
KNN,warning_buffer_capacity,60.0,ARC_G::Candidatus_Methanoplasma,Archaea,0.0,0.0,5,5,0,0,0,141.6,0.0,0.0,0.0
KNN,warning_buffer_capacity,60.0,ARC_G::Candidatus_Nitrocosmicus,Archaea,0.0,0.0,5,5,0,0,0,141.6,0.0,0.0,0.0
KNN,warning_buffer_capacity,60.0,ARC_G::Hadarchaeales,Archaea,0.0,0.0,5,5,0,0,0,141.6,0.0,0.0,0.0
KNN,warning_buffer_capacity,60.0,ARC_G::LKM11,Archaea,0.0,0.0,5,5,0,0,0,141.6,0.0,0.0,0.0
KNN,warning_buffer_capacity,60.0,ARC_G::Lokiarchaeia,Archaea,0.0,0.0,5,5,0,0,0,141.6,0.0,0.0,0.0
KNN,warning_buffer_capacity,60.0,ARC_G::Marine_Benthic_Group_D_and_DHVEG-1,Archaea,0.0,0.0,5,5,0,0,0,141.6,0.0,0.0,0.0
KNN,warning_buffer_capacity,60.0,ARC_G::Methanocorpusculum,Archaea,0.0,0.0,5,5,0,0,0,141.6,0.0,0.0,0.0
KNN,warning_buffer_capacity,60.0,ARC_G::Methanofollis,Archaea,0.0,0.0,5,5,0,0,0,141.6,0.0,0.0,0.0
KNN,warning_buffer_capacity,60.0,ARC_G::Methanogenium,Archaea,0.0,0.0,5,5,0,0,0,141.6,0.0,0.0,0.0
KNN,warning_buffer_capacity,60.0,ARC_G::Methanolacinia,Archaea,0.0,0.0,5,4,0,0,0,141.6,0.0,0.0,0.0
KNN,warning_buffer_capacity,60.0,ARC_G::Methanolobus,Archaea,0.0,0.0,5,4,0,0,0,141.6,0.0,0.0,0.0
KNN,warning_buffer_capacity,60.0,ARC_G::Methanosarcina,Archaea,0.0,0.0,5,5,0,0,0,141.6,0.0,0.0,0.0
KNN,warning_buffer_capacity,60.0,ARC_G::Micrarchaeales,Archaea,0.0,0.0,5,5,0,0,0,141.6,0.0,0.0,0.0
