Rank,Feature,Block,Taxon,CV folds containing feature,Multilabel MCC mean drop,Multilabel MCC SD,Micro-AUPR mean drop,Micro-AUPR SD
60,BAC_O::CK-2C2-2,BAC_O,CK-2C2-2,5,0.0,0.0,0.00027080288868253457,0.00015613853432921616
61,BAC_O::Pseudomonadales,BAC_O,Pseudomonadales,5,0.0005046084383587002,0.0015397045455155668,0.000254817910558706,0.000788072587261833
62,BAC_O::Desulfitibacterales,BAC_O,Desulfitibacterales,5,0.0,0.0,0.0002530450745566552,0.00022896499419381976
63,BAC_O::Thermoanaerobaculales,BAC_O,Thermoanaerobaculales,5,0.0,0.0,0.0002373116550957492,0.0003811338684980796
64,BAC_O::Sphingomonadales,BAC_O,Sphingomonadales,5,0.0,0.0,0.0002344271739151286,0.000728074233550451
65,ARC_O::Micrarchaeales,ARC_O,Micrarchaeales,5,0.0,0.0,0.0002188014106766852,0.0002934821011150112
66,BAC_O::Fibrobacterales,BAC_O,Fibrobacterales,5,0.0,0.0,0.0001823252175281213,0.0003529787076587797
67,BAC_P::Fibrobacterota,BAC_P,Fibrobacterota,5,0.0,0.0,0.00017899769496294756,0.00035640388350526047
68,BAC_O::Caulobacterales,BAC_O,Caulobacterales,5,0.0,0.0,0.00017718655739318672,0.00035103418984432127
69,BAC_O::Aminicenantales,BAC_O,Aminicenantales,5,0.0,0.0,0.00015845365423604226,0.0016591726331336286
70,BAC_O::SBR1031,BAC_O,SBR1031,5,0.0,0.0,0.0001109883792830113,0.0008099494858329964
71,BAC_O::Bacteroidetes_VC2.1_Bac22,BAC_O,Bacteroidetes_VC2.1_Bac22,5,0.0,0.0,0.00010413326020019912,0.00025647162373252627
72,BAC_P::Patescibacteria,BAC_P,Patescibacteria,5,0.0018502309406485673,0.0024732500442290308,0.0001029697249705234,0.0012699276063048396
73,BAC_O::113B434,BAC_O,113B434,5,0.0,0.0,9.224815551120239e-05,0.000226671523398363
74,BAC_O::Endomicrobiales,BAC_O,Endomicrobiales,5,0.0,0.0,8.854278000778686e-05,0.00029462362554401794
75,BAC_O::Veillonellales-Selenomonadales,BAC_O,Veillonellales-Selenomonadales,5,0.0,0.0,8.529696384162825e-05,0.00044159098595776607
76,BAC_O::Desulfitobacteriales,BAC_O,Desulfitobacteriales,5,0.0,0.0,7.744901679525203e-05,0.00011374119830280805
77,BAC_O::Competibacterales,BAC_O,Competibacterales,5,0.0,0.0,7.213208032875914e-05,0.00029156657529932336
78,BAC_O::Fusobacteriales,BAC_O,Fusobacteriales,5,0.0,0.0,6.827258191099232e-05,0.00012616534054187638
79,BAC_P::Fusobacteriota,BAC_P,Fusobacteriota,5,0.0,0.0,6.714503702441866e-05,0.00013195817534321052
80,ARC_G::Candidatus_Methanomethylicus,ARC_G,Candidatus_Methanomethylicus,5,0.0,0.0,6.230653827289378e-05,9.642839438272382e-05
81,BAC_O::Brachyspirales,BAC_O,Brachyspirales,5,0.000841014063931167,0.0019127133494656811,6.037178901943108e-05,0.0004217633542045076
82,BAC_O::Isosphaerales,BAC_O,Isosphaerales,5,0.0,0.0,5.890706686744555e-05,0.0001586320601311186
83,BAC_O::Planctomycetales,BAC_O,Planctomycetales,5,0.0001682028127862334,0.0009212847479883842,5.689279042259317e-05,0.000584553426722009
84,BAC_O::Proteinivoracales,BAC_O,Proteinivoracales,5,0.0,0.0,5.472890681409252e-05,0.0001097018046298028
85,BAC_O::Caldilineales,BAC_O,Caldilineales,5,0.0,0.0,5.3074649517344714e-05,0.00012163335820536652
86,BAC_O::Saccharimonadales,BAC_O,Saccharimonadales,5,0.0,0.0,5.2102668197726944e-05,0.0006028733317831091
87,BAC_P::Campilobacterota,BAC_P,Campilobacterota,5,0.0,0.0,4.396606788962254e-05,0.0001773255117725921
88,ARC_G::Methanoregula,ARC_G,Methanoregula,5,0.0,0.0,4.059787370753187e-05,0.0005870247545328039
89,BAC_O::DS-100,BAC_O,DS-100,5,0.0,0.0,3.920225197790265e-05,0.00018747038694635725
90,BAC_P::Sumerlaeota,BAC_P,Sumerlaeota,5,0.0,0.0,2.8839592819272322e-05,0.0002499901889570913
91,BAC_O::Sumerlaeales,BAC_O,Sumerlaeales,5,0.0,0.0,2.7637317484791034e-05,0.0003019825076400857
92,BAC_O::Candidatus_Peregrinibacteria,BAC_O,Candidatus_Peregrinibacteria,5,0.0,0.0,2.651875495378597e-05,0.0001584381190491963
93,BAC_O::Campylobacterales,BAC_O,Campylobacterales,5,0.0,0.0,2.5581824468743722e-05,0.000415907975923628
94,BAC_O::Acidaminococcales,BAC_O,Acidaminococcales,5,0.0,0.0,2.5391571483927382e-05,0.00020701721664513856
95,BAC_O::JG36-GS-52,BAC_O,JG36-GS-52,5,0.0,0.0,2.2180308081961216e-05,0.00012460689791369027
96,BAC_P::TA06,BAC_P,TA06,5,0.0,0.0,2.0016724937943486e-05,5.441149164436853e-06
97,BAC_O::Bdellovibrionales,BAC_O,Bdellovibrionales,5,0.0,0.0,1.7361508685285557e-05,3.888758517349281e-05
98,BAC_O::Fimbriimonadales,BAC_O,Fimbriimonadales,5,0.0,0.0,1.1271327534069971e-05,0.00019126087876672213
99,BAC_O::B55-F-B-G02,BAC_O,B55-F-B-G02,5,0.0,0.0,8.325404473774612e-06,0.00010828534946756765
100,BAC_O::BRH-c20a,BAC_O,BRH-c20a,5,0.0,0.0,6.930358906642731e-06,8.032341288430793e-05
101,BAC_P::Gemmatimonadota,BAC_P,Gemmatimonadota,5,0.0,0.0,6.150223551698586e-06,4.672078075724539e-05
102,BAC_O::LD1-PB3,BAC_O,LD1-PB3,5,0.0,0.0,5.7153673737320165e-06,0.0001933340378335939
103,BAC_O::PeM15,BAC_O,PeM15,5,0.0,0.0,3.557428554742022e-06,2.7328462086507736e-05
104,BAC_O::Gammaproteobacteria_Incertae_Sedis,BAC_O,Gammaproteobacteria_Incertae_Sedis,5,0.0,0.0,3.533419486906331e-06,6.4696527488978e-06
105,BAC_O::Acetobacterales,BAC_O,Acetobacterales,5,0.0,0.0,3.1611539528612434e-06,0.00012529504910408114
106,BAC_O::OLB14,BAC_O,OLB14,5,0.0001682028127862334,0.0009212847479883842,2.872556574567975e-06,0.00016113261926099467
107,BAC_P::Hydrogenedentes,BAC_P,Hydrogenedentes,5,0.0,0.0,6.384679772782528e-07,0.0010586207065081741
108,BAC_O::Zixibacteria,BAC_O,Zixibacteria,5,0.0,0.0,5.228041348337431e-07,9.240119657934286e-05
109,ARC_G::Veneroida,ARC_G,Veneroida,4,0.0,0.0,0.0,0.0
110,ARC_G::Nitrososphaeraceae,ARC_G,Nitrososphaeraceae,4,0.0,0.0,0.0,0.0
111,BAC_O::HOC36,BAC_O,HOC36,4,0.0,0.0,0.0,0.0
112,BAC_O::Halanaerobiales,BAC_O,Halanaerobiales,4,0.0,0.0,0.0,0.0
113,BAC_O::IMCC26256,BAC_O,IMCC26256,5,0.0,0.0,0.0,0.0
114,BAC_O::Bryobacterales,BAC_O,Bryobacterales,4,0.0,0.0,0.0,0.0
115,ARC_G::Rhinosporideacae,ARC_G,Rhinosporideacae,4,0.0,0.0,0.0,0.0
116,BAC_O::Sva0485,BAC_O,Sva0485,4,0.0,0.0,0.0,0.0
117,BAC_O::Thermales,BAC_O,Thermales,4,0.0,0.0,0.0,0.0
118,BAC_O::Obscuribacterales,BAC_O,Obscuribacterales,4,0.0,0.0,0.0,0.0
119,BAC_P::Halanaerobiaeota,BAC_P,Halanaerobiaeota,4,0.0,0.0,0.0,0.0
120,BAC_P::Hydrothermae,BAC_P,Hydrothermae,4,0.0,0.0,0.0,0.0
