Feature,Repeat,Multilabel MCC drop,Micro-AUPR drop
BAC_P::CK-2C2-2,12,0.0,-0.00038093075472939164
BAC_P::CK-2C2-2,13,0.0,-0.00033532377455819384
BAC_P::CK-2C2-2,14,0.0,-0.0004210850059834237
BAC_P::CK-2C2-2,15,0.0,-0.00015989097379559558
BAC_P::CK-2C2-2,16,0.0,-0.00040229044652084767
BAC_P::CK-2C2-2,17,0.0,4.005711241017451e-05
BAC_P::CK-2C2-2,18,0.0,-0.00030630360726374706
BAC_P::CK-2C2-2,19,0.0,-0.00012172652312270049
BAC_P::CK-2C2-2,20,0.0,-0.00032726362073465243
BAC_P::CK-2C2-2,21,0.0,-0.00030853986501006014
BAC_P::CK-2C2-2,22,0.0,-0.00031960042319056914
BAC_P::CK-2C2-2,23,0.0,-0.00046362077805967017
BAC_P::CK-2C2-2,24,0.0,-0.00038093075472939164
BAC_P::CK-2C2-2,25,0.0,-0.0002609037084375099
BAC_P::CK-2C2-2,26,0.0,-0.0003432831719418217
BAC_P::CK-2C2-2,27,0.0,-0.0003596745414188862
BAC_P::CK-2C2-2,28,0.0,-0.00013844448279060062
BAC_P::CK-2C2-2,29,0.0,-0.00038093075472939164
BAC_P::CK-2C2-2,30,0.0,-0.00046362077805967017
BAC_P::Caldatribacteriota,1,-0.010415691684064532,-0.0023288212643085004
BAC_P::Caldatribacteriota,2,-0.005152513601438313,-0.001977400681805408
BAC_P::Caldatribacteriota,3,-0.005152513601438313,-0.0028832217685522132
BAC_P::Caldatribacteriota,4,-0.005152513601438313,-0.0012165414506570826
BAC_P::Caldatribacteriota,5,-0.010415691684064532,-0.0018896664613692327
BAC_P::Caldatribacteriota,6,-0.005152513601438313,-0.0008339465943291713
BAC_P::Caldatribacteriota,7,-0.010415691684064532,-0.0004928910766804351
BAC_P::Caldatribacteriota,8,-0.010415691684064532,-0.0008538966626684963
BAC_P::Caldatribacteriota,9,0.0,0.00024204687686718573
BAC_P::Caldatribacteriota,10,-0.010415691684064532,-0.000963931791519379
BAC_P::Caldatribacteriota,11,-0.010415691684064532,-0.0007605401369992215
BAC_P::Caldatribacteriota,12,-0.005152513601438313,-0.0013174659719339954
BAC_P::Caldatribacteriota,13,-0.010415691684064532,-0.000410174594797974
BAC_P::Caldatribacteriota,14,-0.005152513601438313,0.0014970727723217503
BAC_P::Caldatribacteriota,15,-0.005152513601438313,-0.00126942825621712
BAC_P::Caldatribacteriota,16,-0.010415691684064532,-0.001932973679065919
